gene	process	chr	function	ENSG
Sdha	Tricarboxylic acid cycle	NA	Sdha: Part of Succinate dehydrogenase complex in oxidative phosporylation in TCA cycle it catalyzes the oxidation of succinate to fumarate	NA
Sdhb	Tricarboxylic acid cycle	NA	Sdhb: Part of Succinate dehydrogenase complex in oxidative phosporylation in TCA cycle it catalyzes the oxidation of succinate to fumarate	NA
Sdhc	Tricarboxylic acid cycle	NA	Sdhc: Part of Succinate dehydrogenase complex in oxidative phosporylation in TCA cycle it catalyzes the oxidation of succinate to fumarate	NA
Sdhd	Tricarboxylic acid cycle	NA	Sdhd: Part of Succinate dehydrogenase complex in oxidative phosporylation in TCA cycle it catalyzes the oxidation of succinate to fumarate	NA
Fh1	Tricarboxylic acid cycle	NA	Fh1: Catalyzes the formation of L-malate from fumarate	NA
Mdh2	Tricarboxylic acid cycle	NA	Mdh2: Catalyzes the reversible oxidation of malate to oxaloacetate	NA
Otc	Urea Cycle	NA	Otc: Ornithine transcarbamoylase catalyzes the step in which carbamoyl phosphate combines with ornithine to form citruline	NA
Ass1	Urea Cycle	NA	Ass1: Argininosuccinate synthetase catalyzes the step where Citruline combines with Aspartate to form Argininosuccinate	NA
Asl	Urea Cycle	NA	Asl: Argininosuccinate lyase catalyzes the reaction where Argininosuccinate is cleaved of its nitrogen and carbon skeleton forming arginine and fumarate respectively	NA
Arg1	Urea Cycle	NA	Arg1: Arginase catalyzes the step where Arginine is hydrolyzed to form urea and ornithine	NA
Arg2	Urea Cycle	NA	Arg2: Arginase catalyzes the step where Arginine is hydrolyzed to form urea and ornithine	NA
Cps1	Urea Cycle	NA	Cps1: Carbamoyl phosphate synthetase catalyzes the step where free NH4+ with HCO3- form carbamoyl phosphate	NA
Alas2	Heme Biosynthesis	NA	Alas2: Catalyzes the reaction in which amino acid glycine and succinyl CoA condenses to form 5-aminolevulinate (ALA) and CO2	NA
Alas1	Heme Biosynthesis	NA	Alas1: Catalyzes the reaction in which amino acid glycine and succinyl CoA condenses to form 5-aminolevulinate (ALA) and CO2	NA
Fech	Heme Biosynthesis	NA	Fech: Ferrochelatase catalyzes the step involving the addition of Ferrous iron into the protoprphyrin IX to form the protoheme IX	NA
Ppox	Heme Biosynthesis	NA	Ppox: Enzyme protoporphyrinogen oxidase converts Protoporphyrinogen IX to Protoporphyrin IX	NA
Cpox	Heme Biosynthesis	NA	Cpox: Coproporphyrinogen III is transported to mitochondria and in the presence of coproporphyrinogen III oxidase it is oxidatively decarboxylated	NA
Urod	Heme Biosynthesis	NA	Urod: Uroporphyrinogen III decarboxylase catalyzes stepwise decarboxylation of the Uroporphyrinogen III	NA
Uros	Heme Biosynthesis	NA	Uros: Enzyme uroporphyrinogen III syntase catalyzes the reaction, in which hydroxymethylbilane is rearranged to form uroporphyrinogen III	NA
Hmbs	Heme Biosynthesis	NA	Hmbs: Hydroxymethylbilane synthase catalyzes head to tail condensation of four porphobilinogen and subsequent deamination to form a linear tetrapyrrole, Hydroxymethylbilane	NA
Alad	Heme Biosynthesis	NA	Alad: ALA dehydratase catalyzes the reaction, where two molecules of ALA condenses to form monopyrrole porphobilinogen 	NA
Slc2a1	Glycolysis	NA	Slc2a1: A major glucose transporter in the mammalian blood-brain barrier	NA
Slc2a2	Glycolysis	NA	Slc2a2: Facilitated glucose transporter	NA
Slc2a3	Glycolysis	NA	Slc2a3: Solute carrier family 2 (facilitated glucose transporter), member 3	NA
Slc2a4	Glycolysis	NA	Slc2a4: Insulin-regulated facilitated glucose transporter	NA
Slc2a5	Glycolysis	NA	Slc2a5: Solute carrier family 2 (facilitated glucose/fructose transporter), member 5	NA
Hk1	Glycolysis	NA	Hk1: Hexokinases phosphorylate glucose to produce glucose-6-phosphate	NA
Hk2	Glycolysis	NA	Hk2: Hexokinases phosphorylate glucose to produce glucose-6-phosphate	NA
Hk3	Glycolysis	NA	Hk3: Hexokinases phosphorylate glucose to produce glucose-6-phosphate	NA
Gck	Glycolysis	NA	Gck: Hexokinases phosphorylate glucose to produce glucose-6-phosphate	NA
Gpi1	Glycolysis	NA	Gpi1: Glycolytic enzyme that interconverts glucose-6-phophsate and fructose-6-phosphate	NA
Pfkl	Glycolysis	NA	Pfkl: Catalyzes the conversion of fructose 6-phosphate to fructose 1,6-bisphosphate	NA
Pfkm	Glycolysis	NA	Pfkm: Catalyzes the phosphorylation of fructose-6-phosphate to fructose-1,6-bisphosphate	NA
Pfkp	Glycolysis	NA	Pfkp: Catalyzes the irreversible conversion of fructose-6-phosphate to fructose-1,6-bisphosphate	NA
Aldoa	Glycolysis	NA	Aldoa: Catalyzes the reversible conversion of fructose-1,6-bisphosphate to glyceraldehyde 3-phosphate and dihydroxyacetone phosphate	NA
Aldob	Glycolysis	NA	Aldob: Catalyzes the reversible conversion of fructose-1,6-bisphosphate to glyceraldehyde 3-phosphate and dihydroxyacetone phosphate	NA
Aldoc	Glycolysis	NA	Aldoc: Catalyzes the reversible conversion of fructose-1,6-bisphosphate to glyceraldehyde 3-phosphate and dihydroxyacetone phosphate	NA
Tpi1	Glycolysis	NA	Tpi1: Catalyzes the isomerization of glyceraldehydes 3-phosphate and dihydroxy-acetone phosphate	NA
Gapdh	Glycolysis	NA	Gapdh: Catalyzes the reversible oxidative phosphorylation of glyceraldehyde-3-phosphate and may also inhibit Caspase independent cell death in apoptosis	NA
Gapdhs	Glycolysis	NA	Gapdhs: Catalyzes the reversible oxidative phosphorylation of glyceraldehyde-3-phosphate	NA
Pgk1	Glycolysis	NA	Pgk1: Catalyzes the conversion of 1,3-diphosphoglycerate to 3-phosphoglycerate	NA
Pgk2	Glycolysis	NA	Pgk2: Catalyzes the reversible conversion of 1,3-bisphosphoglycerate to 3-phosphoglycerate	NA
Pgam1	Glycolysis	NA	Pgam1: Catalyzes the reversible reaction of 3-phosphoglycerate to 2-phosphoglycerate	NA
Pgam2	Glycolysis	NA	Pgam2: Catalyzes the reversible reaction of 3-phosphoglycerate to 2-phosphoglycerate	NA
Eno1	Glycolysis	NA	Eno1: Catalyzes the dehydration of 2-phosphoglycerate to phosphoenolpyruate	NA
Eno2	Glycolysis	NA	Eno2: Catalyzes the dehydration of 2-phosphoglycerate to phosphoenolpyruate	NA
Eno3	Glycolysis	NA	Eno3: Catalyzes the dehydration of 2-phosphoglycerate to phosphoenolpyruate	NA
Pklr	Glycolysis	NA	Pklr: Catalyzes the transphosphorylation of phohsphoenolpyruvate into pyruvate and ATP	NA
Pkm2	Glycolysis	NA	Pkm2: Catalyzes the transphosphorylation of phohsphoenolpyruvate into pyruvate and ATP	NA
Ldhal6b	Glycolysis	NA	Ldhal6b: Catalyzes the interconversion of pyruvate to lactate and back	NA
Ldhc	Glycolysis	NA	Ldhc: Catalyzes the interconversion of pyruvate to lactate and back	NA
Ldhb	Glycolysis	NA	Ldhb: Catalyzes the interconversion of pyruvate to lactate and back	NA
Ldha	Glycolysis	NA	Ldha: Catalyzes the interconversion of pyruvate to lactate and back	NA
Brp44	Pyruvate transfer	NA	Brp44: Mitochondrial pyruvate carrier 2	NA
Brp44l	Pyruvate transfer	NA	Brp44l: Mitochondrial pyruvate carrier 1	NA
Pdha1	Formation of Acetyl CoA	NA	Pdha1: Catalyzes the overall conversion of pyruvate to acetyl-CoA	NA
Pdha2	Formation of Acetyl CoA	NA	Pdha2: Catalyzes the overall conversion of pyruvate to acetyl-CoA	NA
Pdhb	Formation of Acetyl CoA	NA	Pdhb: Catalyzes the overall conversion of pyruvate to acetyl-CoA	NA
Pdhx	Formation of Acetyl CoA	NA	Pdhx: Catalyzes the conversion of pyruvate to acetyl coenzyme A	NA
Dlat	Formation of Acetyl CoA	NA	Dlat: Catalyzes the conversion of pyruvate to acetyl coenzyme A	NA
Ccdc109a	Calcium trafficking	NA	Ccdc109a: Calcium uniporter, involved in the accumulation of calcium ions in the matrix through ion impermeable inner mitochondrial membrane	NA
Slc24a6	Calcium trafficking	NA	Slc24a6: Involved in the calcium homeostasis by counteracting the calcium accumaltion in the mitochondria	NA
Letm1	Calcium trafficking	NA	Letm1: Might act as calcium and hydrogen ion antiporter exchanging hydrogen for calcium	NA
Cbara1	Calcium trafficking	NA	Cbara1: Regulates the mitochodrial calcium uniporter by inhibiting and permitting the calcium, depending upon the cytosolic calcium concentrations	NA
Efha1	Calcium trafficking	NA	Efha1: Regulates the mitochodrial calcium uniporter by inhibiting and permitting the calcium, depending upon the cytosolic calcium concentrations	NA
Ccdc90a	Calcium trafficking	NA	Ccdc90a: Regulates MCU dependent calcium uptake by the mitochondria 	NA
Efha2	Calcium trafficking	NA	Efha2: Regulates the mitochodrial calcium uniporter by inhibiting and permitting the calcium depending upon the cytosolic calcium concentrations	NA
Ccdc109b	Calcium trafficking	NA	Ccdc109b: Forms a important component of mitochondrial calcium uniporter	NA
1500032L24Rik	Calcium trafficking	NA	1500032L24Rik: Forms a important component of mitochondrial calcium uniporter 	NA
Itpr3	Calcium trafficking	NA	Itpr3: Component of the Inositol-1,4,5-triphosphate receptors channels used for the flux of Ca2+ from ER to mitochondria	NA
Itpr2	Calcium trafficking	NA	Itpr2: Component of the Inositol-1,4,5-triphosphate receptors channels used for the flux of Ca2+ from ER to mitochondria	NA
Itpr1	Calcium trafficking	NA	Itpr1: Component of the Inositol-1,4,5-triphosphate receptors channels used for the flux of Ca2+ from ER to mitochondria	NA
Tchp	Calcium trafficking	NA	Tchp: Involved in the regulation of ER mitochondria juxtaposition 	NA
Sigmar1	Calcium trafficking	NA	Sigmar1: Stabilises the Inositol-1,4,5-triphosphate receptors and ensures proper Ca2+ flux	NA
Pacs2	Calcium trafficking	NA	Pacs2: Involved in the control of ER mitochondria apposition 	NA
Pml	Calcium trafficking	NA	Pml: Regulates Inositol-1,4,5-triphosphate receptor mediated Ca2+ release from the ER	NA
Rars2	Translation	NA	Rars2: Involved in the specific attachment of arginine aminoacid to its cognate tRNA	NA
Cars2	Translation	NA	Cars2: Involved in the specific attachment of cysteine aminoacid to its cognate tRNA	NA
Ears2	Translation	NA	Ears2: Involved in the specific attachment of glutamic acid aminoacid to its cognate tRNA	NA
Iars2	Translation	NA	Iars2: Involved in the specific attachment of isoleucine aminoacid to its cognate tRNA	NA
Lars2	Translation	NA	Lars2: Involved in the specific attachment of leucine aminoacid to its cognate tRNA	NA
Mars2	Translation	NA	Mars2: Involved in the specific attachment of methionine aminoacid to its cognate tRNA	NA
Wars2	Translation	NA	Wars2: Involved in the specific attachment of tryptophan aminoacid to its cognate tRNA	NA
Yars2	Translation	NA	Yars2: Involved in the specific attachment of tyrosine aminoacid to its cognate tRNA	NA
Vars2	Translation	NA	Vars2: Involved in the specific attachment of valine aminoacid to its cognate tRNA	NA
Aars2	Translation	NA	Aars2: Involved in the specific attachment of alanine aminoacid to its cognate tRNA	NA
Nars2	Translation	NA	Nars2: Involved in the specific attachment of asparagine aminoacid to its cognate tRNA	NA
Dars2	Translation	NA	Dars2: Involved in the specific attachment of aspartic acid aminoacid to its cognate tRNA	NA
Gars	Translation	NA	Gars: Involved in the specific attachment of glycine aminoacid to its cognate tRNA	NA
Hars2	Translation	NA	Hars2: Involved in the specific attachment of histidine aminoacid to its cognate tRNA	NA
Kars	Translation	NA	Kars: Involved in the specific attachment of lysine aminoacid to its cognate tRNA	NA
Fars2	Translation	NA	Fars2: Involved in the specific attachment of phenylalanine aminoacid to its cognate tRNA	NA
Pars2	Translation	NA	Pars2: Involved in the specific attachment of proline aminoacid to its cognate tRNA	NA
Sars2	Translation	NA	Sars2: Involved in the specific attachment of serine aminoacid to its cognate tRNA	NA
Tars2	Translation	NA	Tars2: Involved in the specific attachment of threonine aminoacid to its cognate tRNA	NA
Qrsl1	Translation	NA	Qrsl1: Involved in the biosynthesis of glutamyl-tRNA	NA
Pet112l	Translation	NA	Pet112l: Involved in the biosynthesis of glutamyl-tRNA	NA
Gatc	Translation	NA	Gatc: Involved in the biosynthesis of glutamyl-tRNA	NA
Mtfmt	Translation	NA	Mtfmt: Involved in the specific attachment of methionine aminoacid to its cognate tRNA	NA
Tufm	Translation	NA	Tufm: Involved in the elongation and termination phases of the translation process	NA
Gfm2	Translation	NA	Gfm2: Involved in the elongation and termination phases of the translation process may also be involved in the ribosome recycling	NA
Gfm1	Translation	NA	Gfm1: Involved in the elongation and termination phases of the translation process	NA
Tsfm	Translation	NA	Tsfm: Involved in the elongation and termination phases of the translation process	NA
Mtrf1	Translation	NA	Mtrf1: Involved in the mitochondrial translation termination, may act as a release factor	NA
Mtrf1l	Translation	NA	Mtrf1l: Involved in the mitochondrial translation termination, act as a release factor	NA
Mrrf	Translation	NA	Mrrf: Acts as a mitochondrial ribosome recycling factor during translation process	NA
Ptcd3	Translation	NA	Ptcd3: Associates with mitochondrial small ribosomal subunit and regulates translation	NA
mt-Ta	Translation	NA	mt-Ta: mitochondrially encoded tRNA alanine	NA
mt-Tc	Translation	NA	mt-Tc: mitochondrially encoded tRNA cysteine	NA
mt-Td	Translation	NA	mt-Td: mitochondrially encoded tRNA aspartic acid	NA
mt-Te	Translation	NA	mt-Te: mitochondrially encoded tRNA glutamic acid	NA
mt-Tf	Translation	NA	mt-Tf: mitochondrially encoded tRNA phenylalanine	NA
mT-Tg	Translation	NA	mt-Tg: mitochondrially encoded tRNA glycine	NA
mT-Th	Translation	NA	mt-Th: mitochondrially encoded tRNA histidine	NA
mT-Ti	Translation	NA	mt-Ti: mitochondrially encoded tRNA isoleucine	NA
mT-Tk	Translation	NA	mt-Tk: mitochondrially encoded tRNA lysine	NA
mt-Tl1	Translation	NA	mt-Tl1: mitochondrially encoded tRNA leucine 1 (UUA/G)	NA
mt-Tl2	Translation	NA	mt-Tl2: mitochondrially encoded tRNA leucine 2 (CUN)	NA
mt-Tm	Translation	NA	mt-Tm: mitochondrially encoded tRNA methionine	NA
mt-Tn	Translation	NA	mt-Tn: mitochondrially encoded tRNA asparagine	NA
mt-Tp	Translation	NA	mt-Tp: mitochondrially encoded tRNA proline	NA
mt-Tq	Translation	NA	mt-Tq: mitochondrially encoded tRNA glutamine	NA
mt-Tr	Translation	NA	mt-Tr: mitochondrially encoded tRNA arginine	NA
mt-Ts1	Translation	NA	mt-Ts1: mitochondrially encoded tRNA serine 1 (UCN)	NA
mt-Ts2	Translation	NA	mt-Ts2: mitochondrially encoded tRNA serine 2 (AGU/C)	NA
mt-Tt	Translation	NA	mt-Tt: mitochondrially encoded tRNA threonine	NA
mt-Tv	Translation	NA	mt-Tv: mitochondrially encoded tRNA valine	NA
mt-Tw	Translation	NA	mt-Tw: mitochondrially encoded tRNA tryptophan	NA
mt-Ty	Translation	NA	mt-Ty: mitochondrially encoded tRNA tyrosine	NA
Mrpl1	Translation	NA	Mrpl1: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl2	Translation	NA	Mrpl2: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl3	Translation	NA	Mrpl3: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl4	Translation	NA	Mrpl4: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl9	Translation	NA	Mrpl9: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl10	Translation	NA	Mrpl10: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl11	Translation	NA	Mrpl11: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl12	Translation	NA	Mrpl12: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl13	Translation	NA	Mrpl13: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl14	Translation	NA	Mrpl14: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl15	Translation	NA	Mrpl15: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl16	Translation	NA	Mrpl16: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl17	Translation	NA	Mrpl17: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl18	Translation	NA	Mrpl18: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl19	Translation	NA	Mrpl19: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl20	Translation	NA	Mrpl20: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl21	Translation	NA	Mrpl21: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl22	Translation	NA	Mrpl22: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl23	Translation	NA	Mrpl23: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl24	Translation	NA	Mrpl24: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl27	Translation	NA	Mrpl27: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl28	Translation	NA	Mrpl28: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl30	Translation	NA	Mrpl30: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl32	Translation	NA	Mrpl32: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl33	Translation	NA	Mrpl33: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl34	Translation	NA	Mrpl34: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl35	Translation	NA	Mrpl35: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl36	Translation	NA	Mrpl36: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl37	Translation	NA	Mrpl37: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl38	Translation	NA	Mrpl38: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl39	Translation	NA	Mrpl39: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl40	Translation	NA	Mrpl40: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl41	Translation	NA	Mrpl41: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl42	Translation	NA	Mrpl42: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl43	Translation	NA	Mrpl43: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl44	Translation	NA	Mrpl44: Mitoribosome which forms a part of mitochondrial translation machinary	NA
Mrpl45	Translation	NA	Mrpl45: Mitoribosome which forms a part of mitochondrial translation machinary	NA
