gene	NA	NA	Protein-RPE-1-21-3	NA
PPP2R5A	NA	NA	0.08556378	NA
CKS1B	NA	NA	-0.9395275	NA
PITHD1	NA	NA	0.3945056	NA
FNBP1L	NA	NA	0.6488693	NA
GNL2	NA	NA	-0.6789733	NA
ADPRHL2	NA	NA	0.2202444	NA
S100A13	NA	NA	0.1420828	NA
RAB13	NA	NA	0.4879045	NA
AK4	NA	NA	0.8341588	NA
C1orf123	NA	NA	0.02980889	NA
DHCR24	NA	NA	-0.1733832	NA
CDC42	NA	NA	0.09207866	NA
SDHC	NA	NA	-0.5553253	NA
IARS2	NA	NA	0.3458028	NA
SF3B4	NA	NA	-0.1515991	NA
BSDC1	NA	NA	-0.1644001	NA
PRPF38B	NA	NA	-0.3366262	NA
DAP3	NA	NA	-0.3384529	NA
NECAP2	NA	NA	0.3048614	NA
PEF1	NA	NA	0.1228841	NA
SETDB1	NA	NA	-0.5001901	NA
SNAPIN	NA	NA	0.2299068	NA
TBCE	NA	NA	0.009350086	NA
TCEB3	NA	NA	-0.8745216	NA
TARS2	NA	NA	-0.5631581	NA
PANK4	NA	NA	0.07055747	NA
RAP1A	NA	NA	NaN	NA
TROVE2	NA	NA	-0.2231753	NA
ACTN2	NA	NA	NaN	NA
PTP4A2	NA	NA	-0.1570438	NA
HDGF	NA	NA	-0.3709454	NA
EPHA2	NA	NA	0.3382504	NA
EPHB2	NA	NA	0.03325948	NA
SHC1	NA	NA	0.04101622	NA
LMNA	NA	NA	0.002873889	NA
GBA	NA	NA	0.9772416	NA
PEX11B	NA	NA	0.444498	NA
NCSTN	NA	NA	0.3517002	NA
NUCKS1	NA	NA	-0.7551441	NA
PIP5K1A	NA	NA	0.02607288	NA
LPGAT1	NA	NA	NaN	NA
BCL10	NA	NA	0.1319296	NA
PIGK	NA	NA	0.0232552	NA
MPZL1	NA	NA	-0.01948846	NA
PSMD4	NA	NA	0.006202445	NA
GTF2B	NA	NA	-0.09369545	NA
SYF2	NA	NA	-0.6649379	NA
UBE2T	NA	NA	-0.8414096	NA
SSU72	NA	NA	-0.3292959	NA
RABIF	NA	NA	NaN	NA
PPCS	NA	NA	0.5617071	NA
MGST3	NA	NA	1.152324	NA
HEATR1	NA	NA	-0.3651326	NA
HSPG2	NA	NA	-0.6911768	NA
UBQLN4	NA	NA	NaN	NA
SLC16A1	NA	NA	-0.03365201	NA
OTUD7B	NA	NA	-0.09100424	NA
BCAS2	NA	NA	-0.4933399	NA
NDUFS2	NA	NA	-1.375123	NA
PEX14	NA	NA	0.121769	NA
TARDBP	NA	NA	-0.4764335	NA
SCP2	NA	NA	0.3023685	NA
TMCO1	NA	NA	0.8554054	NA
GNB1	NA	NA	0.3300661	NA
TXNDC12	NA	NA	-0.1672294	NA
ADSS	NA	NA	-0.3650205	NA
RNF2	NA	NA	-0.5625818	NA
LYPLA2	NA	NA	0.5950097	NA
ZMPSTE24	NA	NA	0.00641991	NA
PLOD1	NA	NA	-0.07066411	NA
S100A6	NA	NA	0.2343295	NA
PSMB2	NA	NA	0.009698621	NA
EXOC8	NA	NA	0.3113094	NA
URB2	NA	NA	-0.6012082	NA
KIF1B	NA	NA	0.07874646	NA
ATP5F1	NA	NA	0.09920075	NA
SF3A3	NA	NA	-0.5555217	NA
PPP1R8	NA	NA	-0.5440896	NA
SEP15	NA	NA	-0.4333867	NA
VANGL1	NA	NA	-0.08229377	NA
PPOX	NA	NA	-0.2607483	NA
MTOR	NA	NA	0.01442662	NA
NTPCR	NA	NA	0.2127514	NA
CHML	NA	NA	0.276293	NA
DDI2	NA	NA	-0.1035311	NA
AKT3	NA	NA	-0.0877344	NA
YBX1	NA	NA	-0.4617381	NA
LAMTOR2	NA	NA	0.8027889	NA
GGPS1	NA	NA	0.2463441	NA
TFB2M	NA	NA	-0.1889072	NA
HS2ST1	NA	NA	0.1191343	NA
CLCC1	NA	NA	-0.01049341	NA
COA6	NA	NA	-0.2103733	NA
LYPLAL1	NA	NA	0.6020991	NA
EFHD2	NA	NA	-0.09234279	NA
KTI12	NA	NA	0.1156758	NA
S100A16	NA	NA	0.08260646	NA
BROX	NA	NA	-0.5295711	NA
UCK2	NA	NA	-0.1538566	NA
CCNL2	NA	NA	-0.246866	NA
FAF1	NA	NA	-0.4220177	NA
CDK11A	NA	NA	-0.4184599	NA
GLMN	NA	NA	-0.2378085	NA
OSBPL9	NA	NA	-0.5322671	NA
PRRC2C	NA	NA	-0.1443075	NA
VPS45	NA	NA	-0.1392075	NA
HSPB11	NA	NA	-0.1578198	NA
DARS2	NA	NA	-0.4556494	NA
RBM15	NA	NA	-0.1923205	NA
TPRG1L	NA	NA	0.3463778	NA
COX20	NA	NA	0.07084535	NA
CTTNBP2NL	NA	NA	-0.05450115	NA
THRAP3	NA	NA	-0.442227	NA
MRTO4	NA	NA	-0.74028	NA
DPH2	NA	NA	-0.1507889	NA
SDF4	NA	NA	-0.4615285	NA
PTPRF	NA	NA	0.3468482	NA
IBA57	NA	NA	-0.09990112	NA
ARHGAP29	NA	NA	-0.0270125	NA
FAM213B	NA	NA	NaN	NA
CD55	NA	NA	-0.1514692	NA
CHD5	NA	NA	NaN	NA
LRRC8C	NA	NA	-0.3024068	NA
NEK7	NA	NA	-0.06584799	NA
LZIC	NA	NA	-0.2822619	NA
LRRC40	NA	NA	-0.2190911	NA
ZYG11B	NA	NA	-0.1531974	NA
ARHGEF11	NA	NA	0.1356653	NA
TMEM201	NA	NA	-0.5358685	NA
MRPL37	NA	NA	-0.1176951	NA
LEPRE1	NA	NA	-0.09922788	NA
SMYD3	NA	NA	0.2028874	NA
ANP32E	NA	NA	-0.8066127	NA
KRTCAP2	NA	NA	0.165483	NA
SMG5	NA	NA	-0.1891971	NA
APOA1BP	NA	NA	0.5682166	NA
TOR1AIP2	NA	NA	-0.04138312	NA
AHCTF1	NA	NA	-0.4680098	NA
LRRC47	NA	NA	0.1820821	NA
PRPF38A	NA	NA	-0.5868693	NA
WLS	NA	NA	-0.1801716	NA
MIER1	NA	NA	-0.1801716	NA
NAV1	NA	NA	-0.3689359	NA
LRRC42	NA	NA	NaN	NA
BCAR3	NA	NA	0.4967123	NA
NASP	NA	NA	-1.026942	NA
UTP11L	NA	NA	-0.486148	NA
RBM34	NA	NA	NaN	NA
EIF2D	NA	NA	-0.1839628	NA
DOCK7	NA	NA	0.1238426	NA
S100A10	NA	NA	0.5926799	NA
TPM3	NA	NA	-0.07614863	NA
IPO9	NA	NA	-0.3053285	NA
CEP170	NA	NA	-0.1106305	NA
TP53BP2	NA	NA	NaN	NA
AMPD2	NA	NA	NaN	NA
AK2	NA	NA	-0.1567849	NA
CRABP2	NA	NA	-0.3312467	NA
RPS8	NA	NA	-0.3652446	NA
CNN3	NA	NA	0.05727157	NA
HIST2H2AB	NA	NA	-1.024603	NA
ECE1	NA	NA	-0.8789215	NA
LMNA	NA	NA	-0.1962293	NA
SMG7	NA	NA	-0.07377799	NA
KDM1A	NA	NA	-0.6704777	NA
WDR47	NA	NA	NaN	NA
PHACTR4	NA	NA	0.1115549	NA
ALDH4A1	NA	NA	-0.007518904	NA
SORT1	NA	NA	-0.2490205	NA
SCYL3	NA	NA	0.2685039	NA
TPM3	NA	NA	0.1518909	NA
AGL	NA	NA	0.5793397	NA
RPL22	NA	NA	-0.418352	NA
MAGOH	NA	NA	-0.4313555	NA
UCHL5	NA	NA	-0.337654	NA
PGD	NA	NA	0.5034047	NA
PGM1	NA	NA	0.2422087	NA
CD46	NA	NA	0.6537352	NA
ZRANB2	NA	NA	-0.1629835	NA
CMPK1	NA	NA	0.2142068	NA
NDUFS5	NA	NA	-2.918233	NA
SLC2A1	NA	NA	0.2180612	NA
AKR1A1	NA	NA	0.7131898	NA
FLAD1	NA	NA	0.2154792	NA
PRDX6	NA	NA	0.7172874	NA
DDAH1	NA	NA	0.4951864	NA
GNAI3	NA	NA	0.1877728	NA
PMVK	NA	NA	-0.07628534	NA
ENSA	NA	NA	-0.2609891	NA
GNG12	NA	NA	0.3513689	NA
NRD1	NA	NA	-0.2397646	NA
MACF1	NA	NA	0.2767822	NA
CAPN2	NA	NA	0.3402947	NA
ZCCHC11	NA	NA	NaN	NA
DCAF8	NA	NA	0.189269	NA
CTPS1	NA	NA	-0.02941748	NA
DNTTIP2	NA	NA	-0.3922075	NA
KIF2C	NA	NA	NaN	NA
CCT3	NA	NA	-0.1873877	NA
NUP133	NA	NA	-0.429857	NA
PSMA5	NA	NA	-0.0102069	NA
SRM	NA	NA	-0.001297849	NA
EPS15	NA	NA	-0.9945797	NA
LBR	NA	NA	-0.6418234	NA
POMGNT1	NA	NA	0.02482466	NA
TSNAX	NA	NA	-0.07915615	NA
RPAP2	NA	NA	NaN	NA
HMGCL	NA	NA	0.2843525	NA
C1orf35	NA	NA	-0.3642362	NA
TMED5	NA	NA	0.100747	NA
UFC1	NA	NA	-0.03167747	NA
PRCC	NA	NA	NaN	NA
SDHB	NA	NA	-0.7088494	NA
RABGGTB	NA	NA	-0.2239167	NA
COPA	NA	NA	-0.04152331	NA
ATAD3B	NA	NA	-0.1027253	NA
ATAD3A	NA	NA	-0.1027253	NA
UQCRH	NA	NA	0.3312092	NA
FH	NA	NA	-0.1593708	NA
LUZP1	NA	NA	-0.3498182	NA
TMEM57	NA	NA	NaN	NA
DDOST	NA	NA	-0.1351407	NA
STXBP3	NA	NA	0.1790899	NA
NOTCH2	NA	NA	1.44E-05	NA
LAMC1	NA	NA	-0.2215678	NA
PARK7	NA	NA	0.058533	NA
KIF14	NA	NA	0.6311188	NA
MED8	NA	NA	NaN	NA
RAB3B	NA	NA	0.02988268	NA
CDC73	NA	NA	-0.5261689	NA
CHTOP	NA	NA	-0.460061	NA
UROD	NA	NA	0.1785184	NA
SLC30A7	NA	NA	0.1057215	NA
ARID4B	NA	NA	-0.693944	NA
COA7	NA	NA	-0.175301	NA
NSUN4	NA	NA	-0.09301915	NA
CERS2	NA	NA	-0.1339581	NA
AKR7A2	NA	NA	0.5019534	NA
YTHDF2	NA	NA	-0.4229865	NA
MSTO1	NA	NA	-0.1871343	NA
SCAMP3	NA	NA	0.3206303	NA
CC2D1B	NA	NA	-0.381824	NA
MRPL9	NA	NA	-0.3200802	NA
SRRM1	NA	NA	-0.4331732	NA
RBBP4	NA	NA	-0.5594429	NA
FAM129A	NA	NA	2.198461	NA
USP48	NA	NA	-0.5840003	NA
IQGAP3	NA	NA	-0.7811499	NA
CHD1L	NA	NA	-0.4557547	NA
STX12	NA	NA	0.2684866	NA
PBXIP1	NA	NA	0.6715313	NA
DNAJC11	NA	NA	0.2241994	NA
TRMT1L	NA	NA	-0.3768459	NA
SLC25A24	NA	NA	0.189121	NA
PDE4DIP	NA	NA	-0.02375212	NA
ZNF326	NA	NA	-0.3851549	NA
ENAH	NA	NA	0.4810821	NA
FUBP1	NA	NA	-0.74028	NA
ISG15	NA	NA	0.8240528	NA
PRKACB	NA	NA	0.2634904	NA
RPL11	NA	NA	-0.2944296	NA
YRDC	NA	NA	-0.9728411	NA
RPRD2	NA	NA	-0.533065	NA
FUCA1	NA	NA	0.6604064	NA
ADAR	NA	NA	-0.3319345	NA
ACOT7	NA	NA	-0.1668439	NA
CACYBP	NA	NA	-0.4781953	NA
ZNF687	NA	NA	NaN	NA
RABGAP1L	NA	NA	0.4011774	NA
CAMSAP2	NA	NA	-0.08569663	NA
METTL13	NA	NA	-0.03167747	NA
BPNT1	NA	NA	0.5887907	NA
SERBP1	NA	NA	-0.5357544	NA
NOC2L	NA	NA	-0.2006298	NA
BTF3L4	NA	NA	-0.05172011	NA
WDR26	NA	NA	-0.03266511	NA
INTS3	NA	NA	-0.1717192	NA
MRPL55	NA	NA	0.4107351	NA
PHC2	NA	NA	-1.298248	NA
ADAM15	NA	NA	-0.1549012	NA
MACF1	NA	NA	-0.427177	NA
PEX19	NA	NA	0.3959478	NA
CSRP1	NA	NA	0.3280546	NA
MOV10	NA	NA	-0.3151025	NA
PARP1	NA	NA	-0.7185259	NA
HIST2H3PS2	NA	NA	-1.200065	NA
MIA3	NA	NA	-0.2395203	NA
CROCC	NA	NA	0.2941901	NA
HECTD3	NA	NA	-0.04907315	NA
NIT1	NA	NA	0.5175648	NA
SRSF11	NA	NA	-0.2110122	NA
RCC2	NA	NA	-0.7092023	NA
ENO1	NA	NA	0.04005188	NA
CCBL2	NA	NA	-0.1138338	NA
KIRREL	NA	NA	-0.007626139	NA
SERBP1	NA	NA	-0.5393325	NA
PYCR2	NA	NA	-0.006621283	NA
CYB5R1	NA	NA	0.8386411	NA
TXLNA	NA	NA	-0.4151096	NA
CSDE1	NA	NA	-0.363115	NA
WASF2	NA	NA	0.16592	NA
KIAA0319L	NA	NA	0.2799142	NA
GPR89A	NA	NA	NaN	NA
GPR89B	NA	NA	NaN	NA
MIER1	NA	NA	-0.4334937	NA
ZMYM4	NA	NA	-0.6439486	NA
RBBP5	NA	NA	NaN	NA
SRGAP2	NA	NA	-0.188401	NA
HNRNPU	NA	NA	-0.6080521	NA
SCP2	NA	NA	NaN	NA
HAX1	NA	NA	NaN	NA
ALDH9A1	NA	NA	0.39954	NA
TRMT13	NA	NA	NaN	NA
STMN1	NA	NA	-0.6796039	NA
RAB4A	NA	NA	0.5793828	NA
MRPL24	NA	NA	-0.02871055	NA
SARS	NA	NA	0.9139772	NA
VPS45	NA	NA	-0.2435472	NA
UBAP2L	NA	NA	-0.1828194	NA
KIFAP3	NA	NA	-0.4810496	NA
VAMP3	NA	NA	0.2442066	NA
NCDN	NA	NA	-0.2210728	NA
STRIP1	NA	NA	0.114378	NA
MRPS15	NA	NA	-1.056792	NA
ARPC5	NA	NA	0.1154098	NA
CDC42BPA	NA	NA	0.2387658	NA
TAGLN2	NA	NA	0.000938032	NA
NUDC	NA	NA	-0.2548358	NA
GALE	NA	NA	0.3077871	NA
RAB3GAP2	NA	NA	-0.0836559	NA
PSMB4	NA	NA	-0.006190276	NA
H6PD	NA	NA	NaN	NA
CRTC2	NA	NA	0.2117988	NA
SNX27	NA	NA	-0.07595669	NA
MARCKSL1	NA	NA	0.1464195	NA
RNPEP	NA	NA	0.122664	NA
HP1BP3	NA	NA	-0.1269729	NA
CAPZB	NA	NA	0.1443131	NA
MFN2	NA	NA	0.07985909	NA
EMC1	NA	NA	-0.06336476	NA
ARID1A	NA	NA	-0.4949787	NA
SRP9	NA	NA	-0.2740529	NA
ERI3	NA	NA	0.6537409	NA
EIF4G3	NA	NA	0.004956957	NA
UBR4	NA	NA	-0.01934605	NA
RNPEP	NA	NA	NaN	NA
MAP7D1	NA	NA	0.1990732	NA
TPR	NA	NA	-0.546166	NA
MTR	NA	NA	-0.2043911	NA
AK5	NA	NA	0.3983416	NA
SOAT1	NA	NA	-0.2376861	NA
TIPRL	NA	NA	-0.09747602	NA
EBNA1BP2	NA	NA	-0.4486896	NA
ATP1B1	NA	NA	0.02741031	NA
ENO1	NA	NA	-0.1200864	NA
GPATCH4	NA	NA	-0.9748229	NA
NUCKS1	NA	NA	NaN	NA
C1orf174	NA	NA	NaN	NA
DHX9	NA	NA	-0.4261037	NA
FUBP1	NA	NA	NaN	NA
MYCBP	NA	NA	-0.0945064	NA
USP24	NA	NA	-0.1783641	NA
FDPS	NA	NA	0.1139416	NA
LAMTOR5	NA	NA	0.5657245	NA
SNRNP40	NA	NA	-0.4996801	NA
RHOB	NA	NA	0.182344	NA
CASP8	NA	NA	0.06668609	NA
ZC3H15	NA	NA	-0.5362519	NA
PNKD	NA	NA	0.8561625	NA
EML4	NA	NA	-0.08079413	NA
HTRA2	NA	NA	0.145733	NA
SRSF7	NA	NA	-0.4493237	NA
MAP2	NA	NA	0.4259664	NA
BCS1L	NA	NA	-0.3535491	NA
STK39	NA	NA	-0.1023223	NA
RALB	NA	NA	0.02949972	NA
DGUOK	NA	NA	NaN	NA
SH3BP4	NA	NA	-0.2726204	NA
ACTR2	NA	NA	0.08919054	NA
ARPC2	NA	NA	0.1057527	NA
PSME4	NA	NA	0.02035503	NA
SPTBN1	NA	NA	0.1142381	NA
RAB1A	NA	NA	0.009785742	NA
LANCL1	NA	NA	0.007115576	NA
EIF2B4	NA	NA	0.1277464	NA
ILKAP	NA	NA	-0.546166	NA
PPM1G	NA	NA	-0.5909133	NA
PPIG	NA	NA	NaN	NA
NOP58	NA	NA	-0.4469971	NA
MAP4K4	NA	NA	-0.04865463	NA
ATL2	NA	NA	-0.4686354	NA
TUBA4A	NA	NA	1.102094	NA
CPSF3	NA	NA	-0.668936	NA
STAMBP	NA	NA	0.1712547	NA
SLC39A10	NA	NA	0.1576727	NA
CIAO1	NA	NA	0.05898378	NA
SSB	NA	NA	-0.2721427	NA
COPS7B	NA	NA	-0.3159139	NA
COPS8	NA	NA	0.2049812	NA
CTDSP1	NA	NA	NaN	NA
MRPL44	NA	NA	0.009800262	NA
SERPINE2	NA	NA	1.978634	NA
MAT2A	NA	NA	-0.3305584	NA
DBI	NA	NA	0.2808253	NA
CYP20A1	NA	NA	-0.2379307	NA
AGPS	NA	NA	-0.1060803	NA
CPS1	NA	NA	0.4827546	NA
RRM2	NA	NA	-0.7647708	NA
MTHFD2	NA	NA	0.2083776	NA
SP100	NA	NA	-0.7194902	NA
MPHOSPH10	NA	NA	-0.4379734	NA
MLPH	NA	NA	-0.1848516	NA
ORC2	NA	NA	-0.6896796	NA
RPS7	NA	NA	-0.3103401	NA
FASTKD2	NA	NA	-0.2426939	NA
SMYD5	NA	NA	0.3698556	NA
DTYMK	NA	NA	-0.3391374	NA
SEPT2	NA	NA	0.0162785	NA
CNOT11	NA	NA	-0.1506897	NA
SNX17	NA	NA	-0.1604039	NA
RAB3GAP1	NA	NA	0.1740354	NA
CUL3	NA	NA	-0.3567074	NA
STRN	NA	NA	-0.168257	NA
AAMP	NA	NA	0.1468666	NA
PDE6D	NA	NA	NaN	NA
GPC1	NA	NA	-0.653702	NA
DNPEP	NA	NA	0.3415555	NA
PXDN	NA	NA	-0.2571313	NA
NOL10	NA	NA	-0.04348981	NA
RAB10	NA	NA	0.20558	NA
SNRPG	NA	NA	-0.4846021	NA
PCBP1	NA	NA	-0.2526579	NA
MSH2	NA	NA	-0.7542889	NA
SPR	NA	NA	1.009931	NA
MAPRE3	NA	NA	0.5583296	NA
GPD2	NA	NA	-0.07491647	NA
YWHAQ	NA	NA	-0.1108978	NA
CCT7	NA	NA	-0.1234014	NA
TSN	NA	NA	-0.1134338	NA
STEAP3	NA	NA	0.1090165	NA
EIF2AK2	NA	NA	-0.1228714	NA
IRS1	NA	NA	0.7885641	NA
TSSC1	NA	NA	0.02332848	NA
PKP4	NA	NA	NaN	NA
PRKRA	NA	NA	-0.0416635	NA
EHD3	NA	NA	0.5209764	NA
RTN4	NA	NA	0.6853383	NA
COX5B	NA	NA	-2.456333	NA
RAB11FIP5	NA	NA	0.7089152	NA
ASAP2	NA	NA	0.2807727	NA
PUM2	NA	NA	-0.3486092	NA
HDLBP	NA	NA	-0.2135028	NA
APOB	NA	NA	5.930776	NA
TXNDC9	NA	NA	-0.3999913	NA
FN1	NA	NA	-0.2926639	NA
COX7A2L	NA	NA	NaN	NA
HADHB	NA	NA	0.4744723	NA
SLC20A1	NA	NA	0.1203414	NA
CRIPT	NA	NA	-1.226755	NA
RQCD1	NA	NA	-0.1291522	NA
TTN	NA	NA	-0.1031284	NA
LGALSL	NA	NA	1.09111	NA
WDFY1	NA	NA	-0.04404437	NA
UGGT1	NA	NA	-0.103934	NA
PNO1	NA	NA	-0.4111008	NA
HAT1	NA	NA	-0.9180809	NA
MFF	NA	NA	-0.02517067	NA
PSMD14	NA	NA	-0.05116334	NA
MTX2	NA	NA	-0.2067682	NA
SF3B1	NA	NA	-0.5955036	NA
RPIA	NA	NA	NaN	NA
PPM1B	NA	NA	-0.1915626	NA
GPN1	NA	NA	NaN	NA
MRPL19	NA	NA	-0.1263122	NA
INPP1	NA	NA	0.1155505	NA
IDH1	NA	NA	0.6615242	NA
SP140L	NA	NA	-0.3845052	NA
CREB1	NA	NA	NaN	NA
ACTR3	NA	NA	0.1481131	NA
DPY30	NA	NA	-0.09599186	NA
KIAA1715	NA	NA	0.2423281	NA
NDUFA10	NA	NA	-2.028357	NA
MLTK	NA	NA	-0.1439158	NA
STAT1	NA	NA	0.05724166	NA
YIPF4	NA	NA	-0.04749453	NA
ACSL3	NA	NA	-0.27453	NA
MCM6	NA	NA	-1.357552	NA
HADHA	NA	NA	0.4454406	NA
PDCL3	NA	NA	-0.2923105	NA
POLR1A	NA	NA	-0.1899194	NA
NCKAP1	NA	NA	0.06464591	NA
TRIP12	NA	NA	-0.5918709	NA
MEMO1	NA	NA	0.2245364	NA
PPIL3	NA	NA	-0.1945914	NA
CAB39	NA	NA	-0.4401017	NA
SF3B14	NA	NA	-0.3486856	NA
PREB	NA	NA	0.8482191	NA
PPP1R7	NA	NA	0.331064	NA
ANAPC1	NA	NA	-0.395721	NA
FMNL2	NA	NA	0.1506252	NA
GALM	NA	NA	-0.2313095	NA
MRPL53	NA	NA	0.3813516	NA
ABCB6	NA	NA	0.4987902	NA
ZNF512	NA	NA	-0.7256421	NA
CHMP3	NA	NA	-0.1629835	NA
SCLY	NA	NA	NaN	NA
GMPPA	NA	NA	-0.09949725	NA
HK2	NA	NA	0.06420842	NA
SPATS2L	NA	NA	-0.5600302	NA
GEMIN6	NA	NA	-0.1373982	NA
HNRNPLL	NA	NA	-0.3204269	NA
WDR33	NA	NA	3.518866	NA
BRE	NA	NA	-0.1174291	NA
NIFK	NA	NA	-0.4506966	NA
CCDC93	NA	NA	0.1758105	NA
NFU1	NA	NA	-0.2462256	NA
C2orf69	NA	NA	NaN	NA
CNNM3	NA	NA	NaN	NA
DHX57	NA	NA	0.1165513	NA
MRPS5	NA	NA	-0.7990044	NA
SRBD1	NA	NA	-0.3862592	NA
TANC1	NA	NA	-0.03674943	NA
FAM98A	NA	NA	0.3581026	NA
CWC22	NA	NA	-0.1611782	NA
RDH14	NA	NA	-0.02332628	NA
EEF1B2	NA	NA	-0.3025238	NA
IMP4	NA	NA	-0.03417576	NA
TTC27	NA	NA	-0.2211965	NA
BIN1	NA	NA	0.2694428	NA
GLS	NA	NA	0.8591167	NA
ITGA6	NA	NA	0.03553478	NA
DYNC1I2	NA	NA	0.2090446	NA
RBM45	NA	NA	1.062467	NA
MAP2	NA	NA	NaN	NA
DARS	NA	NA	-0.02318428	NA
MAP4K3	NA	NA	0.2985453	NA
WDR75	NA	NA	-0.2123826	NA
TPRKB	NA	NA	-0.2255313	NA
GFPT1	NA	NA	0.4017492	NA
LMAN2L	NA	NA	-0.3514021	NA
ACP1	NA	NA	0.1186134	NA
NDUFB3	NA	NA	-1.773912	NA
ACP1	NA	NA	-0.1126334	NA
DNAJB2	NA	NA	0.215661	NA
HSPE1	NA	NA	0.0202526	NA
TMSB10	NA	NA	-0.3655806	NA
XRCC5	NA	NA	-0.5054845	NA
RANBP2	NA	NA	-0.3765126	NA
GLS	NA	NA	1.101846	NA
ATIC	NA	NA	0.3038459	NA
OLA1	NA	NA	-0.01606832	NA
STAM2	NA	NA	0.2378808	NA
C2orf47	NA	NA	0.1254723	NA
DNAJC10	NA	NA	0.06805988	NA
DDX1	NA	NA	0.1489127	NA
RIF1	NA	NA	-1.090921	NA
UBXN4	NA	NA	-0.08474462	NA
RETSAT	NA	NA	0.5535321	NA
IWS1	NA	NA	-0.3026407	NA
NAGK	NA	NA	0.1415256	NA
USP34	NA	NA	0.101335	NA
RTN4	NA	NA	0.7533022	NA
XPO1	NA	NA	-0.3719491	NA
TANK	NA	NA	-0.1645289	NA
EIF5B	NA	NA	-0.241108	NA
NCAPH	NA	NA	-0.9707063	NA
PDIA6	NA	NA	-0.02190614	NA
ABI2	NA	NA	-0.03195975	NA
PSMD1	NA	NA	-0.0753272	NA
BIRC6	NA	NA	-0.3416442	NA
FARSB	NA	NA	-0.1561377	NA
