gene	value_1	value_2	log2(fold_change)	p_value
DDI2	9.78867	9.23581	-0.0838747	0.4694
RSC1A1	9.78867	9.23581	-0.0838747	0.4694
PLEKHM2	18.2239	19.0995	0.0676993	0.43285
SLC25A34	0.411575	0.599285	0.542089	0.0227
FBLIM1	1.30549	3.34315	1.35662	5e-05
SPEN	21.4601	19.0382	-0.172761	0.0425
C1orf144	59.5106	53.2276	-0.160972	0.05575
NECAP2	25.9019	26.8001	0.0491798	0.58015
MST1P2	5.00286	5.06956	0.0191068	0.862
CROCC	7.31449	7.57542	0.050568	0.56735
PADI3	1.80511	1.65698	-0.123533	0.3619
ARHGEF10L	8.02688	11.4293	0.509832	5e-05
MRTO4	46.1237	50.0272	0.117205	0.1643
PQLC2	5.30268	6.75694	0.34965	0.0035
C1orf151-NBL1	52.1654	59.1403	0.181048	0.0458
MINOS1	52.1654	59.1403	0.181048	0.0458
NBL1	52.1654	59.1403	0.181048	0.0458
OTUD3	5.78522	5.46631	-0.0818055	0.3728
CDA	32.2296	43.581	0.435314	5e-05
PINK1	23.6962	23.7105	0.000867284	0.99145
NBPF3	4.18672	3.37578	-0.310599	0.00275
LINC00339	6.11287	5.3685	-0.187331	0.17045
CDC42	119.062	127.699	0.101029	0.2305
ZBTB40	7.51385	6.53214	-0.201996	0.02195
EPHB2	10.9044	9.99751	-0.125276	0.15995
KDM1A	95.1097	92.6495	-0.0378097	0.65355
C1orf213	1.39631	1.69012	0.275501	0.5404
RPL11	1598.3	1773.05	0.149694	0.0785
TCEB3	9.16376	10.4745	0.192865	0.04275
PITHD1	36.5007	36.537	0.0014315	0.98755
LYPLA2	74.9937	80.8161	0.107873	0.203
PNRC2	40.5406	35.4579	-0.193262	0.0235
GRHL3	0.323404	0.770667	1.25277	0.00085
NIPAL3	5.26242	4.51955	-0.219546	0.0214
RCAN3	6.58684	5.53675	-0.250548	0.01385
SRRM1	52.0026	56.0153	0.107236	0.19875
CLIC4	37.0458	36.386	-0.0259288	0.762
TMEM50A	35.7147	35.245	-0.0191	0.8248
TMEM57	8.4402	7.94835	-0.0866225	0.3512
LDLRAP1	16.4106	18.8335	0.198677	0.0246
MAN1C1	1.01415	0.710225	-0.513927	0.0019
SEPN1	39.7281	38.176	-0.0574922	0.49325
FAM54B	19.7976	18.3039	-0.113174	0.23565
PDIK1L	3.39683	3.35541	-0.0177022	0.86845
ZNF593	64.4709	64.5058	0.000780273	0.99665
CNKSR1	11.7699	12.4115	0.0765757	0.41375
CEP85	13.7195	13.4489	-0.0287414	0.7429
SH3BGRL3	103.912	123.472	0.248821	0.00345
CD52	0.422452	0.750019	0.828138	0.5172
DHDDS	8.81186	9.52487	0.112253	0.2376
HMGN2	200.281	216.257	0.110715	0.1877
RPS6KA1	27.1861	27.8587	0.0352572	0.6726
ARID1A	21.5029	21.3288	-0.0117314	0.8871
PIGV	8.4658	7.05754	-0.262479	0.00905
ZDHHC18	14.8712	14.588	-0.0277409	0.75465
SFN	112.406	124.602	0.148602	0.0792
NUDC	174.935	189.051	0.111955	0.1894
TRNP1	50.3511	45.4356	-0.148198	0.08405
WDTC1	12.922	10.7581	-0.264407	0.003
TMEM222	19.8826	17.1125	-0.216454	0.0269
LOC644961	0.42057	0.413739	-0.0236264	0.9619
SYTL1	25.6155	33.202	0.374255	0.0001
GPR3	2.90654	3.34488	0.20265	0.12275
FAM76A	3.26317	3.09055	-0.0784126	0.48055
STX12	10.0525	10.3225	0.0382336	0.67385
PPP1R8	32.4374	31.3768	-0.0479602	0.587
C1orf38	3.97676	3.68437	-0.110175	0.42065
SMPDL3B	12.7643	13.8073	0.113317	0.2464
XKR8	7.86627	8.70662	0.146434	0.1616
ATPIF1	211.553	218.807	0.0486364	0.59235
SESN2	8.46048	7.11353	-0.250174	0.00865
MED18	14.8747	14.2637	-0.0605142	0.5251
PHACTR4	10.0124	8.06162	-0.312642	0.00045
RCC1	103.387	107.344	0.0541881	0.52535
TRNAU1AP	7.4574	8.60026	0.205708	0.18765
GMEB1	6.27927	6.13351	-0.0338836	0.7316
YTHDF2	60.5054	58.1584	-0.0570759	0.5092
EPB41	11.9013	10.9263	-0.123308	0.21445
PTPRU	19.907	19.7722	-0.00979757	0.9085
LOC100129196	0.63225	0.41368	-0.61198	0.0275
ZCCHC17	20.9182	21.2157	0.0203739	0.8257
SERINC2	39.3566	73.1283	0.893824	5e-05
TINAGL1	34.2862	60.813	0.826752	5e-05
KHDRBS1	119.667	112.323	-0.091369	0.28015
TMEM39B	11.2667	11.4256	0.0202135	0.83875
KPNA6	19.5235	19.1565	-0.0273762	0.747
TXLNA	18.0495	18.6646	0.0483434	0.57135
CCDC28B	1.83536	1.30504	-0.491971	0.03855
IQCC	2.96904	2.92129	-0.0233922	0.8606
EIF3I	182.078	201.316	0.144908	0.0836
FAM167B	0.417587	1.93011	2.20853	5e-05
LCK	0.291751	1.07975	1.88789	5e-05
HDAC1	150.021	129.047	-0.217261	0.01055
TSSK3	3.13819	3.24774	0.0495036	0.71925
ZBTB8B	0.621439	0.541237	-0.199352	0.2184
ZBTB8A	2.54693	2.36681	-0.105813	0.2871
RBBP4	32.5158	31.8658	-0.0291364	0.7643
KIAA1522	31.759	34.5461	0.121355	0.21605
S100PBP	7.49725	7.84418	0.0652616	0.77075
ADC	2.9736	1.9208	-0.630502	5e-05
ZNF362	5.48388	5.50253	0.00489667	0.96345
ZSCAN20	1.60501	1.60451	-0.000451026	0.9899
GJB5	10.4152	13.906	0.417022	0.0001
GJB4	1.4479	1.87164	0.370335	0.00705
GJB3	30.4894	35.9173	0.236371	0.00905
ZMYM1	7.86298	7.31697	-0.10383	0.25965
ZMYM4	16.975	16.1135	-0.0751461	0.37195
NCDN	16.2759	15.1435	-0.104044	0.2439
TFAP2E	3.77384	4.29933	0.18808	0.1217
EIF2C4	2.84949	2.47607	-0.20265	0.04055
EIF2C1	13.3009	14.3166	0.106158	0.2104
EIF2C3	4.25398	3.35024	-0.34455	0.0005
ADPRHL2	21.7611	23.7112	0.123822	0.1762
MAP7D1	33.8617	34.028	0.0070666	0.9302
THRAP3	72.3517	79.4084	0.134265	0.11295
SH3D21	1.18847	1.55762	0.390238	0.0064
ZC3H12A	2.93972	3.48913	0.24719	0.041
CDCA8	30.5468	33.0243	0.112509	0.18875
MANEAL	11.4324	12.9018	0.174443	0.0698
C1orf122	50.7467	59.3972	0.227079	0.0668
UTP11L	24.6168	27.9085	0.181062	0.03955
AKIRIN1	40.9568	44.5172	0.120261	0.1588
NDUFS5	397.757	378.966	-0.0698197	0.41635
MACF1	19.5318	17.995	-0.11823	0.19
KIAA0754	7.94933	5.62632	-0.498643	0.04725
BMP8A	2.22982	2.2257	-0.00267246	0.98085
PPIE	40.6061	43.382	0.0954026	0.4273
MFSD2A	4.86935	6.26286	0.363093	0.0014
CAP1	101.946	105.405	0.0481406	0.5717
RLF	6.48953	6.22932	-0.0590396	0.5117
ZMPSTE24	30.1195	29.8467	-0.0131254	0.8768
SMAP2	8.37148	8.48283	0.0190627	0.852
DEM1	0.955103	0.569302	-0.746461	0.00035
ZNF684	1.92301	1.85666	-0.0506599	0.70805
NFYC	25.2596	27.2413	0.108962	0.2248
KCNQ4	1.39171	1.27623	-0.124975	0.37205
CTPS	25.9746	27.2094	0.0670019	0.42815
RIMKLA	1.05556	1.0066	-0.0685213	0.5285
PPCS	30.9118	29.8596	-0.0499598	0.61165
PPIH	70.6234	68.2005	-0.0503643	0.5758
YBX1	732.048	684.795	-0.0962661	0.2672
C1orf50	7.37622	8.3419	0.177493	0.15545
ERMAP	1.95106	2.12471	0.123009	0.4721
ZNF691	6.07462	4.66134	-0.38205	0.0015
FLJ32224	0.795625	0.700035	-0.184662	0.9304
WDR65	0.425682	0.382062	-0.155968	0.8156
TMEM125	9.88121	11.3069	0.194444	0.05845
CDC20	165.663	155.583	-0.0905667	0.2888
SZT2	3.35015	3.64216	0.12057	0.20855
PTPRF	60.6424	53.5533	-0.179349	0.0346
KDM4A	21.2526	18.2837	-0.217081	0.01185
ST3GAL3	1.60736	1.11624	-0.526039	0.0021
ARTN	3.58961	2.98793	-0.264684	0.0551
IPO13	8.67371	9.47044	0.126783	0.16795
DPH2	26.5606	28.1459	0.0836379	0.3465
ATP6V0B	100.266	102.536	0.0322906	0.71275
B4GALT2	39.8912	36.8476	-0.114499	0.1971
CCDC24	10.2997	10.5705	0.0374477	0.8076
DMAP1	15.7278	18.375	0.224424	0.01775
RNF220	21.7816	20.7257	-0.0716891	0.40975
C1orf228	0.703757	0.655587	-0.102292	0.6817
KIF2C	32.9485	30.6336	-0.105097	0.2184
RPS8	1904.19	1730.25	-0.138197	0.11135
PLK3	18.3293	20.858	0.186448	0.04065
BTBD19	2.32768	2.23902	-0.0560302	0.71975
UROD	47.5588	43.3009	-0.135315	0.1285
TOE1	10.052	11.1714	0.152338	0.3156
MMACHC	6.61528	6.3962	-0.0485886	0.94315
AKR1A1	86.2661	92.5994	0.10221	0.23855
NASP	83.0539	90.9914	0.131683	0.1182
TMEM69	27.9097	24.1971	-0.205934	0.083
MAST2	18.443	18.0768	-0.0289309	0.7315
TSPAN1	22.6718	53.885	1.24899	5e-05
RAD54L	14.3347	13.2503	-0.113492	0.45705
UQCRH	492.598	461.773	-0.093227	0.26725
NSUN4	7.46605	7.12251	-0.067959	0.46445
FAAH	12.4647	13.0538	0.0666214	0.48855
DMBX1	1.52701	1.37061	-0.155887	0.2639
CMPK1	37.0557	36.5555	-0.0196087	0.8194
FOXD2	0.945451	0.979697	0.051333	0.7199
CDKN2C	4.37727	5.0419	0.203938	0.0974
RNF11	27.2072	26.0202	-0.064352	0.4545
OSBPL9	16.7815	16.986	0.0174668	0.91675
BTF3L4	16.8583	16.7317	-0.010868	0.90115
ZFYVE9	6.79191	6.3331	-0.100904	0.2704
PRPF38A	21.3006	24.1285	0.179842	0.03815
ZYG11B	6.72842	5.61431	-0.26116	0.00305
SCP2	37.5297	36.0269	-0.0589568	0.526
CPT2	8.59915	9.83971	0.194422	0.12725
LRRC42	59.4591	62.6006	0.074279	0.38615
TCEANC2	2.2777	2.53751	0.155834	0.1602
MRPL37	78.9593	81.1095	0.0387617	0.64825
ACOT11	11.9027	11.5744	-0.0403535	0.72085
HEATR8	17.5806	19.495	0.149118	0.10215
TTC4	17.5806	19.495	0.149118	0.10215
TMEM61	2.0814	1.98107	-0.0712746	0.7269
PCSK9	45.2169	42.4301	-0.0917765	0.2778
PRKAA2	1.38807	1.26425	-0.134797	0.21305
FGGY	1.75451	2.78777	0.668048	5e-05
HOOK1	8.31909	8.86071	0.0909971	0.30195
NFIA	1.57317	1.01931	-0.626081	5e-05
INADL	6.5527	6.11622	-0.0994502	0.2574
USP1	20.7953	20.5782	-0.0151376	0.86655
ATG4C	4.60583	3.98382	-0.209309	0.05405
ALG6	4.74959	5.22566	0.137808	0.17725
EFCAB7	3.03359	2.99797	-0.0170412	0.8946
PGM1	38.6464	39.4687	0.0303747	0.72325
ROR1	2.29295	2.38131	0.0545499	0.6751
CACHD1	4.37417	4.64948	0.0880603	0.3616
RAVER2	17.1361	16.4804	-0.0562898	0.66965
AK4	15.7927	24.4928	0.633105	5e-05
DNAJC6	3.67268	2.39824	-0.614854	5e-05
LEPR	11.5705	9.29429	-0.316034	0.0045
LEPROT	11.5705	9.29429	-0.316034	0.0045
PDE4B	52.6097	38.5581	-0.448294	5e-05
MIER1	9.44697	8.87576	-0.0899807	0.3274
GADD45A	48.8313	50.817	0.0575048	0.51575
SRSF11	70.4447	74.0764	0.0725226	0.3936
HHLA3	9.40925	10.8755	0.208936	0.10995
CTH	9.0227	8.25808	-0.127752	0.2046
FPGT	3.06134	2.51969	-0.28092	0.00905
FPGT-TNNI3K	3.06134	2.51969	-0.28092	0.00905
TNNI3K	3.06134	2.51969	-0.28092	0.00905
TYW3	16.1489	17.3107	0.100226	0.3638
ACADM	25.285	21.6011	-0.227177	0.00925
RABGGTB	69.974	65.5851	-0.0934497	0.28135
ST6GALNAC3	1.13877	0.788733	-0.529868	0.012
ST6GALNAC5	0.908623	1.1835	0.381307	0.04885
FAM73A	3.02635	3.25929	0.106977	0.2926
DNAJB4	8.81396	8.08209	-0.125062	0.2117
IFI44	0.219845	1.23746	2.49283	5e-05
PRKACB	70.93	40.1693	-0.820303	5e-05
SAMD13	6.70327	4.72795	-0.50365	5e-05
RPF1	42.5519	35.8632	-0.246717	0.0375
WDR63	0.978128	0.521557	-0.907199	5e-05
LOC646626	0.761751	0.775501	0.0258093	0.97525
CYR61	105.122	77.4847	-0.440084	5e-05
SH3GLB1	8.78265	8.87439	0.0149914	0.8644
HS2ST1	14.0006	12.7178	-0.138642	0.2051
LMO4	5.45766	5.42609	-0.00837008	0.93025
PKN2	14.7398	14.4918	-0.0244845	0.774
LRRC8B	4.71963	4.96856	0.0741548	0.42555
LRRC8C	4.65423	3.44414	-0.434401	5e-05
LRRC8D	7.86462	6.85348	-0.198541	0.03675
ZNF326	10.5258	11.9412	0.182012	0.0523
CDC7	11.9358	11.2381	-0.086892	0.3439
EPHX4	2.11505	3.14106	0.57056	0.0001
BTBD8	0.741537	0.642525	-0.206767	0.42975
KIAA1107	0.814771	0.90759	0.155646	0.26015
RPAP2	6.73584	6.4271	-0.0676893	0.57385
RPL5	1211.82	1154.48	-0.0699302	0.4174
MTF2	13.8187	14.4112	0.0605635	0.49095
CCDC18	3.44064	3.16886	-0.118713	0.2394
DR1	30.284	26.4729	-0.194041	0.0235
FNBP1L	18.5567	18.0449	-0.0403423	0.64015
ABCD3	21.044	17.0017	-0.307729	0.00125
SLC44A3	4.14158	4.24793	0.0365792	0.75095
RWDD3	11.9708	10.4064	-0.202042	0.1276
TMEM56	11.9708	10.4064	-0.202042	0.1276
TMEM56-RWDD3	11.9708	10.4064	-0.202042	0.1276
PTBP2	3.2451	2.63503	-0.300443	0.00675
SNX7	11.7089	11.4687	-0.0299081	0.7618
AGL	10.5634	9.49895	-0.153232	0.0763
SLC35A3	4.68023	6.12098	0.387182	0.0005
HIAT1	4.48192	4.70323	0.0695344	0.52635
CCDC76	3.15984	3.39448	0.103338	0.3712
RTCD1	11.9757	14.7482	0.300421	0.00155
CDC14A	2.52542	2.12907	-0.246303	0.057
SLC30A7	4.24966	4.53223	0.0928738	0.31675
AMY2B	4.18426	3.78241	-0.145666	0.22845
RNPC3	4.18426	3.78241	-0.145666	0.22845
PRMT6	6.03027	5.61649	-0.102555	0.3182
FAM102B	7.64692	7.55789	-0.0168967	0.85545
PRPF38B	23.0366	24.077	0.0637263	0.45785
STXBP3	11.5866	11.3142	-0.034323	0.71615
GPSM2	10.7031	8.60193	-0.315292	0.0163
TMEM167B	8.92762	7.98171	-0.161577	0.09595
SCARNA2	3.41392	2.01481	-0.760783	0.0332
SARS	71.4538	76.9558	0.10702	0.21045
CELSR2	10.5428	9.78594	-0.107476	0.2032
SYPL2	0.52994	0.474451	-0.159571	0.3897
ATXN7L2	4.26832	4.18538	-0.0283095	0.80255
CYB561D1	2.12808	2.27477	0.0961679	0.3969
GNAI3	28.449	30.2055	0.0864318	0.29815
AMPD2	25.3659	29.2446	0.205278	0.01755
GSTM4	10.0467	10.8656	0.113046	0.28455
GSTM2	0.632888	0.792705	0.324834	0.2728
CSF1	1.24541	1.25851	0.0150944	0.92605
AHCYL1	35.6483	35.779	0.00527974	0.94935
FAM40A	12.0867	13.3202	0.140199	0.123
SLC6A17	4.9779	4.44382	-0.163737	0.07705
KCNC4	3.45807	4.26057	0.30108	0.00485
RBM15	8.697	7.61522	-0.191632	0.04535
CEPT1	14.5683	13.9302	-0.0646238	0.55815
C1orf88	0.512977	0.641762	0.323145	0.1451
ATP5F1	101.09	108.659	0.104168	0.2988
RAP1A	21.8589	20.324	-0.105038	0.2459
DDX20	9.45787	9.24358	-0.0330624	0.75065
CTTNBP2NL	6.15258	5.44207	-0.177034	0.05195
WNT2B	0.658088	0.623265	-0.0784347	0.72105
CAPZA1	67.6838	70.3529	0.0557993	0.50845
MOV10	35.1919	34.9628	-0.0094205	0.91475
FAM19A3	0.659379	0.511705	-0.365797	0.27815
LRIG2	3.00964	3.01836	0.00417345	0.96615
MAGI3	2.51763	2.37195	-0.0859945	0.39025
DCLRE1B	6.09138	6.3815	0.0671267	0.4864
HIPK1	11.369	9.36673	-0.279483	0.00145
VANGL1	10.1982	9.46412	-0.107768	0.2139
SLC22A15	0.729457	0.729364	-0.000185649	0.9823
ATP1A1	193.67	241.663	0.319397	5e-05
PTGFRN	21.574	21.5479	-0.00174827	0.9832
CD101	0.441968	0.413948	-0.0944926	0.65025
TTF2	14.2942	15.4777	0.114759	0.18335
MAN1A2	14.9722	13.9986	-0.0970041	0.2551
FAM46C	0.729339	0.867464	0.250216	0.0647
WDR3	26.5209	26.6685	0.00800987	0.9235
PHGDH	84.0346	80.098	-0.0692177	0.41995
FAM72B	1.88101	1.53809	-0.290367	0.0346
SRGAP2P2	18.8021	14.414	-0.383417	0.0003
NBPF9	6.79337	6.14512	-0.144688	0.13685
SEC22B	27.5725	26.6947	-0.0466781	0.6011
NOTCH2NL	2.63308	2.92692	0.152635	0.1387
NBPF10	1.1956	1.09453	-0.127423	0.21115
ANKRD34A	0.544547	0.696792	0.355672	0.04155
LIX1L	9.69786	6.23501	-0.637274	5e-05
RBM8A	23.0991	25.7831	0.158588	0.12995
PEX11B	14.4237	14.4427	0.00189917	0.9849
ITGA10	0.487929	0.70774	0.536548	0.00035
PIAS3	18.7077	15.3028	-0.289834	0.0017
RNF115	10.4707	10.3812	-0.0123907	0.89995
PDIA3P	0.968449	0.838549	-0.20778	0.257
CHD1L	24.4382	22.2857	-0.133015	0.1321
BCL9	9.8274	9.44348	-0.0574902	0.5126
NBPF15	2.21318	2.24527	0.0207633	0.8473
NBPF16	2.21318	2.24527	0.0207633	0.8473
NBPF16	1.35027	1.48783	0.139956	0.27805
LOC645166	3.38934	3.60181	0.0877163	0.67275
LOC388692	0.525377	0.501436	-0.0672886	0.58775
FAM91A2	0.866002	0.632193	-0.454007	0.1367
LOC728855	0.866002	0.632193	-0.454007	0.1367
HIST2H2AC	5.25385	4.8916	-0.103068	0.70635
BOLA1	15.997	14.5363	-0.138145	0.2124
VPS45	8.98576	9.04246	0.00907598	0.92345
PLEKHO1	6.64536	6.40676	-0.0527514	0.63485
C1orf54	1.06749	0.554417	-0.945179	0.11295
MRPS21	179.888	188.303	0.0659569	0.473
PRPF3	24.4917	29.3468	0.260914	0.0024
RPRD2	9.03364	8.24233	-0.132255	0.125
TARS2	7.91762	8.43192	0.0907958	0.3556
ECM1	0.726814	1.44203	0.988438	5e-05
SETDB1	14.6804	14.5009	-0.0177515	0.86915
ANXA9	3.08406	2.79629	-0.141315	0.29385
PRUNE	9.25054	7.14921	-0.371753	5e-05
GABPB2	2.50602	2.73042	0.123727	0.3593
SCNM1	9.75686	12.1334	0.314498	0.0032
TNFAIP8L2	9.75686	12.1334	0.314498	0.0032
TNFAIP8L2-SCNM1	9.75686	12.1334	0.314498	0.0032
PIP5K1A	32.1119	30.7373	-0.0631181	0.45465
PSMD4	123.634	125.998	0.0273235	0.7469
ZNF687	9.26993	7.41079	-0.322931	0.02695
PSMB4	319.38	360.714	0.175581	0.039
CGN	8.07734	7.59727	-0.0883987	0.32535
TUFT1	4.1473	4.14584	-0.00051056	0.99585
SNX27	9.3791	8.56996	-0.130161	0.1324
OAZ3	2.53477	2.81701	0.152313	0.7882
S100A1	0.552898	0.70688	0.354453	0.89035
CHTOP	59.2796	58.2142	-0.0261654	0.7969
SNAPIN	33.2869	31.2251	-0.0922503	0.32945
INTS3	21.9867	19.9639	-0.139238	0.10005
SLC27A3	5.73407	7.75928	0.436363	0.0001
CREB3L4	6.96455	7.40478	0.0884268	0.71745
RPS27	3940.14	3701.53	-0.0901251	0.2896
UBAP2L	61.877	55.629	-0.153566	0.1942
HAX1	36.8894	40.3371	0.1289	0.15505
ATP8B2	10.9618	10.53	-0.0579841	0.557
IL6R	0.93155	0.793823	-0.230816	0.0966
CKS1B	169.633	168.435	-0.0102328	0.9057
FLAD1	26.937	27.3815	0.0236146	0.7901
ZBTB7B	15.2051	14.4289	-0.0755891	0.39105
ADAM15	61.8853	75.6741	0.290203	0.0009
EFNA4	17.9171	15.398	-0.218598	0.43545
EFNA3	13.6106	12.8879	-0.0787108	0.42595
EFNA1	10.0335	10.6181	0.0817062	0.4327
SLC50A1	22.7935	25.3799	0.155061	0.10215
TRIM46	1.97814	1.81256	-0.126111	0.3431
MTX1	35.6948	36.0141	0.0128516	0.8865
HCN3	2.84235	2.23125	-0.349232	0.0046
FDPS	111.068	118.637	0.0951061	0.38445
RUSC1	44.8741	42.7083	-0.0713675	0.643
LOC645676	1.02957	0.781842	-0.397094	0.5762
MSTO1	9.46454	9.82316	0.0536553	0.57885
DAP3	54.4558	62.8486	0.206796	0.0159
MSTO2P	0.960488	0.817961	-0.231735	0.6394
LAMTOR2	64.7775	70.1836	0.115642	0.21365
RAB25	69.5449	68.6547	-0.0185872	0.83215
LMNA	277.905	285.846	0.0406426	0.6408
SLC25A44	6.10351	5.66948	-0.106422	0.27985
BGLAP	39.7248	37.3296	-0.0897195	0.3395
PMF1	39.7248	37.3296	-0.0897195	0.3395
PMF1-BGLAP	39.7248	37.3296	-0.0897195	0.3395
TMEM79	2.96724	3.19704	0.107617	0.4054
C1orf182	1.08262	2.23845	1.04797	0.73365
RHBG	1.50031	1.89649	0.338074	0.0267
APOA1BP	78.2206	72.7861	-0.103886	0.2287
BCAN	2.12437	2.10418	-0.0137757	0.918
RRNAD1	8.57906	9.11061	0.0867275	0.4059
PRCC	42.3257	40.7852	-0.05349	0.52815
PEAR1	3.0023	2.57791	-0.219868	0.04375
KIRREL	6.10945	9.63964	0.657937	5e-05
DUSP23	41.3912	43.2871	0.0646132	0.51905
LOC100505633	0.180549	0.469845	1.3798	0.02765
PEA15	21.4669	22.0222	0.0368474	0.67405
NCSTN	26.0955	32.0652	0.297206	0.0912
KLHDC9	0.611898	0.374573	-0.708043	0.07915
NIT1	19.2878	20.2174	0.0679109	0.71965
UFC1	62.3576	68.2099	0.129416	0.1361
USP21	10.4578	8.90262	-0.232276	0.02225
PPOX	8.02592	7.75528	-0.049488	0.6496
NDUFS2	46.1069	44.5508	-0.0495316	0.57135
TOMM40L	5.17355	6.31918	0.288582	0.00555
SDHC	36.2808	35.7277	-0.0221646	0.79925
FCRLB	0.717708	0.699442	-0.0371934	0.88545
DUSP12	15.9912	16.0962	0.00944044	0.92525
ATF6	6.86143	6.433	-0.0930171	0.289
NOS1AP	2.4232	2.26197	-0.0993345	0.3733
C1orf226	8.98315	8.76495	-0.0354761	0.70585
UHMK1	36.3739	37.862	0.0578467	0.48955
UAP1	22.4326	25.9978	0.212792	0.0142
HSD17B7	12.1163	12.171	0.00650123	0.9486
RGS4	0.465774	0.512323	0.137425	0.5175
NUF2	9.64903	8.41599	-0.197252	0.04935
PBX1	3.82677	4.92736	0.364686	0.00015
MGST3	47.0712	47.5912	0.0158516	0.8591
UCK2	14.4327	14.6088	0.0174974	0.8588
POGK	23.5194	23.3186	-0.0123702	0.88395
POU2F1	3.75733	3.71552	-0.0161444	0.85655
MPZL1	21.694	20.6834	-0.0688238	0.4225
DCAF6	18.2722	17.5238	-0.060335	0.56795
TIPRL	20.1739	21.7285	0.107097	0.39985
SFT2D2	12.0774	13.7537	0.187507	0.1126
TBX19	1.53297	1.29188	-0.246854	0.07265
ATP1B1	30.0361	31.9914	0.0909901	0.36995
BLZF1	6.33365	7.17883	0.180713	0.0746
C1orf112	4.79673	5.18854	0.113275	0.4344
GORAB	2.84688	2.42013	-0.234293	0.0657
FMO4	0.703986	0.542303	-0.376448	0.10795
PRRC2C	31.9395	31.0849	-0.0391297	0.6435
METTL13	23.3295	24.3216	0.0600821	0.4869
DNM3	1.10036	1.09034	-0.0131917	0.9082
