symbol	Uninfected_12.FPKM	SC35M_wt_12.FPKM	uninfected_12_SC35M_wt_12.logfc	uninfected_12_SC35M_wt_12.qvalue
PDK4	9.70317	10.2435	0.0781882	0.757598
SLC22A16	0	0	0	1
ZMYND10	1.11193	1.45782	0.390737	0.701162
ABCB5	0	0.00552195	Inf	1
ARX	0.00416737	0	-Inf	1
SLC25A13	44.8143	39.4459	-0.184084	0.747717
ST7	22.8197	26.7737	0.230535	0.561926
CDC27	87.8482	75.5698	-0.217203	0.726176
SLC4A1	0.00525098	0.0085736	0.707314	1
CALCR	0.0238969	0.00850567	-1.49033	1
HCCS	64.6529	75.5629	0.224963	0.139063
DVL2	26.1441	22.2701	-0.231379	0.310477
PRSS22	0.343499	0.185724	-0.887143	1
UPF1	35.5767	27.9675	-0.347181	0.195782
SKAP2	10.7208	10.5434	-0.0240818	0.974147
SLC25A5	923.568	842.385	-0.132739	0.672729
CCDC109B	15.7366	22.0595	0.487282	0.243654
HOXA11	4.37065	4.02588	-0.11854	0.758459
POLR2J	36.2418	48.8137	0.429631	0.0196933
DHX33	16.0087	16.9403	0.0816054	0.925559
MEOX1	4.41891	3.32603	-0.40989	0.020594
THSD7A	0	0	0	1
LIG3	40.143	35.0884	-0.194154	0.890138
RPAP3	33.3551	36.2068	0.118351	0.840787
ACSM3	0.751908	0.475163	-0.662134	0.612151
AC004381.6	16.9324	14.9324	-0.181342	0.874569
CIAPIN1	159.713	152.939	-0.062529	0.968065
SPPL2B	30.8571	24.7826	-0.316276	0.311155
FAM214B	2.63209	2.25179	-0.225136	0.516606
COPZ2	4.96398	4.58147	-0.115687	0.926748
PRKAR2B	0.0220487	0.0370647	0.74935	1
MSL3	28.8271	31.2456	0.116227	0.792549
CREBBP	23.6319	22.4254	-0.0756005	0.952513
BZRAP1	0	0.00177062	Inf	1
MPO	0	0.055435	Inf	1
PON1	0.534965	0.671604	0.328166	0.880333
GCFC2	17.9387	21.1805	0.239656	0.787735
WDR54	33.1415	25.9188	-0.354639	0.0329459
CROT	2.86516	2.67852	-0.0971815	0.872967
ABCB4	0.00839489	0	-Inf	1
MLL5	15.592	15.7227	0.0120446	0.987203
RHBDD2	49.6924	51.6574	0.0559512	0.969088
SOX8	0	0.0036604	Inf	1
IBTK	19.7152	20.837	0.0798385	0.749781
ZNF195	17.5164	16.7319	-0.0661053	0.922553
MYCBP2	24.2083	23.7037	-0.0303889	0.97638
FBXL3	22.1146	21.9017	-0.0139522	0.980201
ITGAL	0.0214095	0.00901522	-1.24782	1
PDK2	31.379	27.8924	-0.169928	0.635519
ITGA3	180.921	140.126	-0.368641	0.491802
ZFX	46.2878	37.442	-0.305974	0.83435
LAMP2	43.1626	37.7021	-0.195138	0.357429
GGNBP2	39.8244	34.2531	-0.217419	0.48482
ITGA2B	1.67835	1.14432	-0.552548	0.813757
ASB4	0.0309707	0.0662033	1.096	1
GDE1	61.8224	68.5447	0.148916	0.555499
C19orf60	37.2558	46.2742	0.312744	0.830565
CRLF1	6.69629	8.69677	0.377116	0.844118
OSBPL7	12.1983	7.82271	-0.640946	0.132477
TMEM98	0	0.0870805	Inf	1
YBX2	0.178766	0.202463	0.179584	1
KRT33A	0	0	0	1
MAP3K14	5.41807	3.92974	-0.463345	0.107348
ABCC8	0.156079	0.174865	0.163969	1
CCL18	0	0	0	1
CCL3	0	0	0	1
SYNRG	9.48605	11.1365	0.231413	0.666274
CACNG3	0.0435171	0.0334027	-0.381619	1
TMEM132A	32.9679	27.5105	-0.261076	0.777724
AP2B1	84.0189	67.807	-0.309279	0.415218
TAC1	0	0	0	1
ZNF263	14.9101	12.6435	-0.237894	0.41031
CX3CL1	0.0159165	0.00714325	-1.15587	1
SPATA20	8.46201	8.2949	-0.028775	0.969501
CACNA1G	0.019031	0.101562	2.41594	1
TNFRSF12A	92.4244	84.7306	-0.12539	0.930513
DLX6	0	0	0	1
MAP3K9	2.2993	1.94091	-0.244462	0.221079
RALA	57.3497	65.8932	0.200344	0.796168
BAIAP2L1	13.0831	13.1598	0.00843308	0.989478
JHDM1D	1.76581	2.04595	0.212443	0.829137
ETV1	0	0	0	1
AGK	14.5297	12.6517	-0.199678	0.757758
ALDH3B1	35.3288	30.7077	-0.202248	0.423479
TTC22	0	0	0	1
PHTF2	10.622	12.3553	0.218084	0.66476
CCL26	10.8901	12.655	0.216687	0.558115
FARP2	17.6232	17.3497	-0.0225696	0.982836
USH1C	3.07861	4.48815	0.543843	0.85803
GGCT	83.4377	119.501	0.518253	0.00362295
DBF4	30.9054	31.6456	0.0341428	0.96765
TBXA2R	3.22074	3.41976	0.0865025	0.865165
IFRD1	32.1883	26.3473	-0.288882	0.480838
LGALS14	0	0	0	1
COX10	11.9201	11.6035	-0.0388399	0.943803
GTF2IRD1	39.2047	32.4626	-0.272244	0.575795
PAF1	48.3099	44.3188	-0.124399	0.770229
VPS41	37.925	32.78	-0.210332	0.785763
ARHGAP44	0.0848765	0.169657	0.999188	1
ELAC2	100.053	93.4557	-0.0984119	0.86088
SCIN	0.48274	0.460847	-0.066958	0.969894
ARSD	5.40746	5.99514	0.148843	0.935877
PNPLA4	28.8055	34.2782	0.250949	0.225498
MYH13	0	0	0	1
ADIPOR2	49.7555	53.9636	0.11713	0.851149
CDKL3	1.31826	1.36401	0.049215	0.987224
UPP2	0	0	0	1
PRSS21	212.316	231.833	0.126874	0.552801
MARK4	5.85097	4.58781	-0.350868	0.732964
PROM1	0.159487	0.0834485	-0.934478	1
CCDC124	161.469	176.35	0.12719	0.580631
CEACAM21	0	0	0	1
PAFAH1B1	83.0005	79.4904	-0.0623394	0.911197
NOS2	0.00276975	0.0105461	1.92887	1
DNAH9	0.0263224	0.0251979	-0.0629885	1
KIAA0100	105.809	106.545	0.00999345	0.991673
SLC13A2	0.125485	0.0755817	-0.73141	1
GAS7	3.77227	3.95148	0.0669609	0.954659
TRAPPC6A	4.06988	3.47052	-0.229835	0.918395
MATK	26.4384	30.1691	0.190433	0.346399
CEACAM7	0	0.0214277	Inf	1
CD79B	0.0323193	0.156036	2.27141	1
SCN4A	0.180856	0.0634207	-1.51182	1
ST7L	35.2218	37.489	0.0900009	0.956068
TKTL1	0.0109716	0.170824	3.96067	1
PAX6	15.579	10.1608	-0.616582	0.632639
RPUSD1	16.489	17.3259	0.0714244	0.914583
RHBDF1	11.0589	7.74279	-0.514277	0.233274
LUC7L	32.2633	33.1714	0.0400473	0.936379
CACNA2D2	0.0280837	0.0602258	1.10065	1
BAIAP3	0.728644	0.592778	-0.297724	0.895572
TSR3	50.3688	54.9995	0.126887	0.562415
PIGQ	38.2717	29.1947	-0.390569	0.702594
CRAMP1L	16.6173	13.4551	-0.304531	0.912743
TEAD3	7.09831	5.99814	-0.242961	0.332489
SELE	0	0.00312604	Inf	1
DNAJC11	89.5243	112.082	0.324204	0.589855
FMO3	0	0.0354188	Inf	1
MYLIP	6.54672	5.69171	-0.201911	0.308986
NOX1	0.255206	0.454704	0.833267	0.53555
E2F2	12.8528	12.3356	-0.0592629	0.940484
PSMB1	159.041	168.241	0.0811336	0.700542
SYN1	0.0535508	0.134557	1.32924	1
JARID2	5.85651	4.75519	-0.300539	0.0805186
CDKL5	1.69877	1.37383	-0.306291	0.408002
CAMK1G	0.00831905	0.00969462	0.220765	1
CDK11A	28.1359	22.2384	-0.339358	0.585414
NADK	124.675	107.695	-0.211217	0.872408
TFAP2B	0	0	0	1
TFAP2D	0	0	0	1
DLEC1	0.0126788	0.0202915	0.678452	1
CYTH3	9.42234	8.78757	-0.10062	0.896817
ADAM22	1.28507	1.25628	-0.0326981	0.975943
SYPL1	48.8247	51.7542	0.0840642	0.83931
CYB561	25.3952	22.5675	-0.170305	0.665252
SPAG9	32.278	25.5165	-0.339119	0.435941
CELSR3	2.75307	2.22827	-0.305115	0.60663
AASS	0.180228	0.150157	-0.263352	1
PLEKHG6	0.701188	2.39728	1.77352	0.0382083
SS18L2	20.1352	20.8872	0.0528987	0.96563
MPND	9.56506	10.3014	0.106988	0.926493
MGST1	837.294	938.722	0.164963	0.872867
CRY1	7.83624	8.75816	0.160467	0.694745
PGLYRP1	0.244271	0.0715241	-1.77198	1
NFIX	4.85269	4.57737	-0.0842648	0.969477
ST3GAL1	6.87082	7.51936	0.130126	0.914695
MMP25	0.951077	0.384474	-1.30668	0.284382
IL32	15.725	19.3024	0.295721	0.381224
PKD1	30.0095	25.3277	-0.244702	0.748778
MAPK8IP2	0.0276607	0.0518196	0.905658	1
MED24	104.487	87.4575	-0.256676	0.469343
RHOBTB2	31.3088	27.2921	-0.198084	0.845232
HEATR5B	5.29996	3.65838	-0.534776	0.016942
SEC62	197.632	242.146	0.29306	0.340852
RPS20	1685.02	2286.22	0.440195	0.000538752
CSDE1	558.102	557.821	-0.000725586	0.998144
UBE3C	36.1114	39.6291	0.134106	0.751446
REV3L	8.43029	8.18401	-0.0427746	0.968887
TENM1	0.00669319	0.00341907	-0.96909	1
PAX7	0	0	0	1
MASP2	0.240008	0.499836	1.05837	0.0737956
IYD	0.0173326	0.0546194	1.65593	1
FAM76A	4.51391	4.08088	-0.145497	0.752928
TRAF3IP3	1.98469	1.8754	-0.0817139	0.959226
POMT2	48.6141	38.1373	-0.35017	0.377404
VTA1	23.9541	25.1931	0.0727579	0.838404
MLXIPL	7.20967	5.98056	-0.269654	0.585674
BAZ1B	37.6079	38.7827	0.044379	0.875228
RANBP9	37.197	33.1922	-0.164342	0.719056
ETV7	0.0121136	0	-Inf	1
SPRTN	8.38716	6.74141	-0.315132	0.5365
METTL13	34.7449	32.3245	-0.104173	0.779452
DYRK4	18.2376	17.5097	-0.0587665	0.973727
ZNF207	101.076	102.66	0.0224319	0.960945
UQCRC1	326.417	296.739	-0.137521	0.607142
STARD3NL	7.19093	7.18518	-0.00115334	0.997421
CD9	124.057	116.157	-0.0949277	0.669977
HHATL	0	0.0248914	Inf	1
NCAPD2	434.416	355.219	-0.290369	0.828375
IFFO1	0.117998	0.232021	0.975497	1
GIPR	13.0029	0.227348	-5.83778	0.000538752
PHF7	2.08215	3.48575	0.743398	0.66082
SEMA3G	1.32039	0.984485	-0.423525	0.392798
NISCH	15.0613	12.4344	-0.276506	0.460492
STAB1	0.456198	0.257604	-0.824504	0.607895
FUZ	14.3006	12.2522	-0.223033	0.872317
SLC6A13	0.0121482	0.0121711	0.0027062	1
IDS	8.04513	9.33223	0.214106	0.62203
PRSS3	0	0	0	1
ZNF200	7.68492	6.64126	-0.210573	0.395626
CD4	0	0.0617811	Inf	1
LRRC23	3.72589	3.42404	-0.121887	0.956692
BTK	0	0	0	1
HFE	13.4111	8.41191	-0.672927	0.00441694
SCMH1	10.6266	9.61363	-0.144522	0.855945
FYN	61.7913	53.8946	-0.197263	0.42242
HIVEP2	0.758118	0.795917	0.0701962	0.961238
FMO1	0	0.0289762	Inf	1
TCEB3	33.7216	35.5931	0.0779243	0.930557
LYPLA2	101.564	97.0176	-0.0660711	0.913679
CLCN6	4.02284	3.15917	-0.348672	0.541184
MRC2	7.14773	6.35921	-0.168636	0.914826
NME2	589.887	963.088	0.707229	0.0091353
SLC6A7	0.194996	0.195954	0.00706706	1
TSPAN9	3.76954	2.81903	-0.419191	0.504848
BTBD7	16.0324	19.1809	0.258684	0.891182
APBA3	8.55082	6.16041	-0.473038	0.0876094
MKS1	18.9762	15.3042	-0.310265	0.296595
ABHD5	17.7882	16.988	-0.0664049	0.913448
KAL1	0	0	0	1
AKAP8L	66.5102	56.9764	-0.22321	0.578263
MBTD1	4.5486	3.7549	-0.276647	0.184081
UTP18	48.0603	57.0568	0.247554	0.273623
RNF216	12.7057	12.244	-0.0534033	0.953817
TTC19	21.07	19.8903	-0.0831202	0.908644
PTBP1	1178.75	902.198	-0.385738	0.60916
DPF1	2.52165	3.57678	0.504291	0.269354
SYT7	1.33416	1.30027	-0.0371302	0.972988
LARS2	28.5872	26.0856	-0.132118	0.818293
PIK3C2A	22.7106	25.5073	0.167549	0.937264
PLAUR	21.889	19.2706	-0.183808	0.501148
ANLN	142.611	103.56	-0.461609	0.137693
WIZ	52.2458	49.9495	-0.064845	0.976899
RABGAP1	31.0872	27.3049	-0.187161	0.726596
DCN	1.19222	4.58757	1.94408	0.00362295
QPCTL	15.5208	12.1223	-0.356534	0.725688
PPP5C	73.5794	72.0392	-0.0305193	0.96665
CEP68	2.18212	2.57843	0.240761	0.854563
MAP4K3	10.5293	10.365	-0.0226929	0.989627
ZBTB32	0.743167	0.750332	0.0138418	0.995796
TYROBP	0	0	0	1
TMEM159	5.96526	8.76085	0.554485	0.223979
GABRA3	0	0	0	1
BRCA1	35.3235	34.6059	-0.02961	0.973097
ERCC1	39.1319	42.0704	0.104462	0.929545
CD22	0.540785	0.572593	0.0824537	0.952399
SEMA3B	91.5924	58.5035	-0.646706	0.000538752
MBTPS2	19.6811	18.2304	-0.110464	0.641666
PRICKLE3	54.4109	52.2549	-0.0583296	0.912816
LTF	0	0.063741	Inf	1
EXTL3	15.6287	15.4446	-0.0170917	0.984219
NR1H4	0	0	0	1
ELOVL5	41.8696	43.611	0.0587876	0.872297
ALOX5	0.218577	0.188058	-0.21696	1
KDM5D	0	0	0	1
CALCOCO1	18.5778	14.0294	-0.405134	0.0893972
UBR7	28.4233	30.2518	0.0899488	0.896268
MAP4K5	32.2916	29.3831	-0.136174	0.927559
EHD3	0	0	0	1
PSMC4	82.6454	75.8558	-0.123677	0.484895
MAN2B2	13.2291	14.87	0.168692	0.828104
SLC7A14	0.00415262	0.00222983	-0.897084	1
CLDN11	0.150258	0.235207	0.646494	1
SLC25A39	157.012	183.395	0.224074	0.20066
MVP	80.3745	54.7108	-0.554913	0.80268
NUB1	59.9112	56.0843	-0.0952286	0.803323
PGM3	88.7423	85.2804	-0.0574088	0.9851
RWDD2A	3.13827	3.03917	-0.0462934	0.975334
CLK1	25.768	27.3841	0.0877606	0.884243
POLR3B	16.1069	12.8102	-0.330384	0.442434
ANGEL1	11.1531	9.80324	-0.186121	0.671531
RNF14	27.902	28.7826	0.0448324	0.947645
DNASE1L1	22.0816	21.7071	-0.0246772	0.987462
DDX11	50.6042	40.3747	-0.325805	0.335618
HEBP1	34.6679	35.2412	0.0236606	0.951113
GPRC5A	299.139	222.283	-0.42842	0.0280432
MAMLD1	4.36892	4.07749	-0.0995928	0.90615
CD6	0	0	0	1
TACC3	53.653	45.8142	-0.227866	0.434004
UFL1	9.9695	9.68967	-0.0410734	0.904357
POLA2	60.8226	51.1744	-0.249185	0.324027
ZC3H3	9.63168	8.07618	-0.254114	0.0714471
CAPN1	117.614	100.11	-0.232482	0.725267
ACPP	4.29165	4.18921	-0.0348542	0.974853
MDH1	293.664	289.237	-0.0219131	0.956137
SLC30A9	21.0148	23.6615	0.17114	0.48708
MTMR11	3.49395	3.38401	-0.0461247	0.965458
COX15	37.2599	33.7226	-0.143909	0.685918
CCDC88C	7.45933	7.36216	-0.0189179	0.983441
YAF2	55.944	61.2063	0.129697	0.922011
ZMYND11	15.9914	19.1602	0.260817	0.397332
WAS	0.11925	0.340958	1.51561	1
DPEP1	0.704297	0.672324	-0.0670281	0.974903
BID	35.2479	31.9846	-0.140158	0.86004
MATR3	473.888	475.804	0.00582189	0.993089
NPC1L1	0.021081	0.0330324	0.647939	1
XYLT2	6.83266	6.14537	-0.152948	0.631852
RGPD5	0.0970179	0.167759	0.790064	1
STMN4	0	0.0108142	Inf	1
NUDCD3	39.8733	35.4179	-0.170943	0.858546
ISL1	0.0110358	0.0122707	0.153031	1
CHDH	3.89977	3.68473	-0.0818307	0.832205
IL20RA	1.96405	2.8631	0.543748	0.541504
CLCA1	0	0	0	1
CLCA4	0	0	0	1
GLT8D1	46.7378	50.8467	0.121566	0.934012
ATP2C1	96.695	96.5754	-0.00178493	0.996758
SRCIN1	2.97367	2.5173	-0.240368	0.784882
IGF1	0	0.00141536	Inf	1
SLC38A5	354.373	299.459	-0.24291	0.158693
MAGIX	2.62209	2.48139	-0.0795697	0.947654
RALBP1	21.3947	24.1723	0.176103	0.448032
RUFY3	5.83007	5.9027	0.017863	0.985518
CNTN1	0.0493748	0.0309814	-0.672376	1
SLC11A1	0.184448	0.392423	1.08919	0.328317
WWTR1	27.6893	25.9088	-0.0958855	0.895572
AGPS	20.6095	21.7441	0.0773133	0.940535
ZNF806	0	0	0	1
CXorf56	29.4395	29.9878	0.0266212	0.967497
ATP1A2	0.00819635	0.0227906	1.47538	1
TTC27	24.3725	20.0294	-0.28313	0.353947
ZNF582	0	0	0	1
VSIG2	0.0104215	0.0238515	1.19452	1
PHLDB1	8.87297	6.7123	-0.402611	0.435502
MARCO	2.40033	2.59836	0.114366	0.933267
CYP24A1	0	0.0378278	Inf	1
PRDM11	12.4462	10.5179	-0.242857	0.417309
SYT13	0.178808	0.210137	0.232918	1
SNAI2	2.32341	1.93281	-0.265545	0.300057
CD74	0.229444	0.445647	0.957757	0.204785
HGF	0.0119402	0.00529534	-1.17304	1
ZRANB1	9.94176	10.4328	0.0695534	0.936824
NCDN	14.6106	13.1888	-0.147696	0.713199
GPR124	1.38953	2.14306	0.625079	0.424571
CCT8L1P	0	0.0158223	Inf	1
ZFP64	11.1049	9.49909	-0.225342	0.436131
MNAT1	40.882	41.5338	0.0228189	0.981805
SAMD4A	2.1083	1.96713	-0.099989	0.958112
RUNX3	0.0365957	0.0259584	-0.495474	1
MRE11A	22.4991	21.1311	-0.0904962	0.856292
PLEKHB1	0.168552	0.294446	0.804808	1
SERPINB1	58.1578	73.5252	0.338268	0.150737
CYP3A43	0	0	0	1
SLC7A9	0	0.0314573	Inf	1
SPAST	5.59471	6.03126	0.108396	0.588357
NRXN3	0	0.00255103	Inf	1
OSBPL5	26.3993	26.3422	-0.0031254	0.994788
AQR	17.7549	14.156	-0.326809	0.521337
CPS1	486.491	383.396	-0.343576	0.66556
C8B	0	0	0	1
FHL1	57.6386	49.7156	-0.213336	0.455867
RTFDC1	113.598	108.193	-0.0703348	0.887539
GABRA1	0	0	0	1
NLRP2	0.0209146	0	-Inf	1
SLC45A4	3.18912	3.25437	0.0292158	0.972675
RNF10	334.751	358.927	0.100601	0.871228
ZNF839	11.526	9.45965	-0.285039	0.66082
ZDHHC6	35.959	54.1035	0.589368	0.18274
GRAMD1B	21.2058	17.4696	-0.279615	0.326008
RNH1	58.7096	43.4425	-0.434491	0.0153955
NDUFS1	52.6883	47.5926	-0.146744	0.87204
RB1CC1	29.6155	23.3686	-0.341782	0.338971
ERP44	9.14026	8.75975	-0.0613456	0.815435
ALAS1	31.3781	28.5846	-0.134523	0.581395
BIRC3	8.56516	8.28185	-0.0485281	0.958867
AKAP11	4.16223	3.9314	-0.0823111	0.716552
GLRX2	44.9989	51.6209	0.198066	0.218933
SNAPC1	4.68274	4.49702	-0.058386	0.975612
DERA	60.0062	51.7855	-0.212564	0.397514
STRAP	164.356	201.251	0.292173	0.135412
ABCC2	56.4524	44.1318	-0.355214	0.0028049
DEF6	0.20801	0.295413	0.50608	1
PLEKHO1	0.532738	0.399268	-0.416071	0.71133
GCLM	40.2225	37.7718	-0.0906921	0.892379
UBR2	7.69576	6.02609	-0.352841	0.00948013
EHD2	27.4579	18.0653	-0.603998	0.0313554
DEPDC1	38.9255	36.4252	-0.0957793	0.892715
CCDC28A	5.42958	5.84493	0.106344	0.7313
RRAGD	0.00518246	0	-Inf	1
HSF2	2.20399	2.3091	0.067212	0.894485
PHF20	37.4809	35.094	-0.0949308	0.939498
HSD17B6	2.32076	2.802	0.27186	0.950545
NR1H3	52.718	52.0845	-0.0174413	0.979857
TYMP	1.3437	1.6539	0.299664	0.851677
NCAPH2	34.6973	32.6863	-0.0861378	0.873218
TOMM34	72.6497	70.9449	-0.0342579	0.914104
SEC63	125.953	119.415	-0.076908	0.887962
KPNA6	32.9806	30.4881	-0.113372	0.77793
VIM	323.08	281.581	-0.198341	0.206699
RTEL1-TNFRSF6B	2.19463	1.59743	-0.458218	0.582732
FAS	11.0963	9.96353	-0.155349	0.764682
RNASET2	17.283	19.2404	0.154785	0.590706
CD44	597.947	410.691	-0.541965	0.0108391
KCNG1	0	0.0056258	Inf	1
AGPAT4	0.923221	0.829513	-0.154411	0.901862
SLAMF7	0.0571063	0	-Inf	1
BTN3A1	7.95522	7.55243	-0.0749611	0.882925
MIPEP	9.02189	10.2176	0.179561	0.633935
PRKCH	5.71081	5.7828	0.0180728	0.985038
INSRR	0.0108792	0.00417866	-1.38046	1
IFNGR1	16.3787	16.0904	-0.025621	0.963077
B4GALT7	18.2754	16.6643	-0.133142	0.758406
SH2D2A	7.75213	7.53348	-0.0412773	0.946058
VRK2	9.04827	10.3506	0.194002	0.814675
TNFRSF1B	0	0.00940325	Inf	1
VEZT	45.0018	41.7748	-0.10735	0.813352
POU2F2	0.0570025	0.070637	0.309399	1
BRD9	41.6523	31.3285	-0.410921	0.623387
SNX1	112.106	110.246	-0.0241344	0.973538
TBPL1	8.59123	8.37135	-0.0374051	0.968532
ARNTL2	10.5122	11.2787	0.101539	0.806439
BCLAF1	89.2302	78.1519	-0.191252	0.608899
SLC39A9	30.0355	31.2175	0.0556839	0.933583
ANK1	0.805174	0.44021	-0.871109	0.239648
IBSP	0	0	0	1
TFB1M	14.4326	13.315	-0.116276	0.940081
RABEP1	38.7629	44.977	0.214511	0.88668
HMGB3	145.702	164.486	0.174943	0.456201
NUP160	77.0835	70.0276	-0.138497	0.489099
BAK1	12.2017	12.2675	0.00775999	0.982181
MUSK	0	0	0	1
IKZF2	0.215794	0.209378	-0.0435449	1
GRN	270.461	186.489	-0.536331	0.00441694
FAM13B	11.7226	11.3333	-0.0487248	0.941426
ARHGAP31	0.100482	0.13911	0.469298	1
NR2E3	0.032799	0.0311004	-0.0767203	1
CENPQ	13.4133	15.2179	0.182108	0.297476
SARS	82.939	83.0319	0.00161584	0.995284
RANBP3	61.1486	62.1051	0.0223918	0.972054
ARID4A	10.308	10.2201	-0.0123606	0.990161
TSSC1	26.5653	24.1378	-0.13825	0.702909
PNPLA6	75.9435	59.6109	-0.34935	0.224954
IFT88	3.26593	2.90661	-0.168153	0.774088
ALG1	45.1828	40.0462	-0.174109	0.809257
ZCCHC8	11.9046	11.6723	-0.0284256	0.949794
ABCF2	94.1333	85.6074	-0.13697	0.805282
CHPF2	16.7673	13.278	-0.336621	0.268824
LRRC7	0.0548841	0.219254	1.99814	1
FUT8	16.8287	14.74	-0.191187	0.591826
UBA6	34.7739	28.9024	-0.266812	0.735246
GAB2	3.25639	2.72617	-0.256396	0.573458
ATP6V0A1	44.6091	33.6863	-0.405178	0.16302
PIAS1	16.4632	15.293	-0.106368	0.915815
SLC4A7	6.00312	7.00668	0.223018	0.712628
APBA2	0	0	0	1
UHRF1	44.6918	43.0426	-0.0542463	0.83641
MAP2K3	31.6743	34.2395	0.112346	0.784882
EFCAB1	0	0	0	1
TMSB10	2796.55	3819.34	0.449675	0.000538752
ASTE1	6.58978	3.32679	-0.986099	0.33794
RNF19A	60.8835	45.7764	-0.411449	0.790692
PEX3	29.9109	27.2445	-0.134707	0.947815
GABARAPL2	69.95	80.6409	0.205189	0.368192
MYOC	0	0.0168213	Inf	1
SH3YL1	1.71174	2.08751	0.286324	0.870417
FAM136A	59.2683	81.5309	0.460086	0.000538752
VCL	64.6759	43.9043	-0.558867	0.0530465
DEPDC1B	20.7868	18.7622	-0.14784	0.54583
DAPK2	6.68558	6.11499	-0.128702	0.834285
NSMAF	27.5447	31.228	0.181061	0.625129
ADSS	37.759	36.3187	-0.0561079	0.863066
STAP1	0	0.00825489	Inf	1
TIMP2	82.7691	80.346	-0.0428658	0.885907
RFC1	78.0153	70.1004	-0.154333	0.730478
TBC1D23	28.5981	27.2051	-0.0720438	0.917235
CUL3	33.8378	38.0302	0.168509	0.641039
MYOM2	0.0158985	0	-Inf	1
OTC	0	0	0	1
CYP46A1	0.00798924	0.00933377	0.224401	1
ZZZ3	21.8827	21.2643	-0.0413579	0.958305
SLC18A1	0	0	0	1
USP2	1.6233	0.969728	-0.743275	0.207132
CASR	0	0	0	1
TUBG2	3.28616	2.56766	-0.355948	0.196961
RPL26L1	164.76	203.767	0.306555	0.640856
FLT4	0.109848	0.0623512	-0.817025	1
NSUN2	114.228	122.18	0.0970963	0.80859
FBXO42	5.12663	4.59561	-0.157754	0.764682
MFAP3	26.0385	27.8827	0.0987225	0.906489
MRI1	19.4262	16.4622	-0.238847	0.634363
METTL1	30.4947	22.9323	-0.41118	0.589047
HOXC8	0.355881	0.715101	1.00675	0.433246
AGA	10.8339	8.68294	-0.3193	0.545531
PI4K2B	15.7287	15.1564	-0.0534736	0.962103
