symbol	uninfected_48.FPKM	SC35M_dNS1_48.FPKM	uninfected_48_SC35M_dNS1_48.logfc	uninfected_48_SC35M_dNS1_48.qvalue
CACNA2D2	0.0584782	0.0258652	-1.17688	1
BAIAP3	0.567855	0.906074	0.674106	0.717347
TSR3	41.8346	34.0777	-0.29587	0.0699235
PIGQ	44.9188	26.1126	-0.782574	0.339549
CRAMP1L	17.5407	19.5173	0.154045	0.952897
TEAD3	5.49195	7.76949	0.500502	0.0193976
SELE	0	0.0166636	Inf	1
DNAJC11	95.3032	97.0367	0.0260061	0.980527
FMO3	0	0	0	1
MYLIP	6.52512	6.16156	-0.0827096	0.787428
NOX1	0.586455	0.553061	-0.0845831	0.972675
E2F2	13.96	12.4098	-0.169823	0.727087
PSMB1	102.828	127.441	0.309597	0.00773312
SYN1	0.0328537	0.865156	4.71883	0.476951
JARID2	5.2336	4.32488	-0.275143	0.102006
CDKL5	1.2495	1.60848	0.364343	0.33635
CAMK1G	0.00365596	0.028698	2.97263	1
CDK11A	24.181	28.2379	0.223758	0.636909
NADK	94.6	112.585	0.251107	0.85444
TFAP2B	0	0	0	1
TFAP2D	0	0	0	1
DLEC1	0.0125717	0.020581	0.711128	1
CYTH3	9.11478	6.97428	-0.386164	0.386922
ADAM22	1.42692	0.99295	-0.523107	0.189618
SYPL1	40.6106	46.7772	0.203948	0.455772
CYB561	19.4859	15.8806	-0.295167	0.342191
SPAG9	29.3394	34.9264	0.251479	0.649764
CELSR3	3.84005	2.9334	-0.388551	0.34257
AASS	0.174618	0.219818	0.332103	1
PLEKHG6	1.21375	1.16072	-0.0644564	0.98183
SS18L2	18.7493	21.7836	0.216403	0.793282
MPND	10.4878	6.00615	-0.804204	0.116903
MGST1	459.43	626.988	0.448591	0.446448
CRY1	10.0014	10.7743	0.107383	0.854998
PGLYRP1	0.0428889	0.0197112	-1.12159	1
NFIX	3.49843	6.49675	0.893011	0.377649
ST3GAL1	7.34971	13.0865	0.832322	0.0672042
MMP25	0.486427	0.581784	0.25826	0.922254
IL32	41.5765	66.5478	0.678622	0.000538752
PKD1	34.4983	30.4521	-0.179985	0.853937
MAPK8IP2	0.0215908	0.104803	2.27919	1
MED24	86.8946	98.5142	0.181066	0.656901
RHOBTB2	35.3863	35.2516	-0.00549861	0.995906
HEATR5B	5.30166	4.05363	-0.387231	0.337665
SEC62	246.367	262.779	0.0930419	0.870204
RPS20	2110	1337.77	-0.657408	0.000538752
CSDE1	467.893	336.699	-0.474719	0.0924953
UBE3C	33.8361	35.5732	0.0722264	0.918994
REV3L	10.438	11.4331	0.131371	0.871167
TENM1	0.0770386	0.00503484	-3.93556	1
PAX7	0	0	0	1
MASP2	0.504276	0.256149	-0.977232	0.247314
IYD	0.0126338	0	-Inf	1
FAM76A	3.8264	4.67423	0.288744	0.420854
TRAF3IP3	2.04352	3.01041	0.558901	0.483224
POMT2	27.3651	43.5471	0.670241	0.0412934
VTA1	22.1432	27.8762	0.332169	0.0371714
MLXIPL	9.23579	3.38856	-1.44656	0.000538752
BAZ1B	45.6735	39.3939	-0.213385	0.103327
RANBP9	33.1944	33.0557	-0.00604042	0.99091
ETV7	0	0.00934752	Inf	1
SPRTN	7.41736	8.29372	0.161114	0.842827
METTL13	32.3393	32.6425	0.0134666	0.979691
DYRK4	19.9799	19.3184	-0.0485772	0.974205
ZNF207	71.7782	81.5434	0.184022	0.39761
UQCRC1	275.605	244.127	-0.174969	0.48066
STARD3NL	4.73826	5.98991	0.338176	0.132311
CD9	92.082	213.407	1.21261	0.000538752
HHATL	0	0	0	1
NCAPD2	333.318	174.622	-0.93266	0.311861
IFFO1	0.0770747	0.19092	1.30864	1
GIPR	0.122729	0.325412	1.40679	1
PHF7	3.5361	1.57642	-1.1655	0.481267
SEMA3G	1.60907	1.32058	-0.285051	0.771875
NISCH	14.3761	12.6903	-0.179948	0.725026
STAB1	0.336506	0.22799	-0.561663	1
FUZ	12.8541	10.1886	-0.335268	0.770188
SLC6A13	0.0152456	0.123331	3.01608	1
IDS	5.66247	5.54615	-0.029945	0.972742
PRSS3	0.333765	0	-Inf	1
ZNF200	8.30402	9.57772	0.205873	0.332286
CD4	0.0247038	0.0952482	1.94696	1
LRRC23	5.84155	3.64135	-0.68188	0.592156
BTK	0	0.0700746	Inf	1
HFE	11.7449	23.7516	1.01599	0.000538752
SCMH1	12.4214	9.88853	-0.329005	0.57293
FYN	66.1994	90.0887	0.444529	0.0190948
HIVEP2	2.06537	1.85304	-0.156505	0.93945
FMO1	0	0.0440401	Inf	1
TCEB3	27.2058	32.7992	0.269744	0.609556
LYPLA2	85.5759	107.273	0.326014	0.219383
CLCN6	3.55914	4.33783	0.285444	0.592657
MRC2	7.30468	5.79971	-0.332841	0.865233
NME2	618.79	384.699	-0.68572	0.515688
SLC6A7	0.19012	0.38653	1.02367	0.0412934
TSPAN9	1.90614	4.98685	1.38748	0.0101569
BTBD7	17.4025	10.7359	-0.696853	0.629026
APBA3	7.47873	7.87882	0.0751873	0.909208
MKS1	18.3688	15.9968	-0.199476	0.50458
ABHD5	17.4471	18.2277	0.0631446	0.933949
KAL1	0	0.00155488	Inf	1
AKAP8L	62.102	59.7565	-0.0555438	0.943203
MBTD1	4.74487	3.43735	-0.46507	0.00703056
UTP18	53.4288	45.2012	-0.241256	0.296595
RNF216	12.814	14.0565	0.133522	0.859447
TTC19	18.2827	17.1081	-0.0957954	0.888882
PTBP1	1076.78	912.106	-0.239448	0.791998
DPF1	2.11534	2.9383	0.474093	0.48462
SYT7	1.197	1.77105	0.565178	0.0400048
LARS2	24.0528	23.4291	-0.0379031	0.957806
PIK3C2A	18.3111	26.9499	0.557559	0.582344
PLAUR	24.4779	104.233	2.09026	0.000538752
ANLN	107.97	80.5355	-0.422938	0.209038
WIZ	44.698	46.3912	0.0536426	0.977565
RABGAP1	29.2964	36.0267	0.298343	0.550129
DCN	1.21734	2.05114	0.752691	0.83662
QPCTL	11.1974	17.1917	0.618543	0.285211
PPP5C	56.2123	66.0962	0.233681	0.55016
CEP68	2.59626	2.02239	-0.360372	0.719019
MAP4K3	10.1857	11.4161	0.164525	0.947847
ZBTB32	0.223567	0.824184	1.88226	0.142851
TYROBP	0	0	0	1
TMEM159	11.3118	5.59801	-1.01484	0.0326787
GABRA3	0.00983053	0.0268557	1.44989	1
BRCA1	36.4279	29.9609	-0.281965	0.454978
ERCC1	34.1078	39.5924	0.215119	0.786301
CD22	1.14025	0.830821	-0.456737	0.440288
SEMA3B	137.085	219.303	0.677851	0.000538752
MBTPS2	21.8723	25.7358	0.23467	0.128552
PRICKLE3	54.1312	50.3018	-0.105849	0.808692
LTF	0	0.0491103	Inf	1
EXTL3	15.0725	21.0148	0.479482	0.294898
NR1H4	0	0.0566266	Inf	1
ELOVL5	39.8916	44.8396	0.168688	0.424329
ALOX5	0.14072	0.734188	2.38332	0.0115022
KDM5D	0	0	0	1
CALCOCO1	20.1796	24.5308	0.281701	0.306223
UBR7	27.7361	31.8107	0.197748	0.692689
MAP4K5	32.0322	26.2141	-0.289179	0.857345
EHD3	0	0	0	1
PSMC4	53.3349	80.6366	0.596355	0.000538752
MAN2B2	4.68475	6.66551	0.508744	0.0108391
SLC7A14	0	0	0	1
CLDN11	0.263716	0.278424	0.0782984	1
SLC25A39	136.791	102.836	-0.411634	0.0121662
MVP	37.8251	82.1711	1.11929	0.326389
NUB1	52.3418	68.5738	0.389694	0.0919069
PGM3	79.4059	107.627	0.438718	0.885788
RWDD2A	4.55887	5.31962	0.222647	0.821904
CLK1	29.0129	33.3952	0.202946	0.615801
POLR3B	13.0157	12.5775	-0.0494041	0.960248
ANGEL1	8.78654	6.48387	-0.43844	0.139609
RNF14	19.9206	18.7562	-0.0868933	0.897221
DNASE1L1	21.4885	19.5745	-0.134586	0.947762
DDX11	53.9933	50.4943	-0.096659	0.869115
HEBP1	38.8902	25.6313	-0.601502	0.000538752
GPRC5A	223.735	812.708	1.86095	0.000538752
MAMLD1	8.8398	7.17942	-0.300148	0.504544
CD6	0	0.00608472	Inf	1
TACC3	35.4807	29.6663	-0.258211	0.357551
UFL1	10.2153	10.2321	0.00237225	0.992659
POLA2	52.2713	62.0003	0.246258	0.294527
ZC3H3	7.73546	9.29722	0.265312	0.051382
CAPN1	92.2606	133.848	0.536808	0.290684
ACPP	0.988066	1.92984	0.9658	0.0833708
MDH1	318.305	266.848	-0.254396	0.0744641
SLC30A9	23.9375	23.3292	-0.0371348	0.943734
MTMR11	2.45635	5.37883	1.13077	0.000538752
COX15	39.2967	31.9509	-0.29855	0.30729
CCDC88C	7.21298	7.62671	0.0804667	0.939483
YAF2	58.2982	68.0714	0.223598	0.845343
ZMYND11	19.5485	11.9138	-0.714422	0.0410376
WAS	0.584152	0.363816	-0.683136	0.540029
DPEP1	0.988026	1.40815	0.511181	0.585834
BID	23.4948	29.9025	0.347923	0.536363
MATR3	434.623	346.061	-0.328735	0.476951
NPC1L1	0.0276151	0.0319774	0.211597	1
XYLT2	6.56681	11.0398	0.749451	0.000538752
RGPD5	0.112489	0.16632	0.564173	1
STMN4	0	0	0	1
NUDCD3	47.8585	39.7262	-0.268683	0.74919
ISL1	0.0126949	0.111729	3.13767	1
CHDH	3.57563	2.29629	-0.638893	0.000538752
IL20RA	1.9134	1.26408	-0.598056	0.381051
CLCA1	0	0.00769699	Inf	1
CLCA4	0	0	0	1
GLT8D1	53.3033	57.2331	0.102624	0.932113
ATP2C1	105.257	107.114	0.0252226	0.968694
SRCIN1	1.73945	3.96324	1.18805	0.00808873
IGF1	0.00110772	0	-Inf	1
SLC38A5	270.519	333.824	0.303354	0.112603
MAGIX	1.71674	2.24329	0.385949	0.624512
RALBP1	20.4117	17.7585	-0.200883	0.469719
RUFY3	7.76108	6.3654	-0.286006	0.700115
CNTN1	0.0473013	0.0445873	-0.0852456	1
SLC11A1	0.10659	0.139772	0.39101	1
WWTR1	28.6909	34.0419	0.246715	0.588098
AGPS	16.3818	18.0322	0.138486	0.874779
ZNF806	0	0	0	1
CXorf56	24.9142	19.4231	-0.359195	0.109059
ATP1A2	0.0538807	0.062964	0.224757	1
TTC27	18.0969	17.091	-0.0825003	0.921531
ZNF582	0	0	0	1
VSIG2	0.0303768	0.0302788	-0.0046599	1
PHLDB1	6.74427	5.80031	-0.217533	0.8252
MARCO	1.90838	1.07575	-0.826998	0.274676
CYP24A1	0	0.13624	Inf	1
PRDM11	10.2471	8.25732	-0.311469	0.313925
SYT13	0.236549	0.146192	-0.694281	1
SNAI2	3.07709	5.22178	0.762978	0.000538752
CD74	1.38826	9.06884	2.70764	0.000538752
HGF	0.00401465	0.0163787	2.02847	1
ZRANB1	11.6668	10.7294	-0.120838	0.83811
NCDN	13.4198	9.92052	-0.435874	0.211999
GPR124	2.65241	1.81349	-0.548535	0.483645
CCT8L1P	0.00659683	0.00631665	-0.0626134	1
ZFP64	9.87002	10.3096	0.0628677	0.904459
MNAT1	40.1741	50.2828	0.323797	0.60897
SAMD4A	1.13816	3.36009	1.5618	0.000538752
RUNX3	0.0124566	0.138763	3.47763	1
MRE11A	27.7023	19.4984	-0.506651	0.0277639
PLEKHB1	0.474378	0.219478	-1.11196	0.0933008
SERPINB1	60.0792	188.239	1.64763	0.000538752
CYP3A43	0.23668	0.00603981	-5.29229	1
SLC7A9	0.0766235	0.0257686	-1.57217	1
SPAST	5.22864	4.77599	-0.130636	0.486832
NRXN3	0	0	0	1
OSBPL5	29.7961	25.9913	-0.197096	0.52231
AQR	15.7291	17.5645	0.159231	0.738954
CPS1	1058.65	730.753	-0.534765	0.451155
C8B	0	0	0	1
FHL1	60.5275	42.9476	-0.495013	0.0397508
RTFDC1	109.556	86.5958	-0.339306	0.137176
GABRA1	0	0	0	1
NLRP2	0	0	0	1
SLC45A4	2.37936	5.32635	1.16258	0.000538752
RNF10	393.213	320.882	-0.293265	0.41411
ZNF839	9.89332	9.19927	-0.104936	0.905249
ZDHHC6	50.7986	63.2375	0.315991	0.635963
GRAMD1B	17.7569	82.117	2.2093	0.000538752
RNH1	55.9158	52.5966	-0.0882855	0.793162
NDUFS1	52.8569	43.5671	-0.278852	0.605026
RB1CC1	27.5214	19.6107	-0.488915	0.149257
ERP44	8.07443	17.2647	1.09639	0.000538752
ALAS1	24.0599	38.9512	0.695038	0.000538752
BIRC3	8.60501	43.9563	2.35282	0.000538752
AKAP11	4.38451	4.05479	-0.112787	0.557318
GLRX2	39.6678	47.2554	0.252511	0.084129
SNAPC1	4.91212	5.2119	0.0854632	0.963727
DERA	45.1705	48.2892	0.0963184	0.84406
STRAP	141.922	122.692	-0.210057	0.323352
ABCC2	33.1087	50.5346	0.610063	0.000538752
DEF6	0.119165	0.144971	0.282803	1
PLEKHO1	0.400816	0.565494	0.496573	0.630216
GCLM	16.8288	21.7146	0.367735	0.315872
UBR2	6.3468	8.47288	0.416822	0.00103163
EHD2	23.8927	20.3052	-0.234724	0.562679
DEPDC1	24.257	21.8384	-0.151532	0.776665
CCDC28A	4.97286	4.77405	-0.058864	0.894296
RRAGD	0	0.00251692	Inf	1
HSF2	3.17532	2.13637	-0.57174	0.00362295
PHF20	29.7165	59.7713	1.00819	0.00808873
HSD17B6	4.87659	6.34861	0.380569	0.925669
NR1H3	60.7337	43.0869	-0.495247	0.258591
TYMP	1.63506	6.63514	2.02079	0.000538752
NCAPH2	30.9711	27.7063	-0.160706	0.710067
TOMM34	46.0952	43.7411	-0.0756284	0.755354
SEC63	154.725	130.955	-0.240636	0.439765
KPNA6	26.3154	25.9789	-0.0185669	0.975942
VIM	371.055	248.076	-0.580853	0.000538752
RTEL1-TNFRSF6B	1.44279	1.61063	0.158761	0.911147
FAS	12.8921	23.7187	0.879537	0.000538752
RNASET2	20.2337	17.7578	-0.188312	0.424506
CD44	234.794	708.017	1.59239	0.000538752
KCNG1	0.0172245	0.0164929	-0.0626134	1
AGPAT4	1.12145	1.64513	0.552841	0.268329
SLAMF7	0	0.00458364	Inf	1
BTN3A1	9.36107	20.9829	1.16447	0.000538752
MIPEP	9.15255	5.09644	-0.844685	0.00948013
PRKCH	3.8341	14.5984	1.92885	0.0105062
INSRR	0.00375451	0.00739482	0.97789	1
IFNGR1	14.5638	39.0892	1.42438	0.000538752
B4GALT7	12.8265	14.7012	0.196808	0.635233
SH2D2A	5.73598	7.53199	0.392991	0.101416
VRK2	10.8534	7.79042	-0.478373	0.28179
TNFRSF1B	0	0.0964726	Inf	1
VEZT	36.8349	47.6063	0.37008	0.178539
POU2F2	0.150393	0.278131	0.887027	1
BRD9	34.8093	34.6567	-0.00633809	0.99378
SNX1	112.449	104.639	-0.103844	0.879599
TBPL1	7.71252	8.60268	0.157584	0.763814
ARNTL2	7.64311	11.2616	0.559184	0.00480514
BCLAF1	79.0735	75.4103	-0.0684338	0.917853
SLC39A9	29.492	23.6022	-0.321403	0.253621
ANK1	0.590979	0.57954	-0.0282001	0.981672
IBSP	0	0	0	1
TFB1M	11.231	13.9256	0.310256	0.787135
RABEP1	29.8031	27.976	-0.0912706	0.938656
HMGB3	95.3313	85.8635	-0.150905	0.570291
NUP160	64.8757	65.1467	0.00601402	0.986848
BAK1	8.13992	18.5562	1.18881	0.000538752
MUSK	0	0	0	1
IKZF2	0.747758	0.68998	-0.116019	0.951157
GRN	360.348	414.185	0.200885	0.483284
FAM13B	10.3547	6.18228	-0.744075	0.000538752
ARHGAP31	0.0872049	0.334653	1.94018	1
NR2E3	0.00599943	0.0428884	2.83769	1
CENPQ	11.9096	21.331	0.840822	0.000538752
SARS	149.697	71.5113	-1.0658	0.000538752
RANBP3	60.8237	61.5048	0.0160635	0.978759
ARID4A	14.2996	17.669	0.305241	0.688657
TSSC1	27.7241	29.2015	0.0749037	0.857693
PNPLA6	60.3088	55.5785	-0.117844	0.829457
IFT88	2.85103	1.87492	-0.604648	0.227785
ALG1	34.3343	31.4456	-0.126793	0.887062
ZCCHC8	14.0451	13.0354	-0.107632	0.645318
ABCF2	78.5775	78.8585	0.00514932	0.993739
CHPF2	14.3542	23.8028	0.729652	0.000538752
LRRC7	0.159899	0.0413677	-1.95058	1
FUT8	16.7034	23.0378	0.463861	0.0705882
UBA6	24.7461	34.831	0.493168	0.537233
GAB2	3.02386	2.09233	-0.531282	0.210673
ATP6V0A1	31.1805	39.9308	0.356856	0.343437
PIAS1	13.191	16.699	0.340207	0.492407
SLC4A7	6.09717	8.31838	0.448163	0.256556
APBA2	0	0	0	1
UHRF1	45.2541	31.4302	-0.525897	0.000538752
MAP2K3	26.1893	47.0332	0.844703	0.000538752
EFCAB1	0	0	0	1
TMSB10	3212.44	4081.43	0.345405	0.00480514
ASTE1	8.09791	4.40139	-0.879591	0.556261
RNF19A	68.6303	88.5626	0.367851	0.824332
PEX3	21.7444	26.4395	0.282053	0.849779
GABARAPL2	66.8235	58.2958	-0.196964	0.444961
MYOC	0	0	0	1
SH3YL1	2.12888	1.68835	-0.334485	0.79569
FAM136A	55.7984	55.2502	-0.0142439	0.968811
VCL	61.775	77.5942	0.328927	0.25258
DEPDC1B	11.9293	8.76135	-0.445282	0.00629617
DAPK2	5.21124	5.28878	0.0213065	0.975524
NSMAF	26.8462	21.2076	-0.340136	0.319771
ADSS	36.7386	44.5618	0.278512	0.072953
STAP1	0	0	0	1
TIMP2	78.1155	89.4771	0.195909	0.147984
RFC1	79.5292	76.946	-0.0476385	0.960853
TBC1D23	21.6782	36.016	0.732391	0.00773312
CUL3	34.0957	31.4755	-0.115362	0.838971
MYOM2	0	0	0	1
OTC	0	0	0	1
CYP46A1	0.0211263	0.00575963	-1.87499	1
ZZZ3	27.4258	17.2766	-0.666716	0.0166357
SLC18A1	0	0	0	1
USP2	3.22701	1.49112	-1.1138	0.0792237
CASR	0	0	0	1
TUBG2	1.78766	5.63058	1.65521	0.000538752
RPL26L1	101.626	103.726	0.029504	0.979333
FLT4	0.0108735	0.242396	4.47847	1
NSUN2	99.6557	95.8495	-0.056181	0.901618
FBXO42	7.04242	6.57061	-0.100045	0.857112
MFAP3	28.1685	33.1776	0.236128	0.69153
MRI1	16.9868	12.193	-0.478359	0.149404
METTL1	30.559	22.1018	-0.467432	0.552534
HOXC8	0.332069	0.355036	0.0964818	0.975065
AGA	14.3104	14.551	0.0240578	0.975942
