symbol	Uninfected_24.FPKM	SC35M_wt_24.FPKM	uninfected_24_SC35M_wt_24.logfc	uninfected_24_SC35M_wt_24.qvalue
DBF4	25.2746	26.3156	0.0582305	0.948872
TBXA2R	3.02482	3.42798	0.180509	0.632528
IFRD1	70.1809	18.0351	-1.96027	0.000538752
LGALS14	0	0	0	1
COX10	12.0265	8.31802	-0.531903	0.0131611
GTF2IRD1	42.1349	27.2885	-0.626721	0.175895
PAF1	39.6216	28.2634	-0.487354	0.0340333
VPS41	37.2114	43.8084	0.235461	0.716007
ARHGAP44	0.0622018	0.444769	2.83803	0.000538752
ELAC2	84.1807	78.6468	-0.0981006	0.883728
SCIN	0.627341	0.489242	-0.358701	0.623106
ARSD	6.53472	6.21197	-0.0730749	0.962401
PNPLA4	25.4114	53.1846	1.06554	0.000538752
MYH13	0.00148314	0.00340842	1.20045	1
ADIPOR2	55.2399	52.8751	-0.0631234	0.945798
CDKL3	1.71764	3.25105	0.920479	0.581198
UPP2	0	0	0	1
PRSS21	204.848	368.907	0.848705	0.000538752
MARK4	4.82584	4.52187	-0.0938612	0.963497
PROM1	0.275387	0.367027	0.414428	1
CCDC124	143.564	307.351	1.0982	0.000538752
CEACAM21	0	0.0518989	Inf	1
PAFAH1B1	64.067	52.1113	-0.297986	0.296358
NOS2	0.00689625	0.00974822	0.499327	1
DNAH9	0.0278056	0.0693061	1.31761	1
KIAA0100	104.601	141.253	0.433391	0.48833
SLC13A2	0.115606	0.148604	0.362253	1
GAS7	6.03766	4.98806	-0.27551	0.642923
TRAPPC6A	7.8799	7.50986	-0.0693898	0.964174
MATK	30.14	51.7844	0.780839	0.000538752
CEACAM7	0.00371117	0	-Inf	1
CD79B	0.108016	0.693049	2.68171	1
SCN4A	0.0983972	0.238207	1.27553	1
ST7L	34.5543	42.8389	0.310058	0.742083
TKTL1	0.0366593	0.143452	1.96832	1
PAX6	15.8118	8.47681	-0.899413	0.464547
RPUSD1	12.9989	22.1129	0.7665	0.00103163
RHBDF1	8.71732	5.76475	-0.596626	0.0440543
LUC7L	32.5708	21.1528	-0.622733	0.00773312
CACNA2D2	0.0477864	0.190331	1.99384	1
BAIAP3	0.806559	1.19224	0.563819	0.754543
TSR3	43.1218	70.8061	0.715456	0.000538752
PIGQ	31.3538	42.674	0.444716	0.0923076
CRAMP1L	23.3413	14.5718	-0.679709	0.767621
TEAD3	6.11529	5.18743	-0.237401	0.414637
SELE	0	0.176485	Inf	1
DNAJC11	92.34	125.458	0.442173	0.429417
FMO3	0	0	0	1
MYLIP	5.96853	5.27162	-0.17913	0.422509
NOX1	0.475208	0.437037	-0.120803	0.954055
E2F2	17.4664	9.11452	-0.938339	0.000538752
PSMB1	126.299	184.962	0.550387	0.000538752
SYN1	0.0511149	0.400072	2.96844	0.48642
JARID2	5.27339	2.84759	-0.888991	0.000538752
CDKL5	1.46584	0.758414	-0.950666	0.000538752
CAMK1G	0.0173868	0.0381778	1.13475	1
CDK11A	22.2781	27.4537	0.301373	0.681861
NADK	108.38	124.942	0.205163	0.864747
TFAP2B	0	0	0	1
TFAP2D	0	0	0	1
DLEC1	0.00971713	0.103672	3.41535	1
CYTH3	10.6778	6.7037	-0.671588	0.0790739
ADAM22	1.68664	2.14933	0.349735	0.665155
SYPL1	43.3277	51.8813	0.259926	0.321978
CYB561	20.8813	17.6312	-0.244081	0.493714
SPAG9	26.6585	23.0443	-0.210185	0.732094
CELSR3	3.29734	2.37888	-0.471019	0.493637
AASS	0.172029	0.549812	1.67628	0.00238261
PLEKHG6	1.91353	2.64856	0.468971	0.837557
SS18L2	18.7778	16.8897	-0.152883	0.884657
MPND	7.83293	13.642	0.800433	0.0899973
MGST1	698.295	1983.05	1.50581	0.000538752
CRY1	9.23829	10.7814	0.222844	0.538376
PGLYRP1	0.107871	0.218158	1.01607	1
NFIX	5.14145	9.04725	0.815305	0.443248
ST3GAL1	5.91116	11.0473	0.902182	0.0504069
MMP25	0.509864	0.779214	0.611907	0.760048
IL32	22.0287	36.8198	0.741099	0.000538752
PKD1	25.5869	29.5488	0.207694	0.805547
MAPK8IP2	0.0439086	0.209898	2.25711	1
MED24	80.6965	87.571	0.117947	0.85619
RHOBTB2	43.6871	23.44	-0.898233	0.0318963
HEATR5B	5.7853	2.90923	-0.991757	0.000538752
SEC62	185.006	263.36	0.509468	0.0428156
RPS20	1879.54	5702.05	1.6011	0.000538752
CSDE1	518.592	671.787	0.373403	0.132866
UBE3C	29.2862	35.5549	0.279827	0.404057
REV3L	10.9189	10.634	-0.0381487	0.974324
TENM1	0.0054312	0.00878394	0.693598	1
PAX7	0	0	0	1
MASP2	0.436164	2.40969	2.46591	0.000538752
IYD	0.00955061	0.346607	5.18156	1
FAM76A	4.93347	3.28083	-0.58854	0.0308117
TRAF3IP3	1.85199	1.9486	0.0733656	0.965486
POMT2	41.9192	42.7708	0.0290146	0.979712
VTA1	22.0805	25.9505	0.23299	0.187199
MLXIPL	10.5127	6.93507	-0.600148	0.0765938
BAZ1B	43.3961	31.0667	-0.482198	0.000538752
RANBP9	33.699	34.6505	0.0401719	0.957409
ETV7	0	0.0414774	Inf	1
SPRTN	8.46911	6.34595	-0.416373	0.365471
METTL13	32.8328	33.0528	0.00963529	0.984694
DYRK4	18.1887	27.2418	0.582778	0.4586
ZNF207	59.3426	50.3854	-0.236061	0.20025
UQCRC1	294.328	382.219	0.376971	0.0305365
STARD3NL	4.61538	6.05114	0.390759	0.057517
CD9	117.917	143.971	0.288006	0.029985
HHATL	0.100423	0.262692	1.38728	1
NCAPD2	318.698	239.322	-0.413241	0.798833
IFFO1	0.103981	1.12765	3.43893	0.000538752
GIPR	0.275405	0.635992	1.20745	0.192842
PHF7	3.17031	4.63091	0.546673	0.775349
SEMA3G	0.926067	1.36383	0.558476	0.365287
NISCH	15.0361	10.7638	-0.482239	0.12512
STAB1	0.443386	0.730244	0.719817	0.691131
FUZ	16.5342	14.433	-0.196083	0.88605
SLC6A13	0.026136	0.682685	4.70711	0.170571
IDS	7.18289	17.2898	1.26729	0.000538752
PRSS3	0.0454822	0.0576136	0.341105	1
ZNF200	8.13726	4.91612	-0.727023	0.00362295
CD4	0.0390147	1.04625	4.74506	0.170276
LRRC23	5.1364	7.44237	0.535003	0.729864
BTK	0.00853746	1.60795	7.5572	0.515746
HFE	13.6844	10.3278	-0.406005	0.0649947
SCMH1	10.9675	11.8953	0.117163	0.919247
FYN	67.0582	42.9704	-0.642069	0.000538752
HIVEP2	1.61447	2.47261	0.614974	0.782401
FMO1	0.00663699	0.172401	4.6991	1
TCEB3	25.6824	35.5574	0.469367	0.329833
LYPLA2	88.1292	91.4953	0.0540776	0.935951
CLCN6	3.67568	2.97735	-0.303982	0.721672
MRC2	6.47727	5.92038	-0.129696	0.930786
NME2	772.089	2134.95	1.46737	0.000538752
SLC6A7	0.249048	0.112284	-1.14926	1
TSPAN9	2.62005	2.8826	0.137778	0.908611
BTBD7	15.9248	12.4924	-0.350227	0.848978
APBA3	6.22182	4.40522	-0.498123	0.0389689
MKS1	18.8039	14.9935	-0.32669	0.247705
ABHD5	21.9132	18.0953	-0.276183	0.473448
KAL1	0	0.0030562	Inf	1
AKAP8L	50.9361	65.2272	0.356784	0.228334
MBTD1	4.10708	3.78777	-0.116764	0.719165
UTP18	43.9912	56.4772	0.360452	0.0690123
RNF216	13.9414	8.73406	-0.674649	0.0967473
TTC19	22.4868	20.447	-0.137188	0.808991
PTBP1	997.44	707.521	-0.495458	0.373716
DPF1	2.92707	3.55298	0.279574	0.625706
SYT7	1.48765	1.41991	-0.0672291	0.936438
LARS2	20.8711	19.6434	-0.0874615	0.915629
PIK3C2A	18.2799	16.1602	-0.177809	0.931004
PLAUR	14.6695	25.9938	0.825344	0.000538752
ANLN	74.9738	50.1841	-0.579156	0.0121662
WIZ	45.0047	52.7784	0.229872	0.911054
RABGAP1	33.6992	19.6999	-0.774531	0.0379494
DCN	0.813019	1.32893	0.708902	0.421273
QPCTL	12.0977	16.5049	0.448159	0.626015
PPP5C	58.8879	71.4248	0.278454	0.481338
CEP68	2.5685	1.93682	-0.407233	0.705917
MAP4K3	14.4059	20.9008	0.536894	0.788552
ZBTB32	0.379809	0.235214	-0.691301	1
TYROBP	0	0	0	1
TMEM159	9.94589	15.9664	0.682864	0.211668
GABRA3	0.00272647	0.00568712	1.06066	1
BRCA1	47.4379	26.3399	-0.848788	0.0609067
ERCC1	32.9448	52.1151	0.661652	0.156266
CD22	2.16205	1.64366	-0.395486	0.522418
SEMA3B	116.535	68.0349	-0.776419	0.000538752
MBTPS2	21.9787	13.7155	-0.680293	0.000538752
PRICKLE3	49.27	88.9889	0.852917	0.000538752
LTF	0	0	0	1
EXTL3	10.7057	12.7365	0.250582	0.744623
NR1H4	0	0.0149342	Inf	1
ELOVL5	37.3561	30.1333	-0.309982	0.0814738
ALOX5	0.257487	0.449171	0.802764	0.515137
KDM5D	0	0	0	1
CALCOCO1	23.0935	14.649	-0.656681	0.0091353
UBR7	35.9042	26.3704	-0.445234	0.264891
MAP4K5	24.6616	32.3975	0.393618	0.615492
EHD3	0	0	0	1
PSMC4	57.5077	80.8753	0.491943	0.000538752
MAN2B2	14.4255	4.27669	-1.75405	0.409447
SLC7A14	0	0.0115194	Inf	1
CLDN11	0.229523	0.587333	1.35554	0.0685565
SLC25A39	136.669	391.464	1.5182	0.000538752
MVP	79.2493	32.8814	-1.26913	0.144793
NUB1	58.4625	43.1963	-0.436602	0.0277639
PGM3	93.4178	61.3921	-0.605644	0.820548
RWDD2A	4.74969	2.51308	-0.918375	0.0742448
CLK1	29.9731	18.7159	-0.679402	0.0105062
POLR3B	15.551	7.7726	-1.00054	0.000538752
ANGEL1	8.6591	6.65724	-0.379293	0.16699
RNF14	27.6582	24.7294	-0.161478	0.674104
DNASE1L1	24.8479	34.803	0.486087	0.728338
DDX11	48.7729	32.4815	-0.586459	0.0890076
HEBP1	35.663	36.4302	0.0307077	0.938623
GPRC5A	220.309	156.427	-0.494041	0.0141357
MAMLD1	7.30119	3.35533	-1.12168	0.000538752
CD6	0	0	0	1
TACC3	34.3889	37.5475	0.126776	0.721802
UFL1	11.5144	7.1625	-0.684906	0.000538752
POLA2	65.5242	30.6647	-1.09545	0.000538752
ZC3H3	7.40822	6.25991	-0.242985	0.10549
CAPN1	124.089	107.099	-0.212431	0.728084
ACPP	3.89469	3.91288	0.00672273	0.994653
MDH1	328.788	462.549	0.492449	0.000538752
SLC30A9	24.3094	33.721	0.472134	0.0131611
MTMR11	2.56571	2.99126	0.221391	0.700115
COX15	41.0067	45.3872	0.146427	0.780511
CCDC88C	9.04365	10.649	0.235747	0.797518
YAF2	43.5409	41.2092	-0.0794048	0.955791
ZMYND11	16.8976	15.2975	-0.143527	0.770091
WAS	0.468446	0.969357	1.04915	0.202766
DPEP1	1.40246	1.08805	-0.366212	0.744877
BID	31.5493	38.8876	0.301704	0.502856
MATR3	443.998	524.428	0.240191	0.646952
NPC1L1	0.0594859	0.328504	2.46529	1
XYLT2	6.41738	5.15418	-0.31624	0.717374
RGPD5	0.142766	0.0252908	-2.49697	1
STMN4	0.0205389	0.0634799	1.62794	1
NUDCD3	39.732	32.8244	-0.275534	0.676935
ISL1	0.0237124	0.0569665	1.26447	1
CHDH	3.83141	4.54735	0.24715	0.419452
IL20RA	2.02373	2.25438	0.155713	0.877692
CLCA1	0	0.00841403	Inf	1
CLCA4	0	0	0	1
GLT8D1	54.698	50.7979	-0.106721	0.933806
ATP2C1	100.667	116.752	0.213852	0.518012
SRCIN1	3.08047	2.61727	-0.235092	0.781401
IGF1	0	0	0	1
SLC38A5	256.884	262.729	0.0324585	0.941861
MAGIX	2.15501	2.98591	0.47048	0.249886
RALBP1	21.1332	27.8196	0.39659	0.0283169
RUFY3	5.76211	8.63951	0.584352	0.400853
CNTN1	0.00488472	0.086564	4.14742	1
SLC11A1	0.225402	0.566749	1.33021	0.0472592
WWTR1	25.3512	18.6735	-0.44106	0.199499
AGPS	17.0749	17.3796	0.0255204	0.979631
ZNF806	0	0	0	1
CXorf56	25.9059	28.9764	0.161595	0.639587
ATP1A2	0.0903029	0.153261	0.763148	1
TTC27	16.7019	17.3938	0.058559	0.944703
ZNF582	0	0.0409933	Inf	1
VSIG2	0	0.0868773	Inf	1
PHLDB1	10.3275	5.51565	-0.904884	0.087226
MARCO	3.59132	5.94632	0.727482	0.0235139
CYP24A1	0.177424	0	-Inf	1
PRDM11	11.7397	9.15998	-0.357984	0.190502
SYT13	0.257003	0.260603	0.0200696	1
SNAI2	1.85244	0.641808	-1.52921	0.000538752
CD74	0.495829	1.63716	1.72328	0.00103163
HGF	0.0513335	0.0172452	-1.5737	1
ZRANB1	10.2892	8.80174	-0.225265	0.786896
NCDN	14.3224	14.2259	-0.00975584	0.98687
GPR124	4.84063	2.79331	-0.793218	0.252857
CCT8L1P	0.00591199	0.111816	4.24134	1
ZFP64	11.882	7.9461	-0.580462	0.0190948
MNAT1	40.1019	41.7809	0.0591734	0.971947
SAMD4A	0.850366	1.37464	0.692894	0.484545
RUNX3	0.0903742	0.0106097	-3.09052	1
MRE11A	26.1574	19.7214	-0.407457	0.0579911
PLEKHB1	0.573751	1.16663	1.02385	0.170276
SERPINB1	72.3909	62.0293	-0.222857	0.411639
CYP3A43	0.016919	0.0844455	2.31938	1
SLC7A9	0.0138577	0.225761	4.02604	1
SPAST	4.87491	4.74209	-0.0398551	0.909868
NRXN3	0	0	0	1
OSBPL5	29.462	39.3483	0.417448	0.0602062
AQR	13.7249	11.2425	-0.287828	0.527707
CPS1	718.198	389.113	-0.884192	0.147812
C8B	0	0	0	1
FHL1	59.1652	61.1102	0.0466644	0.935882
RTFDC1	114.778	156.934	0.451315	0.0326787
GABRA1	0.069546	0	-Inf	1
NLRP2	0.00526445	0.793369	7.23556	0.501185
SLC45A4	2.22262	2.33574	0.0716137	0.950321
RNF10	330.861	491.491	0.570942	0.0417794
ZNF839	10.3864	7.56721	-0.456861	0.415753
ZDHHC6	49.6646	71.5927	0.527593	0.21037
GRAMD1B	14.6393	14.8188	0.0175822	0.974727
RNH1	56.8235	34.29	-0.7287	0.000538752
NDUFS1	57.3239	55.3138	-0.0514993	0.964391
RB1CC1	24.1428	28.3879	0.233682	0.695475
ERP44	7.75711	9.56379	0.302063	0.0184811
ALAS1	31.8866	30.2418	-0.0764045	0.81814
BIRC3	9.70494	9.5528	-0.0227947	0.978491
AKAP11	4.50429	3.0628	-0.556446	0.000538752
GLRX2	43.9371	54.7175	0.316563	0.0190948
SNAPC1	4.17833	3.04372	-0.457091	0.701434
DERA	55.2827	55.6356	0.00918029	0.985333
STRAP	134.066	219.428	0.710804	0.000538752
ABCC2	44.759	35.178	-0.347506	0.00441694
DEF6	0.205594	0.330913	0.686651	1
PLEKHO1	0.29796	0.698972	1.23012	0.189758
GCLM	27.159	20.3843	-0.413971	0.152413
UBR2	6.9566	3.91266	-0.830231	0.000538752
EHD2	26.5033	12.3611	-1.10036	0.000538752
DEPDC1	22.0615	21.3965	-0.0441584	0.956862
CCDC28A	6.25259	4.90943	-0.348897	0.0520946
RRAGD	0	0.0649252	Inf	1
HSF2	2.41478	1.36221	-0.825946	0.000538752
PHF20	35.7542	32.9737	-0.116799	0.908266
HSD17B6	7.25507	8.25437	0.186169	0.969545
NR1H3	69.0686	78.2907	0.180811	0.674051
TYMP	1.78014	2.34612	0.39828	0.740442
NCAPH2	33.615	41.5179	0.304627	0.369428
TOMM34	50.7907	96.9297	0.932376	0.000538752
SEC63	120.483	114.664	-0.0714184	0.902374
KPNA6	25.9418	26.2836	0.018887	0.97545
VIM	306.405	276.418	-0.148591	0.429256
RTEL1-TNFRSF6B	1.49539	1.28028	-0.224058	0.898639
FAS	12.586	11.0515	-0.187572	0.68961
RNASET2	17.9966	24.0257	0.416854	0.0508838
CD44	319.262	233.712	-0.450011	0.0308117
KCNG1	0	0.0275435	Inf	1
AGPAT4	1.25367	0.420839	-1.57481	0.00321856
SLAMF7	0	0.0258008	Inf	1
BTN3A1	10.0411	8.38367	-0.260264	0.339072
MIPEP	9.13048	10.7747	0.23888	0.514094
PRKCH	4.17834	8.14944	0.963769	0.274224
INSRR	0.010665	0.00369957	-1.52746	1
IFNGR1	15.1672	13.0427	-0.217712	0.501278
B4GALT7	11.4722	16.3119	0.507783	0.102761
SH2D2A	7.65113	5.44148	-0.491673	0.0855646
VRK2	10.631	15.595	0.552801	0.156863
TNFRSF1B	0.00494841	0.075404	3.92961	1
VEZT	38.1273	38.8244	0.0261394	0.967721
POU2F2	0.418243	0.787753	0.913401	0.334753
BRD9	28.125	21.6771	-0.375681	0.569019
SNX1	108.712	107.642	-0.014281	0.984475
TBPL1	8.93174	5.10979	-0.805676	0.01787
ARNTL2	9.86915	12.6894	0.362631	0.188859
BCLAF1	87.0794	67.0326	-0.37747	0.243399
SLC39A9	26.8854	33.5563	0.319758	0.346399
ANK1	0.976879	0.281025	-1.79748	0.000538752
IBSP	0	0	0	1
TFB1M	16.1286	8.01516	-1.00882	0.0645446
RABEP1	36.5545	52.5106	0.522557	0.538828
HMGB3	91.3803	167.716	0.876063	0.000538752
NUP160	67.3254	56.8193	-0.244772	0.278472
BAK1	8.80355	8.17604	-0.106683	0.660993
MUSK	0	0.0271474	Inf	1
IKZF2	0.558118	0.264659	-1.07644	0.1098
GRN	300.648	170.134	-0.8214	0.000538752
FAM13B	10.2765	8.46402	-0.279938	0.463625
ARHGAP31	0.130086	0.0679229	-0.937499	1
NR2E3	0.0366541	0.0789607	1.10716	1
CENPQ	12.5722	10.1989	-0.301831	0.0294236
SARS	124.72	87.1739	-0.51672	0.000538752
RANBP3	49.8704	39.5619	-0.334073	0.234266
ARID4A	12.0126	13.1417	0.1296	0.846183
TSSC1	33.3908	29.7006	-0.168956	0.528305
PNPLA6	81.7463	64.3107	-0.346095	0.251524
IFT88	3.29271	2.77579	-0.246377	0.642556
ALG1	30.8375	28.0249	-0.137977	0.886311
ZCCHC8	12.7536	10.9291	-0.222721	0.188716
ABCF2	71.3998	63.6532	-0.165687	0.654174
CHPF2	9.8612	10.0514	0.0275596	0.958867
LRRC7	0.0168967	0.123521	2.86994	1
FUT8	22.2783	14.4914	-0.620441	0.0394902
UBA6	30.5693	25.5222	-0.260328	0.795489
GAB2	3.16585	2.51771	-0.330481	0.637227
ATP6V0A1	37.9461	38.2736	0.0123977	0.9845
PIAS1	12.543	9.27419	-0.435586	0.477461
SLC4A7	6.01748	5.03385	-0.257495	0.497531
APBA2	0.00720501	0.00860468	0.256121	1
UHRF1	56.2647	29.3103	-0.940822	0.000538752
MAP2K3	24.5791	39.8275	0.69633	0.000538752
EFCAB1	0	0	0	1
TMSB10	3129.77	10740.3	1.7789	0.000538752
ASTE1	6.40355	2.66694	-1.26369	0.106415
RNF19A	58.7119	24.77	-1.24506	0.232759
PEX3	24.8684	20.5678	-0.273928	0.871167
GABARAPL2	65.8637	131.089	0.992994	0.000538752
MYOC	0	0.186671	Inf	1
SH3YL1	2.06913	2.98894	0.530614	0.665203
FAM136A	45.5751	105.981	1.21749	0.000538752
VCL	49.3237	39.9035	-0.305764	0.390814
DEPDC1B	11.9642	10.338	-0.210763	0.244582
DAPK2	7.24143	4.99883	-0.534683	0.0615689
NSMAF	23.6262	28.6507	0.278182	0.392623
ADSS	35.3571	30.8747	-0.195575	0.229337
STAP1	0	0.0522586	Inf	1
TIMP2	99.297	132.621	0.417489	0.000538752
RFC1	89.4402	59.5699	-0.586341	0.0121662
TBC1D23	28.1368	20.456	-0.459936	0.152767
CUL3	30.9296	32.3844	0.0663111	0.927817
MYOM2	0	0.00606961	Inf	1
OTC	0	0	0	1
CYP46A1	0.00623174	0.00880444	0.498595	1
ZZZ3	23.8859	15.9445	-0.5831	0.0857737
SLC18A1	0	0.00789531	Inf	1
USP2	2.72362	2.24899	-0.27625	0.646895
CASR	0	0.0183469	Inf	1
TUBG2	2.54971	3.04821	0.257626	0.38308
RPL26L1	111.253	309.865	1.47779	0.000538752
FLT4	0.0783916	0.0683723	-0.197288	1
NSUN2	89.947	136.587	0.602673	0.000538752
