symbol	uninfected_48.FPKM	SC35M_wt_48.FPKM	uninfected_48_SC35M_wt_48.logfc	uninfected_48_SC35M_wt_48.qvalue
YBX2	0.572647	1.46433	1.35452	0.175069
KRT33A	0	0.108292	Inf	1
MAP3K14	3.31413	3.09064	-0.100725	0.921323
ABCC8	0.228446	2.33967	3.35638	0.156539
CCL18	0	0.142857	Inf	1
CCL3	0	0	0	1
SYNRG	8.54594	10.6037	0.311259	0.568257
CACNG3	0.099332	0.0524273	-0.92194	1
TMEM132A	29.0361	36.4924	0.329749	0.714713
AP2B1	71.0595	49.1368	-0.532224	0.0718729
TAC1	0	0	0	1
ZNF263	19.663	15.0742	-0.383407	0.311861
CX3CL1	0.0143607	0.287544	4.32359	1
SPATA20	6.91947	15.4913	1.16272	0.0272177
CACNA1G	0.0375997	0.0614861	0.709539	1
TNFRSF12A	50.745	119.205	1.23211	0.040778
DLX6	0	0	0	1
MAP3K9	1.72553	1.57367	-0.132911	0.708659
RALA	54.3128	45.0441	-0.269955	0.745652
BAIAP2L1	14.3456	23.4203	0.707154	0.0277639
JHDM1D	1.7081	3.34465	0.969465	0.273857
ETV1	0	0.0373868	Inf	1
AGK	16.3342	15.0911	-0.114202	0.904631
ALDH3B1	57.1215	41.9149	-0.446571	0.135412
TTC22	0	0	0	1
PHTF2	10.5004	12.3417	0.233097	0.654475
CCL26	10.8236	23.8487	1.13973	0.000538752
FARP2	16.9016	10.5597	-0.67858	0.184227
USH1C	19.0616	3.42958	-2.47456	0.01787
GGCT	83.7067	159.484	0.929996	0.000538752
DBF4	26.9791	33.185	0.298693	0.500775
TBXA2R	3.90215	41.8658	3.42343	0.000538752
IFRD1	69.6309	48.8444	-0.511534	0.299054
LGALS14	0	0	0	1
COX10	11.8244	5.93526	-0.994383	0.000538752
GTF2IRD1	44.6215	23.0558	-0.952607	0.00149606
PAF1	32.8161	46.4074	0.49995	0.525224
VPS41	36.7777	34.3644	-0.0979162	0.918853
ARHGAP44	0.161139	1.06943	2.73047	0.000538752
ELAC2	81.0627	64.1048	-0.338605	0.300555
SCIN	0.781288	0.4488	-0.799783	0.195211
ARSD	3.85543	2.36612	-0.704366	0.265919
PNPLA4	26.4841	23.0121	-0.202731	0.575071
MYH13	0.00137449	0.029213	4.40964	1
ADIPOR2	56.1077	53.0694	-0.0803191	0.907195
CDKL3	1.22228	13.2169	3.43474	0.00321856
UPP2	0	0	0	1
PRSS21	245.987	348.31	0.501788	0.000538752
MARK4	4.95933	6.26125	0.336305	0.76205
PROM1	0.282812	0.17844	-0.6644	1
CCDC124	130.745	228.758	0.807067	0.000538752
CEACAM21	0	0.102217	Inf	1
PAFAH1B1	69.0567	52.9408	-0.383402	0.195782
NOS2	0	0.0151674	Inf	1
DNAH9	0.0358865	0.0171257	-1.06728	1
KIAA0100	92.3405	96.1741	0.0586859	0.970854
SLC13A2	0.0459866	0.650004	3.82116	0.0501676
GAS7	5.75617	3.49405	-0.720209	0.112603
TRAPPC6A	7.80414	8.52885	0.128112	0.954272
MATK	31.2116	52.2779	0.74412	0.000538752
CEACAM7	0.0162623	0	-Inf	1
CD79B	0.0356116	1.38436	5.28072	0.53061
SCN4A	0.0758229	0.755792	3.31728	0.0442898
ST7L	40.0048	51.1671	0.355041	0.844519
TKTL1	0.113012	0.188492	0.738032	1
PAX6	12.274	13.7638	0.165269	0.940701
RPUSD1	14.5612	15.6501	0.104045	0.859328
RHBDF1	6.59574	5.21145	-0.33985	0.616628
LUC7L	26.1295	47.3601	0.857996	0.000538752
CACNA2D2	0.0584782	0.165959	1.50485	1
BAIAP3	0.567855	4.33366	2.93199	0.0051878
TSR3	41.8346	44.0087	0.0730897	0.815342
PIGQ	44.9188	20.5048	-1.13136	0.158396
CRAMP1L	17.5407	38.3255	1.1276	0.529217
TEAD3	5.49195	2.93231	-0.90528	0.000538752
SELE	0	0.278978	Inf	1
DNAJC11	95.3032	141.108	0.566208	0.333064
FMO3	0	0.0578503	Inf	1
MYLIP	6.52512	14.3634	1.13832	0.000538752
NOX1	0.586455	2.9307	2.32115	0.00441694
E2F2	13.96	9.30686	-0.584936	0.0685565
PSMB1	102.828	129.724	0.335216	0.00441694
SYN1	0.0328537	1.52637	5.53791	0.133374
JARID2	5.2336	4.91171	-0.0915785	0.853309
CDKL5	1.2495	0.644137	-0.955913	0.000538752
CAMK1G	0.00365596	0.269067	6.20157	1
CDK11A	24.181	46.1847	0.933542	0.0138143
NADK	94.6	161.332	0.770123	0.323502
TFAP2B	0	0	0	1
TFAP2D	0	0	0	1
DLEC1	0.0125717	0.0948316	2.91518	1
CYTH3	9.11478	7.13697	-0.352895	0.654124
ADAM22	1.42692	1.12393	-0.344349	0.773718
SYPL1	40.6106	42.5362	0.0668325	0.899428
CYB561	19.4859	13.788	-0.499017	0.0568101
SPAG9	29.3394	25.6961	-0.191293	0.74314
CELSR3	3.84005	2.90695	-0.401621	0.304486
AASS	0.174618	4.82393	4.78793	0.000538752
PLEKHG6	1.21375	14.3723	3.56575	0.0051878
SS18L2	18.7493	24.8159	0.404426	0.483971
MPND	10.4878	22.2287	1.08371	0.160002
MGST1	459.43	1529.85	1.73547	0.000538752
CRY1	10.0014	10.591	0.0826238	0.903988
PGLYRP1	0.0428889	0.804348	4.22914	0.479929
NFIX	3.49843	12.9212	1.88496	0.0232272
ST3GAL1	7.34971	16.8824	1.19976	0.109059
MMP25	0.486427	3.86235	2.98918	0.00948013
IL32	41.5765	49.2734	0.245039	0.459499
PKD1	34.4983	33.4577	-0.044187	0.97445
MAPK8IP2	0.0215908	0.649003	4.90973	0.00362295
MED24	86.8946	112.368	0.370896	0.320374
RHOBTB2	35.3863	20.5525	-0.783875	0.484162
HEATR5B	5.30166	4.00622	-0.404202	0.512372
SEC62	246.367	378.032	0.617698	0.00556088
RPS20	2110	7690.33	1.8658	0.000538752
CSDE1	467.893	477.893	0.0305095	0.967857
UBE3C	33.8361	39.2018	0.212357	0.580376
REV3L	10.438	23.5791	1.17566	0.000538752
TENM1	0.0770386	0.00765142	-3.33178	1
PAX7	0	0	0	1
MASP2	0.504276	11.8646	4.5563	0.000538752
IYD	0.0126338	4.59295	8.50599	0.520069
FAM76A	3.8264	5.65565	0.563705	0.0917335
TRAF3IP3	2.04352	1.04442	-0.968355	0.120801
POMT2	27.3651	34.3163	0.326558	0.553207
VTA1	22.1432	18.9821	-0.22222	0.259815
MLXIPL	9.23579	4.03498	-1.19468	0.000538752
BAZ1B	45.6735	37.5484	-0.282607	0.0971328
RANBP9	33.1944	27.4148	-0.275982	0.432499
ETV7	0	0.106833	Inf	1
SPRTN	7.41736	7.12746	-0.057518	0.953639
METTL13	32.3393	21.0474	-0.619644	0.0794376
DYRK4	19.9799	22.4745	0.169737	0.899062
ZNF207	71.7782	57.362	-0.323451	0.272414
UQCRC1	275.605	323.21	0.229873	0.310697
STARD3NL	4.73826	4.13947	-0.194913	0.737833
CD9	92.082	126.634	0.459678	0.000538752
HHATL	0	0.815629	Inf	0.000538752
NCAPD2	333.318	275.175	-0.27655	0.855634
IFFO1	0.0770747	7.20401	6.5464	0.000538752
GIPR	0.122729	8.8542	6.17281	0.000538752
PHF7	3.5361	4.34108	0.295894	0.876955
SEMA3G	1.60907	2.02493	0.331646	0.784874
NISCH	14.3761	19.6189	0.44857	0.237401
STAB1	0.336506	1.6516	2.29516	0.0597447
FUZ	12.8541	20.6279	0.682375	0.351656
SLC6A13	0.0152456	2.42254	7.31198	0.168256
IDS	5.66247	20.5781	1.86161	0.000538752
PRSS3	0.333765	0.911644	1.44964	0.652869
ZNF200	8.30402	12.4488	0.584129	0.00194575
CD4	0.0247038	3.08597	6.96485	0.000538752
LRRC23	5.84155	16.4446	1.49319	0.266941
BTK	0	7.75471	Inf	0.000538752
HFE	11.7449	9.45941	-0.312213	0.345788
SCMH1	12.4214	11.4372	-0.119098	0.894592
FYN	66.1994	17.7571	-1.89842	0.000538752
HIVEP2	2.06537	1.02418	-1.01193	0.431353
FMO1	0	0	0	1
TCEB3	27.2058	39.6621	0.543846	0.468848
LYPLA2	85.5759	55.8325	-0.616098	0.0305365
CLCN6	3.55914	3.88387	0.125963	0.894449
MRC2	7.30468	5.40593	-0.434279	0.526852
NME2	618.79	2295.19	1.89109	0.000538752
SLC6A7	0.19012	0.15321	-0.311402	1
TSPAN9	1.90614	2.00113	0.070161	0.961957
BTBD7	17.4025	10.7189	-0.699142	0.452649
APBA3	7.47873	16.313	1.12515	0.000538752
MKS1	18.3688	11.5845	-0.665063	0.158693
ABHD5	17.4471	18.9207	0.116981	0.887401
KAL1	0	0.0320062	Inf	1
AKAP8L	62.102	146.858	1.24171	0.000538752
MBTD1	4.74487	7.88578	0.732885	0.000538752
UTP18	53.4288	59.4468	0.153981	0.605972
RNF216	12.814	15.7861	0.300937	0.636846
TTC19	18.2827	17.0617	-0.0997179	0.907117
PTBP1	1076.78	816.836	-0.398602	0.541403
DPF1	2.11534	4.40492	1.05823	0.00629617
SYT7	1.197	1.30262	0.121996	0.891893
LARS2	24.0528	20.4738	-0.232424	0.619524
PIK3C2A	18.3111	14.1471	-0.372214	0.809352
PLAUR	24.4779	79.9515	1.70764	0.000538752
ANLN	107.97	57.7095	-0.903753	0.00402791
WIZ	44.698	49.4259	0.145057	0.942363
RABGAP1	29.2964	32.0692	0.130468	0.909765
DCN	1.21734	0	-Inf	0.000538752
QPCTL	11.1974	17.3375	0.630729	0.512235
PPP5C	56.2123	51.7791	-0.118518	0.889038
CEP68	2.59626	2.24511	-0.209651	0.849779
MAP4K3	10.1857	9.63478	-0.0802207	0.966939
ZBTB32	0.223567	1.09403	2.29087	0.125663
TYROBP	0	0.48724	Inf	1
TMEM159	11.3118	5.89529	-0.94019	0.0111727
GABRA3	0.00983053	0.0172298	0.809565	1
BRCA1	36.4279	32.0222	-0.185972	0.78089
ERCC1	34.1078	49.837	0.547113	0.278373
CD22	1.14025	6.65725	2.54558	0.000538752
SEMA3B	137.085	71.1129	-0.946888	0.000538752
MBTPS2	21.8723	10.2208	-1.09759	0.000538752
PRICKLE3	54.1312	83.665	0.628164	0.00194575
LTF	0	0.0266216	Inf	1
EXTL3	15.0725	22.5976	0.584247	0.290933
NR1H4	0	0.131969	Inf	1
ELOVL5	39.8916	24.5178	-0.702253	0.000538752
ALOX5	0.14072	0.552635	1.9735	0.0379494
KDM5D	0	0	0	1
CALCOCO1	20.1796	10.6633	-0.920247	0.000538752
UBR7	27.7361	23.0045	-0.26985	0.641609
MAP4K5	32.0322	22.5953	-0.503497	0.566794
EHD3	0	0.0194142	Inf	1
PSMC4	53.3349	69.4014	0.379885	0.000538752
MAN2B2	4.68475	3.79606	-0.303467	0.210236
SLC7A14	0	1.48242	Inf	0.220389
CLDN11	0.263716	12.292	5.54259	0.000538752
SLC25A39	136.791	456.597	1.73894	0.000538752
MVP	37.8251	43.7657	0.210457	0.912921
NUB1	52.3418	30.5033	-0.778998	0.0389689
PGM3	79.4059	89.6165	0.174519	0.951776
RWDD2A	4.55887	1.79694	-1.34313	0.119155
CLK1	29.0129	58.8549	1.02047	0.000538752
POLR3B	13.0157	9.06103	-0.522504	0.381297
ANGEL1	8.78654	7.9087	-0.151854	0.830856
RNF14	19.9206	14.6228	-0.446048	0.16415
DNASE1L1	21.4885	28.2732	0.395873	0.811688
DDX11	53.9933	40.8228	-0.403404	0.226971
HEBP1	38.8902	16.8945	-1.20286	0.000538752
GPRC5A	223.735	330.287	0.561931	0.00362295
MAMLD1	8.8398	4.06297	-1.12148	0.00149606
CD6	0	0.852307	Inf	1
TACC3	35.4807	48.1592	0.440776	0.0748922
UFL1	10.2153	6.5557	-0.639911	0.00666586
POLA2	52.2713	18.7427	-1.47969	0.000538752
ZC3H3	7.73546	7.47249	-0.0498989	0.874983
CAPN1	92.2606	94.5018	0.0346261	0.974302
ACPP	0.988066	2.95971	1.58278	0.0379494
MDH1	318.305	352.823	0.148534	0.583538
SLC30A9	23.9375	19.3037	-0.310392	0.116903
MTMR11	2.45635	7.46291	1.60322	0.00103163
COX15	39.2967	37.1108	-0.0825705	0.896555
CCDC88C	7.21298	12.8231	0.83008	0.293656
YAF2	58.2982	68.7096	0.237059	0.804338
ZMYND11	19.5485	15.6279	-0.322937	0.532007
WAS	0.584152	3.0038	2.36237	0.000538752
DPEP1	0.988026	4.00035	2.01751	0.00480514
BID	23.4948	30.7044	0.386103	0.393074
MATR3	434.623	634.002	0.544724	0.130836
NPC1L1	0.0276151	0.581773	4.39693	0.000538752
XYLT2	6.56681	14.7964	1.17198	0.000538752
RGPD5	0.112489	1.02628	3.18957	0.00149606
STMN4	0	0.548237	Inf	0.0940605
NUDCD3	47.8585	25.3528	-0.916628	0.126742
ISL1	0.0126949	0	-Inf	1
CHDH	3.57563	2.51804	-0.505898	0.00149606
IL20RA	1.9134	2.60223	0.443609	0.725535
CLCA1	0	0	0	1
CLCA4	0	0	0	1
GLT8D1	53.3033	52.558	-0.0203167	0.986067
ATP2C1	105.257	86.4723	-0.283608	0.343524
SRCIN1	1.73945	1.45886	-0.253783	0.836757
IGF1	0.00110772	0.0219456	4.30826	1
SLC38A5	270.519	287.08	0.0857207	0.793741
MAGIX	1.71674	4.7881	1.47978	0.0051878
RALBP1	20.4117	28.8418	0.498769	0.0108391
RUFY3	7.76108	11.4062	0.555494	0.322292
CNTN1	0.0473013	0.058591	0.308801	1
SLC11A1	0.10659	8.45746	6.31009	0.000538752
WWTR1	28.6909	20.0129	-0.519667	0.145499
AGPS	16.3818	23.078	0.494428	0.263171
ZNF806	0	0	0	1
CXorf56	24.9142	21.2201	-0.231537	0.556668
ATP1A2	0.0538807	0.685992	3.67035	0.555404
TTC27	18.0969	12.114	-0.57906	0.0950162
ZNF582	0	0	0	1
VSIG2	0.0303768	0.445354	3.87391	0.366042
PHLDB1	6.74427	4.9308	-0.451841	0.274909
MARCO	1.90838	2.50959	0.395107	0.50753
CYP24A1	0	0	0	1
PRDM11	10.2471	6.29672	-0.702543	0.0821142
SYT13	0.236549	0.213843	-0.145589	1
SNAI2	3.07709	1.61547	-0.929608	0.000538752
CD74	1.38826	5.46311	1.97644	0.000538752
HGF	0.00401465	0.179519	5.48271	1
ZRANB1	11.6668	7.5063	-0.636234	0.320374
NCDN	13.4198	12.2776	-0.128332	0.826742
GPR124	2.65241	0.584942	-2.18094	0.000538752
CCT8L1P	0.00659683	0.72351	6.7771	0.549431
ZFP64	9.87002	6.50868	-0.600689	0.00773312
MNAT1	40.1741	34.9497	-0.200988	0.790552
SAMD4A	1.13816	3.00183	1.39914	0.0629615
RUNX3	0.0124566	0.35041	4.81406	1
MRE11A	27.7023	9.16778	-1.59536	0.000538752
PLEKHB1	0.474378	3.02233	2.67155	0.000538752
SERPINB1	60.0792	49.2943	-0.285444	0.252199
CYP3A43	0.23668	0.463101	0.96839	0.522874
SLC7A9	0.0766235	1.96962	4.68399	0.304966
SPAST	5.22864	6.045	0.209308	0.163992
NRXN3	0	0	0	1
OSBPL5	29.7961	30.5907	0.0379716	0.959892
AQR	15.7291	11.8222	-0.411928	0.292722
CPS1	1058.65	292.15	-1.85744	0.00149606
C8B	0	0	0	1
FHL1	60.5275	34.2219	-0.822672	0.0260865
RTFDC1	109.556	91.4528	-0.260575	0.326521
GABRA1	0	0	0	1
NLRP2	0	15.3917	Inf	0.334525
SLC45A4	2.37936	2.66593	0.164069	0.843007
RNF10	393.213	431.901	0.13539	0.802855
ZNF839	9.89332	5.99776	-0.722031	0.0558874
ZDHHC6	50.7986	59.1946	0.220678	0.803614
GRAMD1B	17.7569	21.1347	0.251235	0.418864
RNH1	55.9158	42.7834	-0.386203	0.0786513
NDUFS1	52.8569	43.4292	-0.283426	0.682723
RB1CC1	27.5214	26.365	-0.0619321	0.959087
ERP44	8.07443	8.51776	0.0771134	0.744877
ALAS1	24.0599	27.621	0.199139	0.405762
BIRC3	8.60501	12.714	0.563172	0.187669
AKAP11	4.38451	2.27925	-0.943854	0.000538752
GLRX2	39.6678	44.8056	0.17571	0.320187
SNAPC1	4.91212	5.88605	0.260955	0.853693
DERA	45.1705	25.2608	-0.838479	0.00103163
STRAP	141.922	141.819	-0.00104465	0.99709
ABCC2	33.1087	21.5243	-0.621242	0.000538752
DEF6	0.119165	3.71705	4.96312	0.000538752
PLEKHO1	0.400816	1.34883	1.7507	0.00773312
GCLM	16.8288	13.5144	-0.316426	0.623041
UBR2	6.3468	4.64792	-0.449446	0.0751156
EHD2	23.8927	16.3358	-0.548538	0.139797
DEPDC1	24.257	19.4305	-0.32008	0.396562
CCDC28A	4.97286	2.43277	-1.03148	0.000538752
RRAGD	0	0.256858	Inf	1
HSF2	3.17532	4.75199	0.581631	0.173832
PHF20	29.7165	71.5929	1.26855	0.00238261
HSD17B6	4.87659	4.60035	-0.0841292	0.980244
NR1H3	60.7337	49.3059	-0.300735	0.395786
TYMP	1.63506	4.13686	1.3392	0.0472592
NCAPH2	30.9711	30.5787	-0.018395	0.977565
TOMM34	46.0952	89.3554	0.954938	0.000538752
SEC63	154.725	101.836	-0.60346	0.00629617
KPNA6	26.3154	24.7883	-0.0862482	0.889879
VIM	371.055	197.796	-0.907617	0.000538752
RTEL1-TNFRSF6B	1.44279	1.76814	0.293365	0.825669
FAS	12.8921	10.7923	-0.25648	0.509889
RNASET2	20.2337	20.921	0.0481873	0.935333
CD44	234.794	315.365	0.425628	0.172256
KCNG1	0.0172245	0	-Inf	1
AGPAT4	1.12145	0.720023	-0.639247	0.352539
SLAMF7	0	0.0465997	Inf	1
BTN3A1	9.36107	7.1901	-0.38066	0.369673
MIPEP	9.15255	10.5829	0.209495	0.815073
PRKCH	3.8341	7.07042	0.882907	0.33794
INSRR	0.00375451	0.0669309	4.15597	1
IFNGR1	14.5638	13.5087	-0.108493	0.800967
B4GALT7	12.8265	21.5235	0.746785	0.0028049
SH2D2A	5.73598	1.7924	-1.67815	0.000538752
VRK2	10.8534	5.41717	-1.00253	0.0472592
TNFRSF1B	0	0.0624194	Inf	1
VEZT	36.8349	26.9771	-0.44934	0.268329
POU2F2	0.150393	6.91432	5.52278	0.000538752
BRD9	34.8093	36.2802	0.0597094	0.959438
SNX1	112.449	86.3419	-0.381136	0.409724
TBPL1	7.71252	6.81449	-0.178596	0.710115
ARNTL2	7.64311	11.4482	0.582888	0.00321856
BCLAF1	79.0735	57.4333	-0.461308	0.173501
SLC39A9	29.492	28.8697	-0.0307705	0.971432
ANK1	0.590979	0.676422	0.194815	0.903199
IBSP	0	0	0	1
TFB1M	11.231	15.195	0.436105	0.727011
RABEP1	29.8031	37.705	0.339296	0.704691
HMGB3	95.3313	110.465	0.212573	0.367029
NUP160	64.8757	86.91	0.421846	0.155299
BAK1	8.13992	8.86508	0.123119	0.664634
MUSK	0	0	0	1
IKZF2	0.747758	0.495051	-0.594995	0.61323
GRN	360.348	172.136	-1.06584	0.000538752
FAM13B	10.3547	8.82696	-0.230297	0.71272
ARHGAP31	0.0872049	0.375931	2.10799	0.28532
NR2E3	0.00599943	0.428386	6.15794	0.271099
CENPQ	11.9096	13.5752	0.18884	0.269619
SARS	149.697	71.5886	-1.06425	0.000538752
RANBP3	60.8237	32.122	-0.921072	0.000538752
ARID4A	14.2996	65.2657	2.19035	0.000538752
TSSC1	27.7241	14.8171	-0.903875	0.00592986
PNPLA6	60.3088	56.8664	-0.0847936	0.909305
IFT88	2.85103	3.32367	0.221297	0.795122
ALG1	34.3343	22.546	-0.606782	0.340966
ZCCHC8	14.0451	27.2333	0.955306	0.000538752
ABCF2	78.5775	60.4068	-0.379406	0.330029
CHPF2	14.3542	7.47803	-0.940746	0.000538752
LRRC7	0.159899	0.674066	2.07573	0.256951
FUT8	16.7034	22.6398	0.438718	0.328317
UBA6	24.7461	12.938	-0.935588	0.159026
GAB2	3.02386	3.15509	0.0612935	0.969424
ATP6V0A1	31.1805	50.8166	0.704655	0.0028049
PIAS1	13.191	13.4323	0.0261521	0.979857
SLC4A7	6.09717	5.67233	-0.104198	0.914337
APBA2	0	0.421416	Inf	0.093871
UHRF1	45.2541	24.2264	-0.901466	0.000538752
MAP2K3	26.1893	61.0211	1.22033	0.000538752
EFCAB1	0	0.0357948	Inf	1
TMSB10	3212.44	11937.4	1.89374	0.000538752
ASTE1	8.09791	2.76352	-1.55104	0.20873
RNF19A	68.6303	52.1981	-0.394849	0.823465
PEX3	21.7444	13.3933	-0.699133	0.672952
GABARAPL2	66.8235	85.7502	0.359784	0.0438182
MYOC	0	1.23038	Inf	0.000538752
SH3YL1	2.12888	1.03274	-1.04362	0.190351
FAM136A	55.7984	87.2937	0.645654	0.000538752
VCL	61.775	46.1294	-0.421336	0.212832
DEPDC1B	11.9293	8.49775	-0.489355	0.0101569
DAPK2	5.21124	10.9485	1.07103	0.00556088
NSMAF	26.8462	24.3852	-0.138713	0.776211
ADSS	36.7386	26.2694	-0.483915	0.00103163
STAP1	0	0	0	1
TIMP2	78.1155	108.733	0.477114	0.000538752
RFC1	79.5292	72.9655	-0.12427	0.821949
TBC1D23	21.6782	27.4887	0.342593	0.407927
CUL3	34.0957	53.6473	0.653916	0.102588
MYOM2	0	0.0870614	Inf	1
OTC	0	0.538879	Inf	1
CYP46A1	0.0211263	0.301712	3.83606	1
ZZZ3	27.4258	26.0107	-0.0764266	0.940362
SLC18A1	0	0	0	1
USP2	3.22701	3.18681	-0.0180842	0.988947
CASR	0	0.019204	Inf	1
TUBG2	1.78766	4.32776	1.27555	0.000538752
RPL26L1	101.626	397.637	1.96818	0.00194575
