GENE	NORMAL	ABNORMAL	LOG2FOLD	PVALUE
BAD	3.005831768	2.339249231	-0.361718687	0
TRMT112	40.18442708	40.07078678	-0.004085676	0
MRPL49	8.025725419	6.40178256	-0.326158123	0
MRPL11	0.600221787	0.637219495	0.086294719	0
GSTP1	121.9226099	95.315657	-0.355180568	0
NDUFV1	17.75568813	13.19043976	-0.42878861	0
NDUFS8	22.111725	16.27051866	-0.442551338	0
CPT1A	0.753584069	0.484416973	-0.637519052	0
MRPL21	1.106210385	1.416835508	0.357046483	0
MRPL48	0.076198768	0.109613015	0.524579524	0
NDUFC2	2.244925833	3.077911764	0.455284091	0
NARS2	0.023791233	0.043587807	0.873494574	0
TMEM126B	0.281713388	0.843917305	1.582873508	0
FDX1	0.157646364	0.231809342	0.556246811	0
DLAT	0.499828951	0.703937156	0.494012169	0
TIMM8B	6.42381505	7.094269348	0.14322375	0
SDHD	0.314935721	0.770774722	1.291251856	0
ATP5L	1.04211117	1.25490065	0.268063962	0
PUS3	0.426297341	0.805501002	0.918026329	0
RPUSD4	1.523995028	1.393270193	-0.129383133	0
FOXRED1	2.066711235	1.72870448	-0.257645564	0
ACAD8	0.828840212	0.76934651	-0.107460471	0
NDUFA9	0.531705386	0.609843171	0.197811202	0
MRPL51	12.97214064	21.13131288	0.703965833	0
GAPDH	1275.572728	1003.489494	-0.346119645	0
TPI1	133.4516831	110.6404655	-0.27043837	0
ENO2	4.627066026	3.309336765	-0.483555575	0
PHB2	24.82410569	18.70741593	-0.408131452	0
SLC2A3	1.865151588	2.285885572	0.293460297	0
LDHB	0.676291099	1.245366634	0.880854262	0
ITPR2	0.012916078	0.025906715	1.004157983	0
MRPS35	0.201951191	0.473020437	1.22789586	0
DNM1L	0.263021554	0.746585405	1.505126276	0
YARS2	0.63625423	1.611481096	1.340712017	0
PFKM	1.166041258	1.177218465	0.013763239	0
COX14	0.998725828	1.130276625	0.178515316	0
ATP5G2	2.340111851	2.037541165	-0.199748282	0
CS	5.597412351	3.826541885	-0.548718841	0
ATP5B	62.62666532	56.54667478	-0.147334873	0
TSFM	0.529835049	0.609485347	0.202048254	0
ACSS3	0.002111203	0.008361441	1.985685909	0
MRPL42	0.105484242	0.356757648	1.757916862	0
NDUFA12	0.090654387	0.139955439	0.626518809	0
SLC25A3	37.13569474	36.02853155	-0.043666717	0
APAF1	0.143452259	0.348732583	1.281550473	0
MTERF2	0.083494099	0.336395598	2.010412683	0
ISCU	2.60208136	5.339988158	1.037170471	0
UNG	1.783517305	1.456328505	-0.292389392	0
TCHP	0.809029009	1.129771073	0.481767128	0
ACAD10	0.201930771	0.213480727	0.080245057	0
COX6A1	8.847668224	9.958453476	0.170624425	0
DYNLL1	3.626018544	5.746598005	0.664321828	0
ACADS	0.716307183	0.490517033	-0.546275174	0
DIABLO	1.530394255	1.687720686	0.141172798	0
PUS1	1.63230579	1.282756342	-0.347664194	0
MRPL57	6.856783138	7.037880074	0.037609036	0
MIPEP	0.049795782	0.070566159	0.50295296	0
MTIF3	0.240615861	0.804889761	1.742059458	0
MRPS31	0.036752264	0.107926684	1.554146571	0
MTRF1	0.018305914	0.069111375	1.916613379	0
SUCLA2	0.078928039	0.210640448	1.416172687	0
CARS2	0.854302007	0.82305452	-0.053758172	0
APEX1	28.15003114	27.93304794	-0.011163515	0
OXA1L	10.49513452	10.22828614	-0.037156231	0
MRPL52	4.585019306	4.432516946	-0.048801662	0
NUBPL	0.004626623	0.011692302	1.337527445	0
KIAA0391	0.065585584	0.096682887	0.55988181	0
TIMM9	0.191536242	0.360631387	0.912907564	0
TRMT5	0.343994227	0.72672554	1.079026256	0
ARG2	0.544985878	1.057216113	0.955979567	0
ISCA2	1.92571006	2.214249967	0.201427594	0
DLST	6.057204799	4.962553562	-0.287569517	0
NDUFB1	1.11214404	2.199310427	0.9837076	0
GLRX5	2.402140394	2.486885152	0.050019411	0
PACS2	0.942575806	0.690798492	-0.448343717	0
RPUSD2	1.974708929	1.528657687	-0.369374637	0
NDUFAF1	0.386899759	0.534937581	0.467410729	0
FAM96A	0.202037283	0.526698495	1.382355789	0
MTFMT	0.212720389	0.291697738	0.455515881	0
CLPX	0.237092439	0.553658634	1.223547079	0
ANP32A	0.58633185	1.112367318	0.92384393	0
PML	1.777744629	1.207930779	-0.557510314	0
COX5A	2.84899703	2.45868328	-0.212568215	0
IDH3A	0.294191598	0.633253501	1.106027102	0
ACSBG1	0.056305635	0.124783712	1.148078417	0
MRPS11	2.522534167	2.292957187	-0.137664392	0
POLG	4.367692445	3.818932578	-0.193701821	0
IDH2	8.845373775	6.023588497	-0.554299892	0
MRPL28	19.35392144	14.44874547	-0.421681677	0
NME4	15.20787833	13.83084007	-0.136930108	0
RHOT2	17.74485321	14.92706648	-0.249469971	0
NME3	18.82827347	13.0284682	-0.531233241	0
MRPS34	56.53122527	44.11911192	-0.357644216	0
NUBP2	10.62963783	7.022379817	-0.598060509	0
NDUFB10	22.54547263	22.03545939	-0.033010781	0
GFER	7.755429842	5.558045579	-0.480629079	0
NTHL1	1.64624338	1.34549641	-0.291039097	0
TRAP1	1.527449979	1.130480435	-0.434189111	0
PAM16	3.746448323	3.047916921	-0.297699973	0
NUBP1	0.341594913	0.392666159	0.20101678	0
MPV17L	0.012901176	0.015292482	0.245320007	0
ACSM3	0.029414409	0.083362324	1.502872443	0
UQCRC2	1.406311646	2.633062396	0.904825371	0
EARS2	0.846811418	0.811674627	-0.061139206	0
NDUFAB1	1.669163718	2.367831586	0.504441005	0
TUFM	47.43082444	33.70259326	-0.492965341	0
ALDOA	114.1453552	77.40848	-0.560308629	0
MAPK3	7.137634545	6.353381985	-0.167921275	0
CIAPIN1	1.760041179	1.334817246	-0.398966952	0
GOT2	3.767545608	3.084820611	-0.28843838	0
TK2	0.684757539	0.648794141	-0.077832453	0
FAM96B	21.81145178	18.88752594	-0.207652063	0
DDX28	4.935039131	2.525879158	-0.966275904	0
KARS	3.331807958	5.174870942	0.635217636	0
COX4I1	18.03939964	18.78126599	0.058142988	0
SPG7	1.344861185	1.350373255	0.005900968	0
TIMM22	5.382407133	4.628209479	-0.217797358	0
ENO3	53.90959942	35.72003902	-0.593808533	0
ACADVL	26.82826255	31.79622267	0.245101761	0
GABARAP	52.56613337	52.13679268	-0.011831783	0
SLC2A4	0.014596686	0.011045642	-0.402163579	0
TP53	2.736984444	1.8686501	-0.550590782	0
SCO1	0.593458987	0.987208772	0.734206882	0
ELAC2	3.52998996	2.842820695	-0.312340974	0
COX10	0.075431899	0.084629883	0.165992423	0
TTC19	0.446496563	0.775082584	0.795700965	0
PLD6	0.607012824	0.422912942	-0.521366286	0
ATPAF2	0.250931235	0.21308275	-0.235878263	0
MIEF2	3.068942288	2.38171592	-0.36574017	0
TOP3A	0.980043575	0.675112095	-0.537718831	0
ALDOC	3.485943195	3.564657296	0.032214323	0
RHOT1	0.06064353	0.139422396	1.201036694	0
LIG3	0.916954742	0.914631629	-0.003659718	0
BECN1	1.169364707	2.075135127	0.827480329	0
MRPL10	4.494090256	3.473664915	-0.371570507	0
ATP5G1	10.00545348	8.253570318	-0.277696317	0
PHB	9.668184877	9.012709682	-0.101284142	0
MRPL27	3.846506405	4.254271351	0.145363345	0
COX11	0.543711449	1.202120065	1.144667884	0
MRPS23	0.927810903	1.720196479	0.890670652	0
TACO1	2.472742528	2.028294426	-0.28584494	0
FDXR	1.910567038	1.860794279	-0.038082314	0
ATP5H	2.998074141	6.16190227	1.03933974	0
MRPS7	5.445225477	5.4780734	0.008676807	0
SLC25A19	0.364799112	0.296454433	-0.299291847	0
MRPL38	4.771180315	3.459967706	-0.463587638	0
PGS1	0.630403743	0.568982772	-0.14789113	0
NARF	0.647876296	0.671697663	0.052093636	0
NDUFV2	0.537494085	0.887389647	0.723318845	0
AFG3L2	0.829419093	1.014695846	0.290874183	0
ATP5A1	11.8996365	15.18547634	0.35177466	0
ACAA2	0.955929273	0.999098517	0.063723062	0
FECH	0.420403114	0.47864805	0.187191876	0
PMAIP1	0.521858076	1.07201575	1.038596691	0
BCL2	0.009497191	0.010290104	0.115684726	0
TIMM21	0.52726405	1.127056908	1.095962824	0
POLRMT	5.327287688	3.284583008	-0.697690967	0
GPX4	61.41847957	54.82809273	-0.16375751	0
ATP5D	45.70077224	31.77400956	-0.524371389	0
NDUFS7	5.099156662	3.537811839	-0.527401343	0
UQCR11	4.770105043	5.741027177	0.267287849	0
TIMM13	24.83501169	22.14040759	-0.165693644	0
MRPL54	2.370106749	2.009496177	-0.238118206	0
LONP1	6.820899476	4.402428623	-0.631662387	0
NDUFA11	9.104305645	7.614363723	-0.257825506	0
ACSBG2	0.00593811	0.010294205	0.793756631	0
CLPP	11.96780713	7.972585603	-0.586039243	0
TIMM44	1.566935087	1.702229146	0.119479845	0
MRPL4	8.730322674	6.59215487	-0.405284841	0
QTRT1	2.101832283	1.85508277	-0.180163995	0
ECSIT	1.099445339	0.835207005	-0.396570162	0
TRMT1	3.673324202	3.073289816	-0.25730241	0
NDUFB7	10.06862406	7.974208767	-0.336453263	0
MRPL34	1.744024737	1.332859655	-0.387895625	0
GTPBP3	1.883224626	1.338710218	-0.492361388	0
SLC27A1	0.73138126	0.636449777	-0.200576987	0
NDUFA13	5.041993625	4.978674525	-0.01823259	0
UQCRFS1	6.679250711	7.15727674	0.099724495	0
GPI	7.363047892	5.19947437	-0.501937301	0
GAPDHS	0.296675608	0.297402459	0.003530257	0
COX6B1	5.076614672	5.767626488	0.184110979	0
SDHAF1	7.405945049	6.459230156	-0.197321618	0
COX7A1	0.748137717	0.472424639	-0.663219657	0
SARS2	2.541837986	2.01089651	-0.338033241	0
MRPS12	16.70667198	11.03481297	-0.598362196	0
TIMM50	5.074267476	3.462598083	-0.551344631	0
TOMM40	6.844683847	5.010418605	-0.450052764	0
OPA3	0.482619142	0.3470378	-0.475792324	0
BBC3	0.619655455	0.671043644	0.11494034	0
BAX	9.956511378	8.077651083	-0.301704501	0
CPT1C	1.377604181	1.320396698	-0.061189991	0
NDUFA3	2.961714951	2.967425387	0.002778959	0
COX6B2	0.01995895	0.051660454	1.37202448	0
SLC27A5	0.247677886	0.194692826	-0.347265332	0
RNASEH1	1.196424844	1.49312703	0.319607136	0
HADHA	2.198703344	2.59555488	0.239390028	0
HADHB	1.178411048	1.347588784	0.193537465	0
MPV17	2.502665165	2.232898695	-0.164547486	0
MRPL33	0.048934734	0.062053844	0.342661728	0
TRMT61B	0.140906484	0.260428662	0.886150236	0
LRPPRC	0.210210414	0.53979665	1.36058188	0
MTIF2	0.110766323	0.387318265	1.806000227	0
NFU1	0.125020341	0.267993096	1.100032992	0
BOLA3	0.282558742	0.483849915	0.776008783	0
MRPL53	15.49975261	15.23832587	-0.024540776	0
HTRA2	8.425818148	7.536233891	-0.160973038	0
HK2	0.641634379	0.826137099	0.364629776	0
MRPL19	0.230910328	0.612811554	1.408110795	0
SUCLG1	0.709248521	1.037844165	0.549226694	0
PTCD3	0.262038406	0.689601708	1.395985069	0
MRPL35	0.473010202	1.164046924	1.299206011	0
MRPS5	0.310379924	0.459184759	0.565039514	0
CIAO1	5.805536438	5.947998952	0.034975013	0
COX5B	17.50414615	18.78161991	0.101624812	0
COA5	0.303796144	0.828875313	1.448051538	0
MRPL30	0.222431233	0.453440482	1.027553816	0
MRPS9	0.067625568	0.140083497	1.050646297	0
BCL2L11	0.019329367	0.018477215	-0.06504703	0
ATP5G3	8.576035604	9.840811966	0.198466462	0
NFE2L2	0.097630905	0.281444121	1.527438708	0
OSGEPL1	0.077140191	0.129814492	0.750896822	0
NDUFB3	0.28218696	0.765868441	1.440445267	0
TRAK2	0.397995237	0.828902997	1.058452114	0
NDUFS1	0.851434836	1.46341434	0.781370278	0
CREB1	0.092209529	0.218291346	1.243267192	0
IDH1	0.514964082	1.068636598	1.053227615	0
CPS1	0.022888682	0.044515332	0.959667905	0
BCS1L	4.718123676	3.394234842	-0.47512685	0
ACSL3	0.189122289	0.47520283	1.329224028	0
MRPL44	0.92766722	1.132843025	0.288268697	0
MFF	0.647290772	0.805630159	0.315703756	0
NDUFA10	0.359222933	0.405247098	0.173922401	0
MTERF4	0.977558504	1.618068859	0.727018053	0
IDH3B	7.850061709	6.879810434	-0.190335181	0
MRPS26	9.218688089	7.543026661	-0.28941793	0
TRMT6	0.317689209	0.615913952	0.955112724	0
CRLS1	0.412296621	0.843266597	1.032306172	0
ACSS1	0.135729223	0.141886246	0.064003377	0
BCL2L1	1.53280945	0.878726155	-0.802692819	0
CDK5RAP1	0.356393538	0.338131671	-0.075886026	0
MAP1LC3A	1.541119877	1.128641895	-0.449391279	0
ACSS2	0.647944323	0.562391229	-0.204295754	0
GSS	2.141250084	1.813824921	-0.239418096	0
NFS1	1.166998863	1.369698018	0.231054697	0
ATP5E	3.81052508	8.025024452	1.074515977	0
MRPL39	0.159034788	0.529726519	1.735905357	0
ATP5J	0.941254152	2.341909307	1.315028978	0
SOD1	4.272057925	11.10852182	1.378663741	0
ATP5O	2.105632985	6.030990083	1.518140869	0
MRPS6	1.182938966	2.905052739	1.296188715	0
NDUFV3	0.851164909	1.362517432	0.678764109	0
PFKL	12.79553114	12.87433576	0.008857965	0
BID	0.601518077	0.700822787	0.220441591	0
SLC25A1	62.24186134	45.29050184	-0.45867668	0
MRPL40	2.55866996	3.122345963	0.287236332	0
TXNRD2	0.403748117	0.323975469	-0.317570953	0
MAPK1	0.862645163	1.152207454	0.417561342	0
HSCB	0.149096605	0.318388081	1.094538917	0
UQCR10	9.541117412	12.58686593	0.399688961	0
MTFP1	2.766269735	1.135098646	-1.285124157	0
TXN2	3.618272519	3.735881968	0.046147803	0
TOMM22	8.820612413	10.09808955	0.195131646	0
MIEF1	2.872904881	2.253081668	-0.350610619	0
ACO2	2.688595751	1.982306965	-0.439672467	0
NDUFA6	2.745816717	5.340184161	0.959654166	0
SAMM50	0.600686712	0.760796399	0.340897667	0
TRMU	0.876220721	0.843139349	-0.055523241	0
SCO2	15.48159133	9.692069023	-0.675677187	0
CPT1B	0.439103486	0.724795302	0.723012615	0
TRNT1	0.0954805	0.419193244	2.134337433	0
ITPR1	0.015990393	0.022960554	0.521952016	0
OGG1	2.837924521	2.420625182	-0.229456515	0
CHCHD4	0.507659952	0.607409029	0.258805899	0
MRPS25	1.373272614	1.84244205	0.424001193	0
TRAK1	0.496670168	0.604864157	0.284323078	0
LARS2	0.159138223	0.145370599	-0.130544879	0
DHX30	3.244068254	1.970956908	-0.718907939	0
NME6	0.871403351	0.980696462	0.170466012	0
UQCRC1	18.30471915	13.26839856	-0.464221384	0
SLC25A20	0.282957518	0.306345392	0.114573679	0
NDUFAF3	25.96016186	20.18586317	-0.362954099	0
GPX1	106.1703594	57.81346397	-0.87690363	0
ALAS1	2.09074764	1.551964908	-0.429922998	0
PDHB	3.897206962	8.151861788	1.064689043	0
SUCLG2	0.038984612	0.090209714	1.210378007	0
CPOX	0.182677967	0.300643323	0.718750276	0
TOMM70A	0.590322471	1.39294152	1.238559526	0
TRMT10C	0.454160814	1.310765284	1.529134229	0
QTRTD1	0.066055645	0.118663333	0.845120453	0
COX17	0.206356673	0.353928804	0.778319086	0
NDUFB4	4.606844676	5.668191492	0.299109541	0
ACAD9	1.0107266	0.975428138	-0.051285308	0
MRPL3	0.479421727	1.16877885	1.285634778	0
ACAD11	0.079636036	0.275762969	1.79193543	0
MRPS22	0.033961643	0.095225635	1.487443749	0
GFM1	0.26062553	0.976495608	1.905635146	0
MFN1	0.169448165	0.539596686	1.671037473	0
MRPL47	0.31858936	0.836819684	1.393218702	0
NDUFB5	0.247215988	0.532396819	1.106729904	0
DNAJC19	0.388575089	0.821576223	1.080201013	0
PARL	0.298346204	0.388001159	0.379073537	0
OPA1	0.128977701	0.343197383	1.411916896	0
ATP5I	11.46950982	19.15272184	0.739745697	0
LETM1	2.315357467	1.579541962	-0.551728684	0
GRPEL1	1.847317798	2.098946488	0.184233308	0
PPARGC1A	0.001244656	0.001109935	-0.165271588	0
COX18	0.356732481	0.610682832	0.775580705	0
MRPL1	0.01476624	0.067001796	2.181897238	0
MRPS18C	0.30016183	0.694670071	1.210587412	0
CDS1	0.000402046	0.001742451	2.115684726	0
HADH	0.434218459	0.459099051	0.080384392	0
CCDC109B	0.048171411	0.052366986	0.120480393	0
NDUFC1	0.340162986	0.557829958	0.71359925	0
CASP3	0.228367474	0.801192163	1.810791126	0
ACSL1	0.177311492	0.258383286	0.543226703	0
SLC25A4	4.099725979	3.345534982	-0.293290555	0
SDHA	3.402293893	2.806508041	-0.277731575	0
MRPL36	3.181811615	5.487065848	0.786186468	0
NDUFS6	1.638524788	2.206071365	0.429081964	0
NSUN2	1.173729661	1.439212007	0.29417897	0
MRPS30	0.771128515	1.298386915	0.751677143	0
NDUFS4	0.046307879	0.118319971	1.353364016	0
NDUFAF2	0.014442582	0.038800665	1.425752666	0
MRPS36	0.188311459	0.445650197	1.242790947	0
MRPS27	0.294619955	0.320810798	0.122867551	0
PTCD2	0.043095919	0.116216081	1.431186552	0
GFM2	0.180377601	0.470998577	1.384702506	0
COX7C	8.807653615	15.42243571	0.808200995	0
SLC27A6	0.010591276	0.023258148	1.134859805	0
ACSL6	0.000334751	0.000644799	0.945759725	0
UQCRQ	29.95904211	33.20368028	0.148351661	0
VDAC1	4.154829814	5.266901966	0.342165223	0
HSPA9	4.100734314	6.254004459	0.608897973	0
NDUFA2	1.834510511	2.447210017	0.415742747	0
HARS2	1.819323663	2.599730729	0.514959976	0
GRPEL2	0.397103624	1.028786196	1.373355759	0
MRPL22	0.194918257	0.290228227	0.574318615	0
FABP6	0.001471335	0.000644111	-1.191743799	0
SQSTM1	8.599318044	5.830529195	-0.560595421	0
LYRM4	0.072889708	0.088335956	0.277285678	0
FARS2	0.020751361	0.024836179	0.259237255	0
CDKAL1	0.005877106	0.008561483	0.542754781	0
MRPS18B	2.88250576	2.99327001	0.054398933	0
VARS2	2.523253591	2.349870794	-0.102703773	0
BAK1	4.964180197	2.994584655	-0.729199568	0
ITPR3	0.847928734	0.85189715	0.006736248	0
TOMM6	9.710172025	13.0837551	0.430207901	0
MRPS10	0.783716208	1.776347679	1.180510746	0
MRPL2	3.521662075	2.985078349	-0.238487682	0
MRPS18A	1.641874219	1.162690723	-0.49787622	0
MRPL14	1.859060722	1.708220004	-0.1220801	0
SLC29A1	1.408326329	0.886017408	-0.668574717	0
AARS2	1.868482249	1.59141501	-0.231556746	0
GSTA4	0.275623364	0.7678777	1.478178361	0
GCLC	0.032565536	0.100618982	1.627484628	0
MTO1	0.126581531	0.232435967	0.876766408	0
COX7A2	2.407628831	3.309195032	0.458867323	0
BCKDHB	0.014967651	0.028002264	0.903695665	0
RARS2	0.138825615	0.35123329	1.339155798	0
NDUFAF4	0.198876681	0.580793936	1.546152266	0
QRSL1	0.08208458	0.196617179	1.260206238	0
TRMT11	0.020601918	0.077010746	1.902281088	0
ARG1	0.012282568	0.023067251	0.909233849	0
MTRF1L	0.415220537	0.943607383	1.184308906	0
TFB1M	0.053173751	0.102191184	0.942484593	0
SOD2	0.591224801	0.892566407	0.59425272	0
MRPL18	1.701782844	3.122213755	0.875522358	0
PARK2	0.000467897	0.000599245	0.356955158	0
COX19	0.149992796	0.143596875	-0.06286886	0
NDUFA4	2.915465479	6.069151932	1.057768696	0
TOMM7	2.734496764	4.475238493	0.710689213	0
CYCS	2.835700022	7.940812414	1.485581692	0
GARS	4.139073238	5.895778784	0.510374617	0
MRPL32	0.316114074	0.716306327	1.180131415	0
MRPS24	15.47027047	16.03639328	0.051851285	0
PGAM2	0.499699532	1.147623239	1.199516317	0
GCK	0.008541258	0.008226098	-0.054240275	0
OGDH	1.880918201	1.408382295	-0.417398112	0
PPIA	5.009002155	8.787369162	0.810908071	0
MRPS17	0.729662751	1.012397024	0.472473461	0
ASL	3.369278958	2.778464629	-0.278152006	0
MDH2	12.57887696	9.398008832	-0.420576095	0
CD36	0.000421523	0.000405969	-0.054240275	0
MTERF1	0.078596392	0.305488647	1.958583765	0
ATP5J2	3.532402183	3.672596094	0.056150629	0
FIS1	5.979012935	5.407406286	-0.144970574	0
PMPCB	0.552641458	1.02903004	0.896869399	0
DLD	1.255501203	2.716909874	1.113703298	0
IMMP2L	0.00180277	0.005723741	1.66674302	0
NDUFA5	0.095994353	0.428953786	2.159800777	0
NRF1	0.099116109	0.07929869	-0.321822513	0
NDUFB2	0.980632819	1.386390655	0.499548884	0
MRPS33	0.508537143	1.201710766	1.240664646	0
SSBP1	0.273582496	0.505896398	0.886866036	0
SLC25A37	0.404523896	0.568724509	0.491505051	0
BNIP3L	0.16167013	0.419238251	1.374717202	0
GSR	0.63720209	0.526361513	-0.275696995	0
VDAC3	1.571254465	2.629226932	0.742721824	0
MRPL15	0.995628972	1.492826014	0.584365915	0
TMEM70	0.647505978	1.418002217	1.130894371	0
GDAP1	0.005816452	0.019764216	1.764679399	0
PKIA	0.011023856	0.026728343	1.277741484	0
MRPS28	0.040028543	0.072061741	0.848204415	0
FABP5	0.449859767	0.548696825	0.286533881	0
FABP4	0.008510572	0.051911449	2.608724738	0
DECR1	0.263383069	0.631224114	1.260989714	0
UQCRB	1.137364283	4.419737058	1.958266138	0
MTERF3	0.105482	0.275275777	1.383880837	0
COX6C	0.557587023	1.627532855	1.545417777	0
RRM2B	0.107580621	0.382902108	1.831557389	0
SYBU	0.001924564	0.001067196	-0.850706881	0
MRPL13	0.057078315	0.169932714	1.573948973	0
NDUFB9	1.236228298	1.248670047	0.01444711	0
TOP1MT	0.181056254	0.225319392	0.315533471	0
CYC1	51.20694955	33.43374482	-0.615034663	0
AK3	0.324769104	0.764610839	1.235311257	0
NDUFB6	0.303281903	0.561537223	0.888722243	0
SIGMAR1	46.27542216	35.35466449	-0.388345583	0
STOML2	20.46323897	17.27074021	-0.2447046	0
TOMM5	1.833881284	4.181848741	1.189240631	0
FXN	0.083611672	0.089292704	0.094837941	0
ISCA1	0.185209798	0.409065549	1.143171623	0
MRPL50	0.185834438	0.559831735	1.59097539	0
ALAD	1.698956777	2.219295602	0.385452693	0
NDUFA8	0.725192759	1.003258298	0.468256664	0
MRRF	0.120699242	0.187072253	0.632178973	0
DNM1	1.562566572	1.174100404	-0.412361869	0
TRUB2	1.563690594	1.458445274	-0.100523823	0
SLC27A4	3.811584031	2.122811178	-0.844414632	0
ENDOG	10.6585922	6.935379229	-0.61997022	0
CRAT	6.330562149	5.166125747	-0.293250855	0
ASS1	1.92678749	2.950998137	0.615005548	0
SURF1	2.74445458	2.485186132	-0.143165555	0
MRPS2	14.26925102	7.836662283	-0.86459838	0
PMPCA	6.694154624	5.19014279	-0.367127645	0
