gene	value_1	value_2	Protein-HCT116-5-4	p_value
NDUFS2	NA	NA	-0.2159446	NA
PEX14	NA	NA	-0.01334877	NA
TARDBP	NA	NA	-0.04842713	NA
SCP2	NA	NA	0.3581712	NA
TMCO1	NA	NA	0.2783828	NA
GNB1	NA	NA	0.292367	NA
TXNDC12	NA	NA	-0.7151543	NA
ADSS	NA	NA	-0.475418	NA
RNF2	NA	NA	-0.247667	NA
LYPLA2	NA	NA	0.09625855	NA
ZMPSTE24	NA	NA	0.04334458	NA
PLOD1	NA	NA	-0.1586387	NA
S100A6	NA	NA	0.6292867	NA
PSMB2	NA	NA	0.2492632	NA
EXOC8	NA	NA	0.694676	NA
URB2	NA	NA	-0.6485445	NA
KIF1B	NA	NA	-0.1077878	NA
ATP5F1	NA	NA	0.1660727	NA
SF3A3	NA	NA	-0.2520423	NA
PPP1R8	NA	NA	-0.5721149	NA
SEP15	NA	NA	-0.1859172	NA
VANGL1	NA	NA	0.008391351	NA
PPOX	NA	NA	-0.1847689	NA
MTOR	NA	NA	-0.3070194	NA
NTPCR	NA	NA	0.5467698	NA
CHML	NA	NA	-0.1897428	NA
DDI2	NA	NA	-0.7356515	NA
AKT3	NA	NA	2.248822	NA
YBX1	NA	NA	-0.102961	NA
LAMTOR2	NA	NA	0.0585719	NA
GGPS1	NA	NA	0.3147601	NA
TFB2M	NA	NA	-0.3836235	NA
HS2ST1	NA	NA	-0.03330375	NA
CLCC1	NA	NA	0.181675	NA
COA6	NA	NA	-1.281947	NA
LYPLAL1	NA	NA	0.8030617	NA
EFHD2	NA	NA	-0.0835494	NA
KTI12	NA	NA	-0.3157019	NA
S100A16	NA	NA	-1.610609	NA
BROX	NA	NA	0.1667245	NA
UCK2	NA	NA	-0.8204889	NA
CCNL2	NA	NA	-0.5925928	NA
FAF1	NA	NA	-0.02715675	NA
CDK11A	NA	NA	-0.1341276	NA
GLMN	NA	NA	-0.228706	NA
OSBPL9	NA	NA	-0.238919	NA
PRRC2C	NA	NA	-0.2694948	NA
VPS45	NA	NA	0.3477791	NA
HSPB11	NA	NA	0.8492594	NA
DARS2	NA	NA	-0.3646822	NA
RBM15	NA	NA	-0.04217456	NA
TPRG1L	NA	NA	-0.3281787	NA
COX20	NA	NA	0.881031	NA
CTTNBP2NL	NA	NA	-0.1426559	NA
THRAP3	NA	NA	-0.1771801	NA
MRTO4	NA	NA	-0.7102696	NA
DPH2	NA	NA	-0.6699464	NA
SDF4	NA	NA	0.7508638	NA
PTPRF	NA	NA	-0.9226574	NA
IBA57	NA	NA	0.2920084	NA
ARHGAP29	NA	NA	-0.8111181	NA
FAM213B	NA	NA	-0.1827419	NA
CD55	NA	NA	-0.6576216	NA
CHD5	NA	NA	-1.658902	NA
LRRC8C	NA	NA	-0.7312303	NA
NEK7	NA	NA	0.391966	NA
LZIC	NA	NA	-0.1607483	NA
LRRC40	NA	NA	-0.1394424	NA
ZYG11B	NA	NA	-0.1220377	NA
ARHGEF11	NA	NA	-0.1657111	NA
TMEM201	NA	NA	0.1522237	NA
MRPL37	NA	NA	-0.01845031	NA
LEPRE1	NA	NA	0.6655747	NA
SMYD3	NA	NA	0.2051422	NA
ANP32E	NA	NA	-0.2999309	NA
KRTCAP2	NA	NA	0.1874085	NA
SMG5	NA	NA	0.028102	NA
APOA1BP	NA	NA	-0.007253176	NA
TOR1AIP2	NA	NA	0.1290852	NA
AHCTF1	NA	NA	-0.2207823	NA
LRRC47	NA	NA	0.2587168	NA
PRPF38A	NA	NA	0.03506084	NA
WLS	NA	NA	0.03814558	NA
MIER1	NA	NA	-0.2537656	NA
NAV1	NA	NA	-0.3699114	NA
LRRC42	NA	NA	0.07395734	NA
BCAR3	NA	NA	0.476952	NA
NASP	NA	NA	-0.3049139	NA
UTP11L	NA	NA	-0.7135209	NA
RBM34	NA	NA	-0.3358085	NA
EIF2D	NA	NA	-0.4547833	NA
DOCK7	NA	NA	0.1177555	NA
S100A10	NA	NA	0.740539	NA
TPM3	NA	NA	0.06162768	NA
IPO9	NA	NA	-0.3402038	NA
CEP170	NA	NA	0.427177	NA
TP53BP2	NA	NA	0.273352	NA
AK2	NA	NA	-0.3879339	NA
CRABP2	NA	NA	-1.839854	NA
RPS8	NA	NA	-0.2312948	NA
CNN3	NA	NA	0.4917372	NA
HIST2H2AB	NA	NA	-0.1753237	NA
ECE1	NA	NA	0.49774	NA
SMG7	NA	NA	-0.08404938	NA
KDM1A	NA	NA	-0.3140509	NA
WDR47	NA	NA	-0.1166048	NA
PHACTR4	NA	NA	-0.2144223	NA
ALDH4A1	NA	NA	0.7806134	NA
SORT1	NA	NA	0.3349114	NA
SCYL3	NA	NA	-0.01633686	NA
AGL	NA	NA	0.2794373	NA
RPL22	NA	NA	-0.02285462	NA
MAGOH	NA	NA	-0.1254622	NA
UCHL5	NA	NA	-1.008595	NA
PGD	NA	NA	-0.6265898	NA
PGM1	NA	NA	0.1996509	NA
CD46	NA	NA	0.04555954	NA
ZRANB2	NA	NA	0.06350289	NA
CMPK1	NA	NA	-0.1026356	NA
NDUFS5	NA	NA	-0.1554009	NA
SLC2A1	NA	NA	1.475482	NA
AKR1A1	NA	NA	-0.319637	NA
FLAD1	NA	NA	-0.1505702	NA
PRDX6	NA	NA	0.1090262	NA
DDAH1	NA	NA	0.2963804	NA
GNAI3	NA	NA	-0.2013835	NA
PMVK	NA	NA	0.4386963	NA
ENSA	NA	NA	0.1616942	NA
GNG12	NA	NA	-0.4164965	NA
NRD1	NA	NA	0.3482404	NA
MACF1	NA	NA	0.4329594	NA
CAPN2	NA	NA	0.4443491	NA
ZCCHC11	NA	NA	-0.255663	NA
DCAF8	NA	NA	0.4016304	NA
CTPS1	NA	NA	-0.1329101	NA
DNTTIP2	NA	NA	-0.6996258	NA
KIF2C	NA	NA	0.2621071	NA
CCT3	NA	NA	-0.1903577	NA
NUP133	NA	NA	-0.005521651	NA
PSMA5	NA	NA	0.181603	NA
SRM	NA	NA	-0.1479852	NA
EPS15	NA	NA	-0.4069939	NA
LBR	NA	NA	-0.1262472	NA
POMGNT1	NA	NA	0.6541605	NA
TSNAX	NA	NA	-0.1280702	NA
RPAP2	NA	NA	0.2278643	NA
HMGCL	NA	NA	-0.08106177	NA
C1orf35	NA	NA	0.1745343	NA
TMED5	NA	NA	0.1495195	NA
UFC1	NA	NA	-0.5646484	NA
PRCC	NA	NA	0.09289701	NA
SDHB	NA	NA	0.3343394	NA
RABGGTB	NA	NA	0.2617383	NA
COPA	NA	NA	0.2628913	NA
ATAD3B	NA	NA	0.1656998	NA
ATAD3A	NA	NA	-0.1659199	NA
UQCRH	NA	NA	0.03437994	NA
FH	NA	NA	0.2503153	NA
LUZP1	NA	NA	-0.5732737	NA
TMEM57	NA	NA	0.02277792	NA
DDOST	NA	NA	0.06046242	NA
STXBP3	NA	NA	0.02921546	NA
NOTCH2	NA	NA	-0.2387292	NA
LAMC1	NA	NA	0.06212175	NA
PARK7	NA	NA	0.1278974	NA
KIF14	NA	NA	0.9290335	NA
MED8	NA	NA	-0.2943057	NA
RAB3B	NA	NA	0.2177911	NA
CDC73	NA	NA	-0.6771768	NA
CHTOP	NA	NA	0.2254797	NA
UROD	NA	NA	-0.2132745	NA
SLC30A7	NA	NA	-0.2261598	NA
ARID4B	NA	NA	-0.5262858	NA
COA7	NA	NA	-1.4097	NA
NSUN4	NA	NA	-0.5538285	NA
CERS2	NA	NA	0.6115501	NA
AKR7A2	NA	NA	0.1175621	NA
YTHDF2	NA	NA	-0.4652773	NA
MSTO1	NA	NA	0.1775997	NA
SCAMP3	NA	NA	0.4450935	NA
CC2D1B	NA	NA	0.01561325	NA
MRPL9	NA	NA	-0.1499513	NA
SRRM1	NA	NA	-0.3917206	NA
RBBP4	NA	NA	-0.2655565	NA
FAM129A	NA	NA	0.1288213	NA
USP48	NA	NA	-0.1759572	NA
IQGAP3	NA	NA	0.2633422	NA
CHD1L	NA	NA	-0.5703694	NA
STX12	NA	NA	0.2033962	NA
PBXIP1	NA	NA	1.034497	NA
DNAJC11	NA	NA	-0.3343889	NA
TRMT1L	NA	NA	-0.6285861	NA
SLC25A24	NA	NA	0.5111644	NA
PDE4DIP	NA	NA	0.1004395	NA
ZNF326	NA	NA	-0.4290709	NA
ENAH	NA	NA	-0.8399171	NA
FUBP1	NA	NA	0.2573071	NA
ISG15	NA	NA	-0.01544181	NA
PRKACB	NA	NA	-0.9567454	NA
RPL11	NA	NA	-0.1476834	NA
YRDC	NA	NA	-0.7875381	NA
RPRD2	NA	NA	-0.1336379	NA
FUCA1	NA	NA	1.188612	NA
ADAR	NA	NA	-0.07460819	NA
CACYBP	NA	NA	-0.09636748	NA
ZNF687	NA	NA	0.3772274	NA
CAMSAP2	NA	NA	-0.5251434	NA
METTL13	NA	NA	-0.2349746	NA
BPNT1	NA	NA	-0.5111971	NA
SERBP1	NA	NA	-0.4101214	NA
NOC2L	NA	NA	-0.581931	NA
BTF3L4	NA	NA	-0.3698194	NA
WDR26	NA	NA	-0.4239714	NA
INTS3	NA	NA	-0.2914507	NA
MRPL55	NA	NA	0.06685165	NA
PHC2	NA	NA	-0.2214498	NA
ADAM15	NA	NA	-0.3017479	NA
PEX19	NA	NA	-0.2357575	NA
CSRP1	NA	NA	0.2530786	NA
MOV10	NA	NA	0.3176796	NA
PARP1	NA	NA	-0.6038642	NA
HIST2H3PS2	NA	NA	-0.16952	NA
MIA3	NA	NA	0.199721	NA
CROCC	NA	NA	-0.285829	NA
HECTD3	NA	NA	0.2073932	NA
NIT1	NA	NA	-0.8451254	NA
SRSF11	NA	NA	-0.2540657	NA
RCC2	NA	NA	-1.586808	NA
ENO1	NA	NA	0.2001897	NA
CCBL2	NA	NA	-0.1915497	NA
KIRREL	NA	NA	0.1862262	NA
PYCR2	NA	NA	-1.551137	NA
CYB5R1	NA	NA	0.7138151	NA
TXLNA	NA	NA	-0.21578	NA
CSDE1	NA	NA	-0.3624798	NA
WASF2	NA	NA	-0.04410025	NA
KIAA0319L	NA	NA	0.0639207	NA
GPR89A	NA	NA	0.4340276	NA
GPR89B	NA	NA	0.4340276	NA
ZMYM4	NA	NA	-0.06301722	NA
RBBP5	NA	NA	-0.2780237	NA
SRGAP2	NA	NA	0.7419199	NA
HNRNPU	NA	NA	-0.1347863	NA
ALDH9A1	NA	NA	0.1292171	NA
TRMT13	NA	NA	-0.2977074	NA
STMN1	NA	NA	0.6031856	NA
RAB4A	NA	NA	-0.1382755	NA
MRPL24	NA	NA	0.03079903	NA
SARS	NA	NA	-0.2111306	NA
UBAP2L	NA	NA	-0.3925536	NA
KIFAP3	NA	NA	0.1047392	NA
VAMP3	NA	NA	0.7333488	NA
NCDN	NA	NA	-0.2821405	NA
STRIP1	NA	NA	0.1351038	NA
MRPS15	NA	NA	-0.2609296	NA
ARPC5	NA	NA	0.196733	NA
CDC42BPA	NA	NA	0.4603756	NA
TAGLN2	NA	NA	0.2757038	NA
NUDC	NA	NA	-0.1637197	NA
GALE	NA	NA	0.3380457	NA
RAB3GAP2	NA	NA	-0.2522388	NA
PSMB4	NA	NA	0.2139279	NA
H6PD	NA	NA	0.07512733	NA
CRTC2	NA	NA	-0.1567592	NA
SNX27	NA	NA	-0.1991229	NA
MARCKSL1	NA	NA	-0.7981477	NA
RNPEP	NA	NA	0.7523204	NA
HP1BP3	NA	NA	0.2112495	NA
CAPZB	NA	NA	0.1920679	NA
MFN2	NA	NA	0.2498749	NA
EMC1	NA	NA	-0.606663	NA
ARID1A	NA	NA	-0.2851962	NA
SRP9	NA	NA	0.1585955	NA
ERI3	NA	NA	-0.1660318	NA
EIF4G3	NA	NA	0.0503039	NA
UBR4	NA	NA	0.1863738	NA
MAP7D1	NA	NA	-0.5732471	NA
TPR	NA	NA	0.07587489	NA
MTR	NA	NA	-0.05558585	NA
AK5	NA	NA	0.1685137	NA
SOAT1	NA	NA	-1.139417	NA
TIPRL	NA	NA	0.324465	NA
EBNA1BP2	NA	NA	0.4156243	NA
ATP1B1	NA	NA	2.161261	NA
GPATCH4	NA	NA	-1.340733	NA
C1orf174	NA	NA	-0.4718038	NA
DHX9	NA	NA	-0.1344994	NA
MYCBP	NA	NA	-0.6441943	NA
USP24	NA	NA	0.01435528	NA
FDPS	NA	NA	-0.1236037	NA
LAMTOR5	NA	NA	-0.1271451	NA
SNRNP40	NA	NA	-0.5261196	NA
RHOB	NA	NA	-0.5968082	NA
CASP8	NA	NA	0.2010065	NA
ZC3H15	NA	NA	-0.5138873	NA
PNKD	NA	NA	-0.8168391	NA
EML4	NA	NA	-1.409853	NA
HTRA2	NA	NA	-0.5575395	NA
SRSF7	NA	NA	-0.116645	NA
MAP2	NA	NA	-0.8703609	NA
BCS1L	NA	NA	0.1860874	NA
STK39	NA	NA	-0.6046959	NA
RALB	NA	NA	0.06200797	NA
DGUOK	NA	NA	0.291663	NA
SH3BP4	NA	NA	0.8608043	NA
ACTR2	NA	NA	-0.09039427	NA
ARPC2	NA	NA	-0.0688616	NA
PSME4	NA	NA	-0.2353991	NA
SPTBN1	NA	NA	0.6679646	NA
RAB1A	NA	NA	0.2088002	NA
LANCL1	NA	NA	0.4693651	NA
EIF2B4	NA	NA	-0.1990235	NA
ILKAP	NA	NA	-0.06664865	NA
PPM1G	NA	NA	-0.3829806	NA
PPIG	NA	NA	-0.3141226	NA
NOP58	NA	NA	-0.523033	NA
MAP4K4	NA	NA	-0.5634475	NA
ATL2	NA	NA	0.09612688	NA
TUBA4A	NA	NA	0.07283856	NA
CPSF3	NA	NA	-0.219694	NA
STAMBP	NA	NA	-0.565503	NA
SLC39A10	NA	NA	0.2795307	NA
CIAO1	NA	NA	-0.3437141	NA
SSB	NA	NA	-0.6160586	NA
COPS7B	NA	NA	0.03745244	NA
COPS8	NA	NA	0.121546	NA
CTDSP1	NA	NA	0.65908	NA
MRPL44	NA	NA	-0.2229696	NA
SERPINE2	NA	NA	1.106433	NA
MAT2A	NA	NA	-0.2046736	NA
DBI	NA	NA	0.4407085	NA
CYP20A1	NA	NA	0.8455905	NA
AGPS	NA	NA	-0.5850419	NA
CPS1	NA	NA	-0.898007	NA
RRM2	NA	NA	0.5590512	NA
MTHFD2	NA	NA	-0.2770444	NA
SP100	NA	NA	0.2000009	NA
MPHOSPH10	NA	NA	-0.6588568	NA
MLPH	NA	NA	0.9795864	NA
ORC2	NA	NA	-0.6898668	NA
RPS7	NA	NA	-0.3735889	NA
FASTKD2	NA	NA	-0.4963256	NA
SMYD5	NA	NA	-0.3574027	NA
DTYMK	NA	NA	0.1468351	NA
SEPT2	NA	NA	0.2842772	NA
CNOT11	NA	NA	-0.350744	NA
SNX17	NA	NA	-0.3283108	NA
RAB3GAP1	NA	NA	-0.151889	NA
CUL3	NA	NA	-0.0820549	NA
STRN	NA	NA	0.3892364	NA
AAMP	NA	NA	-0.6276719	NA
PDE6D	NA	NA	0.1449823	NA
GPC1	NA	NA	0.5756995	NA
DNPEP	NA	NA	0.5041049	NA
PXDN	NA	NA	0.1668082	NA
NOL10	NA	NA	-0.6857067	NA
RAB10	NA	NA	0.1168971	NA
SNRPG	NA	NA	-0.3907652	NA
PCBP1	NA	NA	-0.05910406	NA
MSH2	NA	NA	-0.2697097	NA
SPR	NA	NA	-0.1054888	NA
MAPRE3	NA	NA	0.5700742	NA
GPD2	NA	NA	-0.01658501	NA
YWHAQ	NA	NA	-0.04486575	NA
CCT7	NA	NA	-0.05492092	NA
TSN	NA	NA	-0.07580891	NA
STEAP3	NA	NA	-0.2268307	NA
EIF2AK2	NA	NA	0.1609202	NA
IRS1	NA	NA	-0.7662346	NA
TSSC1	NA	NA	-0.2596336	NA
PKP4	NA	NA	0.9417146	NA
PRKRA	NA	NA	0.3370956	NA
EHD3	NA	NA	0.359971	NA
RTN4	NA	NA	0.2352415	NA
COX5B	NA	NA	0.4281932	NA
RAB11FIP5	NA	NA	1.154778	NA
ASAP2	NA	NA	1.689909	NA
PUM2	NA	NA	-0.5647843	NA
HDLBP	NA	NA	0.2644764	NA
APOB	NA	NA	-0.1697735	NA
TXNDC9	NA	NA	-0.3847532	NA
FN1	NA	NA	0.944635	NA
COX7A2L	NA	NA	0.2404974	NA
HADHB	NA	NA	0.3174317	NA
SLC20A1	NA	NA	1.817419	NA
CRIPT	NA	NA	-0.1188508	NA
RQCD1	NA	NA	-0.386808	NA
TTN	NA	NA	0.06639916	NA
LGALSL	NA	NA	-0.08354475	NA
WDFY1	NA	NA	0.1601362	NA
UGGT1	NA	NA	-0.1406532	NA
PNO1	NA	NA	-0.5096969	NA
HAT1	NA	NA	0.005372859	NA
MFF	NA	NA	0.2653127	NA
PSMD14	NA	NA	0.1227389	NA
MTX2	NA	NA	0.1473066	NA
SF3B1	NA	NA	-0.1534145	NA
RPIA	NA	NA	-1.484671	NA
PPM1B	NA	NA	0.004033884	NA
GPN1	NA	NA	-0.4062448	NA
MRPL19	NA	NA	-0.1830028	NA
INPP1	NA	NA	0.4432568	NA
IDH1	NA	NA	0.1962293	NA
SP140L	NA	NA	-0.2205475	NA
CREB1	NA	NA	0.04658527	NA
ACTR3	NA	NA	-0.1974676	NA
DPY30	NA	NA	-0.0138914	NA
KIAA1715	NA	NA	0.2955209	NA
NDUFA10	NA	NA	-0.2797741	NA
MLTK	NA	NA	-0.7928891	NA
STAT1	NA	NA	1.506268	NA
YIPF4	NA	NA	0.1820261	NA
ACSL3	NA	NA	0.3802861	NA
MCM6	NA	NA	0.40758	NA
HADHA	NA	NA	0.3316363	NA
PDCL3	NA	NA	0.01521204	NA
POLR1A	NA	NA	-0.4228298	NA
NCKAP1	NA	NA	0.1178281	NA
TRIP12	NA	NA	-0.07154253	NA
MEMO1	NA	NA	0.0640551	NA
PPIL3	NA	NA	0.4736311	NA
CAB39	NA	NA	-0.3346303	NA
SF3B14	NA	NA	-0.1549716	NA
PREB	NA	NA	0.07914801	NA
PPP1R7	NA	NA	0.1747899	NA
ANAPC1	NA	NA	0.03703076	NA
FMNL2	NA	NA	0.7100929	NA
GALM	NA	NA	0.1128887	NA
MRPL53	NA	NA	-0.4802535	NA
ABCB6	NA	NA	0.6894652	NA
ZNF512	NA	NA	-0.5503594	NA
CHMP3	NA	NA	-0.3174796	NA
SCLY	NA	NA	-0.0295627	NA
GMPPA	NA	NA	0.4571349	NA
HK2	NA	NA	-0.5086702	NA
SPATS2L	NA	NA	0.3033423	NA
GEMIN6	NA	NA	-0.1426603	NA
HNRNPLL	NA	NA	-0.05596238	NA
WDR33	NA	NA	-0.1650138	NA
BRE	NA	NA	0.05133953	NA
NIFK	NA	NA	-0.5381864	NA
CCDC93	NA	NA	0.1115519	NA
NFU1	NA	NA	0.4016304	NA
C2orf69	NA	NA	-0.3205065	NA
CNNM3	NA	NA	-0.07647819	NA
DHX57	NA	NA	0.01521204	NA
MRPS5	NA	NA	-0.1854828	NA
SRBD1	NA	NA	-0.4823039	NA
TANC1	NA	NA	-0.1675763	NA
FAM98A	NA	NA	0.4738314	NA
CWC22	NA	NA	-0.2736396	NA
RDH14	NA	NA	-0.395549	NA
EEF1B2	NA	NA	-0.3931598	NA
IMP4	NA	NA	-0.6331882	NA
TTC27	NA	NA	0.03996594	NA
BIN1	NA	NA	0.4708232	NA
GLS	NA	NA	0.2010065	NA
ITGA6	NA	NA	-0.06419611	NA
DYNC1I2	NA	NA	0.3554674	NA
RBM45	NA	NA	-0.2780451	NA
DARS	NA	NA	-0.3353897	NA
MAP4K3	NA	NA	-0.6698575	NA
WDR75	NA	NA	-0.717515	NA
TPRKB	NA	NA	-0.5514734	NA
GFPT1	NA	NA	-0.1254155	NA
LMAN2L	NA	NA	0.7201909	NA
ACP1	NA	NA	-0.2491948	NA
NDUFB3	NA	NA	-0.2177406	NA
DNAJB2	NA	NA	0.6557094	NA
HSPE1	NA	NA	0.06789575	NA
TMSB10	NA	NA	0.317782	NA
XRCC5	NA	NA	-0.2820528	NA
RANBP2	NA	NA	-0.03163642	NA
ATIC	NA	NA	-0.4736307	NA
OLA1	NA	NA	-0.1057992	NA
STAM2	NA	NA	0.2953082	NA
C2orf47	NA	NA	-0.2511831	NA
DNAJC10	NA	NA	-0.1138479	NA
DDX1	NA	NA	0.8189179	NA
RIF1	NA	NA	-0.1109003	NA
UBXN4	NA	NA	0.3190551	NA
RETSAT	NA	NA	0.4294285	NA
IWS1	NA	NA	-0.2297815	NA
NAGK	NA	NA	0.5464624	NA
USP34	NA	NA	-0.1712224	NA
XPO1	NA	NA	0.06865028	NA
TANK	NA	NA	-0.6684129	NA
EIF5B	NA	NA	-0.4723887	NA
NCAPH	NA	NA	0.5533317	NA
PDIA6	NA	NA	-0.02121497	NA
ABI2	NA	NA	0.2505484	NA
PSMD1	NA	NA	0.1811662	NA
BIRC6	NA	NA	0.04907312	NA
FARSB	NA	NA	-0.2735988	NA
CAD	NA	NA	0.02067772	NA
DDX18	NA	NA	-0.9532044	NA
CCT4	NA	NA	-0.1237469	NA
SUMO1	NA	NA	-0.3067517	NA
FAM136A	NA	NA	-1.083569	NA
WDR12	NA	NA	-0.681284	NA
AGFG1	NA	NA	-0.168975	NA
KCMF1	NA	NA	0.2171693	NA
CEBPZ	NA	NA	-0.5503382	NA
ROCK2	NA	NA	0.7731113	NA
MOGS	NA	NA	-0.6829143	NA
MCFD2	NA	NA	4.922626	NA
HS1BP3	NA	NA	0.09526915	NA
UGP2	NA	NA	0.229257	NA
NUP35	NA	NA	0.4922121	NA
