gene	Protein-HCT116-5-4	Protein-RPE-1-21-3	Protein-RPE-1-5-3-12-3
RASAL2	0.9191494	-0.249506	-0.07231154
YARS	-0.6429548	-0.062398	-0.01934605
PPIH	-0.1647668	-0.4292143	-0.03435652
AMPD2	0.3646011	0.5525372	0.05749685
AGO1	0.253074	0.1567076	0.5205394
KHDRBS1	-0.3743555	-0.3543393	-0.1545833
DR1	-0.1757454	-0.1955996	-0.02219018
MAN1A2	0.2159121	0.02690659	NaN
DUSP12	0.4646161	-0.1319846	0.3258828
ACBD3	0.97629	0.1965745	-0.02417774
PPIE	-0.5191423	0.2049645	0.09572779
TMEM9	0.2616287	0.08937467	0.5620692
EXOSC10	-0.4366662	-0.5398287	-0.07669591
WDR3	-0.7567452	-0.2649567	-0.04600209
NMNAT1	0.2051422	-0.1853592	-0.145221
EPHX1	1.914794	0.8569723	0.3964224
GCLM	0.5964581	0.4783663	0.5628575
GLUL	0.1629835	-1.13888	-0.7594967
ELOVL1	0.1784872	-0.08868445	0.08598667
TRIM33	-0.3367707	0.09254005	-0.1761951
SH3BGRL3	1.033863	0.2737443	0.3857331
ACOT7	0.8841681	0.1265017	-0.03562387
HAX1	-0.0269693	-0.07286044	-0.1624678
SFPQ	-0.0559062	-0.5390346	-0.2601462
NES	-0.2501214	0.3339082	-0.7657139
LGALS8	0.6112669	-0.673466	-0.6948357
DFFA	-0.9508553	-0.5162687	NaN
PHGDH	0.3379965	0.2556839	1.025764
RTCA	-0.1045113	0.2805975	0.3314451
HSD17B7	-0.2311424	0.07950855	0.3292685
C1orf50	0.3309465	0.4377796	-0.1636275
WDR77	-0.4249975	-0.04739888	-0.08542462
ATP2B4	-0.1732863	0.5328875	-0.01278327
PABPC4	-0.3900371	-0.1589833	0.09832016
EIF3I	0.1265764	-0.09031142	0.07322632
CPT2	-0.2580489	-0.03773358	0.1939977
EPRS	-0.1794983	0.02486878	0.2888399
MTX1	0.1887488	-0.2558028	0.1368386
MRPL20	-0.2010517	-0.3217924	0.4217858
HDAC1	-0.2643738	-0.6983073	-0.6082416
SFN	-0.04376486	-0.1243282	-0.1081408
S100A11	0.626112	0.7751694	0.1630417
STX6	0.0563729	NaN	NaN
RPA2	0.2482048	-0.6773505	0.03283136
FHL3	-0.3257382	0.02841045	0.04051181
MRPS21	-0.08381383	-1.361319	-0.3048614
PEA15	0.3059121	0.4097189	0.1834905
PPP2R5A	0.6812243	0.08556378	0.6931087
CKS1B	-0.4666958	-0.9395275	-0.1012467
PITHD1	0.372725	0.3945056	0.4193335
FNBP1L	0.4049264	0.6488693	-0.005040578
GNL2	-0.2248904	-0.6789733	0.1188365
ADPRHL2	0.1902988	0.2202444	0.00749254
S100A13	0.2456257	0.1420828	-0.006333989
RAB13	0.5489298	0.4879045	0.4197001
AK4	0.08596148	0.8341588	-0.5466599
C1orf123	-0.04269458	0.02980889	0.3179661
DHCR24	-0.07448667	-0.1733832	0.2403158
CDC42	0.378328	0.09207866	0.0608938
SDHC	0.4255182	-0.5553253	0.3073891
IARS2	-0.151939	0.3458028	0.4705088
SF3B4	-0.3405686	-0.1515991	0.4845904
BSDC1	0.2190084	-0.1644001	-0.3666998
PRPF38B	-0.3656219	-0.3366262	-0.3026407
DAP3	-0.1752706	-0.3384529	0.269373
NECAP2	0.20989	0.3048614	0.1573349
PEF1	-0.05806737	0.1228841	0.04972577
SETDB1	-0.3111557	-0.5001901	-0.3184614
SNAPIN	-0.02421675	0.2299068	0.3715156
TBCE	0.2072682	0.009350086	-0.1199536
TCEB3	0.0752882	-0.8745216	-0.5687131
TARS2	-0.06405751	-0.5631581	0.3906998
PANK4	0.1330371	0.07055747	0.2016923
RAP1A	-0.04768132	NaN	NaN
TROVE2	-0.2085587	-0.2231753	-0.2149951
ACTN2	0.05240351	NaN	NaN
PTP4A2	0.7946831	-0.1570438	-0.9088926
HDGF	-0.4960603	-0.3709454	-0.1110313
EPHA2	0.1595	0.3382504	-0.1790014
EPHB2	0.1280294	0.03325948	0.5066397
SHC1	0.4598512	0.04101622	0.4180993
LMNA	0.6525977	0.002873889	0.01055576
GBA	0.1000357	0.9772416	0.9056287
PEX11B	0.4668179	0.444498	NaN
NCSTN	-0.2098619	0.3517002	0.3593606
NUCKS1	-0.04810854	-0.7551441	-0.1118327
PIP5K1A	-0.1521588	0.02607288	0.1033363
LPGAT1	0.4567153	NaN	NaN
BCL10	0.4390089	0.1319296	0.142417
PIGK	0.1940871	0.0232552	-0.5864045
MPZL1	0.6849887	-0.01948846	-0.4788165
PSMD4	-0.04320817	0.006202445	0.1323723
GTF2B	-0.6504309	-0.09369545	0.2396853
SYF2	0.05547326	-0.6649379	-0.2704692
UBE2T	-0.09750518	-0.8414096	-0.4635838
SSU72	-0.4386983	-0.3292959	-0.3984599
RABIF	0.06915226	NaN	0.3922507
PPCS	-0.1432043	0.5617071	0.3817049
MGST3	0.2333167	1.152324	1.039044
HEATR1	-0.7785559	-0.3651326	0.1057992
HSPG2	-0.55127	-0.6911768	-1.673963
UBQLN4	-0.2231549	NaN	-0.08465541
SLC16A1	-0.1994376	-0.03365201	0.02039895
OTUD7B	-0.1391136	-0.09100424	-0.3155663
BCAS2	-0.05615255	-0.4933399	-0.3090596
NDUFS2	-0.2159446	-1.375123	0.1508014
PEX14	-0.01334877	0.121769	0.1301602
TARDBP	-0.04842713	-0.4764335	-0.2697514
SCP2	0.3581712	0.3023685	0.2091947
TMCO1	0.2783828	0.8554054	0.6917323
GNB1	0.292367	0.3300661	0.1171613
TXNDC12	-0.7151543	-0.1672294	-0.004465468
ADSS	-0.475418	-0.3650205	-0.2782227
RNF2	-0.247667	-0.5625818	0.03714743
LYPLA2	0.09625855	0.5950097	0.4827142
ZMPSTE24	0.04334458	0.00641991	0.192612
PLOD1	-0.1586387	-0.07066411	-0.4204015
S100A6	0.6292867	0.2343295	0.2033192
PSMB2	0.2492632	0.009698621	0.2047983
EXOC8	0.694676	0.3113094	0.1809041
URB2	-0.6485445	-0.6012082	0.5161197
KIF1B	-0.1077878	0.07874646	-0.1127668
ATP5F1	0.1660727	0.09920075	0.2434037
SF3A3	-0.2520423	-0.5555217	-0.30381
PPP1R8	-0.5721149	-0.5440896	-0.3506104
SEP15	-0.1859172	-0.4333867	-0.2701102
VANGL1	0.008391351	-0.08229377	-0.3467525
PPOX	-0.1847689	-0.2607483	-0.04376442
MTOR	-0.3070194	0.01442662	0.1703453
NTPCR	0.5467698	0.2127514	0.5300516
CHML	-0.1897428	0.276293	0.03178398
DDI2	-0.7356515	-0.1035311	-0.3432373
AKT3	2.248822	-0.0877344	-0.2973675
YBX1	-0.102961	-0.4617381	-0.2430598
LAMTOR2	0.0585719	0.8027889	0.3530816
GGPS1	0.3147601	0.2463441	0.2492392
TFB2M	-0.3836235	-0.1889072	0.3565502
HS2ST1	-0.03330375	0.1191343	0.2255481
CLCC1	0.181675	-0.01049341	-0.2026371
COA6	-1.281947	-0.2103733	0.005362244
LYPLAL1	0.8030617	0.6020991	NaN
EFHD2	-0.0835494	-0.09234279	0.000447258
KTI12	-0.3157019	0.1156758	-0.7705331
S100A16	-1.610609	0.08260646	-0.03153631
BROX	0.1667245	-0.5295711	-0.4516463
UCK2	-0.8204889	-0.1538566	0.005517401
CCNL2	-0.5925928	-0.246866	0.3608018
FAF1	-0.02715675	-0.4220177	-0.3542265
CDK11A	-0.1341276	-0.4184599	-0.03337011
GLMN	-0.228706	-0.2378085	0.2315827
OSBPL9	-0.238919	-0.5322671	-0.2798873
PRRC2C	-0.2694948	-0.1443075	-0.1058122
VPS45	0.3477791	-0.1392075	-0.03801474
HSPB11	0.8492594	-0.1578198	0.02466338
DARS2	-0.3646822	-0.4556494	-0.6226493
RBM15	-0.04217456	-0.1923205	-0.2237932
TPRG1L	-0.3281787	0.3463778	0.5909187
COX20	0.881031	0.07084535	-0.2179751
CTTNBP2NL	-0.1426559	-0.05450115	-0.3499314
THRAP3	-0.1771801	-0.442227	-0.3423272
MRTO4	-0.7102696	-0.74028	0.1102461
DPH2	-0.6699464	-0.1507889	-0.07313479
SDF4	0.7508638	-0.4615285	-0.4675925
PTPRF	-0.9226574	0.3468482	-0.0368456
IBA57	0.2920084	-0.09990112	0.4092557
ARHGAP29	-0.8111181	-0.0270125	0.4496115
FAM213B	-0.1827419	NaN	NaN
CD55	-0.6576216	-0.1514692	-0.4277918
CHD5	-1.658902	NaN	NaN
LRRC8C	-0.7312303	-0.3024068	0.1161759
NEK7	0.391966	-0.06584799	-0.60046
LZIC	-0.1607483	-0.2822619	-0.2321696
LRRC40	-0.1394424	-0.2190911	-0.2599051
ZYG11B	-0.1220377	-0.1531974	-0.6047603
ARHGEF11	-0.1657111	0.1356653	0.1199649
TMEM201	0.1522237	-0.5358685	0.1862783
MRPL37	-0.01845031	-0.1176951	0.4723291
LEPRE1	0.6655747	-0.09922788	-0.5710457
SMYD3	0.2051422	0.2028874	-0.06143054
ANP32E	-0.2999309	-0.8066127	-0.7950188
KRTCAP2	0.1874085	0.165483	-0.04353195
SMG5	0.028102	-0.1891971	-0.02275843
APOA1BP	-0.007253176	0.5682166	0.3451245
TOR1AIP2	0.1290852	-0.04138312	-0.3320491
AHCTF1	-0.2207823	-0.4680098	-0.5586595
LRRC47	0.2587168	0.1820821	0.1801194
PRPF38A	0.03506084	-0.5868693	-0.1363226
WLS	0.03814558	-0.1801716	0.321279
MIER1	-0.2537656	-0.1801716	0.321279
NAV1	-0.3699114	-0.3689359	-0.1979911
LRRC42	0.07395734	NaN	-0.2579761
BCAR3	0.476952	0.4967123	0.003582247
NASP	-0.3049139	-1.026942	-0.4731116
UTP11L	-0.7135209	-0.486148	0.02685165
RBM34	-0.3358085	NaN	0.3453983
EIF2D	-0.4547833	-0.1839628	-0.5506052
DOCK7	0.1177555	0.1238426	0.04636967
S100A10	0.740539	0.5926799	0.5387439
TPM3	0.06162768	-0.07614863	-0.2804812
IPO9	-0.3402038	-0.3053285	-0.1149001
CEP170	0.427177	-0.1106305	0.1388069
TP53BP2	0.273352	NaN	0.2286214
AMPD2	0.3646011	NaN	-0.1422826
AK2	-0.3879339	-0.1567849	0.617211
CRABP2	-1.839854	-0.3312467	0.2845283
RPS8	-0.2312948	-0.3652446	-0.1527676
CNN3	0.4917372	0.05727157	-0.08976938
HIST2H2AB	-0.1753237	-1.024603	-0.8624316
ECE1	0.49774	-0.8789215	-0.2032637
LMNA	0.6525977	-0.1962293	-0.09734115
SMG7	-0.08404938	-0.07377799	0.02983531
KDM1A	-0.3140509	-0.6704777	-0.4066456
WDR47	-0.1166048	NaN	0.2453006
PHACTR4	-0.2144223	0.1115549	0.7800416
ALDH4A1	0.7806134	-0.007518904	-0.147958
SORT1	0.3349114	-0.2490205	-0.3333088
SCYL3	-0.01633686	0.2685039	NaN
TPM3	0.06162768	0.1518909	0.1246131
AGL	0.2794373	0.5793397	0.2317692
RPL22	-0.02285462	-0.418352	-0.1515991
MAGOH	-0.1254622	-0.4313555	-0.05880137
UCHL5	-1.008595	-0.337654	-0.2819059
PGD	-0.6265898	0.5034047	0.1410324
PGM1	0.1996509	0.2422087	0.06133032
CD46	0.04555954	0.6537352	0.4970142
ZRANB2	0.06350289	-0.1629835	-0.1086248
CMPK1	-0.1026356	0.2142068	0.03630393
NDUFS5	-0.1554009	-2.918233	-0.246104
SLC2A1	1.475482	0.2180612	-0.3416442
AKR1A1	-0.319637	0.7131898	0.284212
FLAD1	-0.1505702	0.2154792	0.1203414
PRDX6	0.1090262	0.7172874	0.8029147
DDAH1	0.2963804	0.4951864	0.378513
GNAI3	-0.2013835	0.1877728	-0.03660875
PMVK	0.4386963	-0.07628534	-0.6296597
ENSA	0.1616942	-0.2609891	-0.1007085
GNG12	-0.4164965	0.3513689	0.03280194
NRD1	0.3482404	-0.2397646	-0.009633886
MACF1	0.4329594	0.2767822	-0.03801474
CAPN2	0.4443491	0.3402947	0.2943847
ZCCHC11	-0.255663	NaN	NaN
DCAF8	0.4016304	0.189269	0.325214
CTPS1	-0.1329101	-0.02941748	-0.2204538
DNTTIP2	-0.6996258	-0.3922075	0.06114966
KIF2C	0.2621071	NaN	0.2213287
CCT3	-0.1903577	-0.1873877	0.07007278
NUP133	-0.005521651	-0.429857	-0.2136273
PSMA5	0.181603	-0.0102069	0.1115703
SRM	-0.1479852	-0.001297849	0.2390211
EPS15	-0.4069939	-0.9945797	0.02783683
LBR	-0.1262472	-0.6418234	-0.5220557
POMGNT1	0.6541605	0.02482466	NaN
TSNAX	-0.1280702	-0.07915615	0.101041
RPAP2	0.2278643	NaN	NaN
HMGCL	-0.08106177	0.2843525	NaN
C1orf35	0.1745343	-0.3642362	NaN
TMED5	0.1495195	0.100747	-0.03562387
UFC1	-0.5646484	-0.03167747	-0.1228714
PRCC	0.09289701	NaN	NaN
SDHB	0.3343394	-0.7088494	0.2616559
RABGGTB	0.2617383	-0.2239167	0.005116173
COPA	0.2628913	-0.04152331	-0.0836559
ATAD3B	0.1656998	-0.1027253	0.08097265
ATAD3A	-0.1659199	-0.1027253	0.08097265
UQCRH	0.03437994	0.3312092	0.4420263
FH	0.2503153	-0.1593708	0.03942898
LUZP1	-0.5732737	-0.3498182	-0.3525326
TMEM57	0.02277792	NaN	NaN
DDOST	0.06046242	-0.1351407	0.004985922
STXBP3	0.02921546	0.1790899	0.2301945
NOTCH2	-0.2387292	1.44E-05	0.2905506
LAMC1	0.06212175	-0.2215678	-0.1237986
PARK7	0.1278974	0.058533	0.01643902
KIF14	0.9290335	0.6311188	-0.1988712
MED8	-0.2943057	NaN	NaN
RAB3B	0.2177911	0.02988268	-0.257252
CDC73	-0.6771768	-0.5261689	-0.4708231
CHTOP	0.2254797	-0.460061	-0.4257815
UROD	-0.2132745	0.1785184	0.1491365
SLC30A7	-0.2261598	0.1057215	0.6385909
ARID4B	-0.5262858	-0.693944	-0.3677065
COA7	-1.4097	-0.175301	0.3204501
NSUN4	-0.5538285	-0.09301915	NaN
CERS2	0.6115501	-0.1339581	0.1524038
AKR7A2	0.1175621	0.5019534	0.2049314
YTHDF2	-0.4652773	-0.4229865	-0.1245928
MSTO1	0.1775997	-0.1871343	-0.220206
SCAMP3	0.4450935	0.3206303	0.5136873
CC2D1B	0.01561325	-0.381824	2.065099
MRPL9	-0.1499513	-0.3200802	-0.01392671
SRRM1	-0.3917206	-0.4331732	-0.1142337
RBBP4	-0.2655565	-0.5594429	-0.199374
FAM129A	0.1288213	2.198461	2.470889
USP48	-0.1759572	-0.5840003	-0.3711686
IQGAP3	0.2633422	-0.7811499	-0.7407981
CHD1L	-0.5703694	-0.4557547	-0.7634966
STX12	0.2033962	0.2684866	0.3958338
PBXIP1	1.034497	0.6715313	0.2392085
DNAJC11	-0.3343889	0.2241994	0.08017945
TRMT1L	-0.6285861	-0.3768459	NaN
SLC25A24	0.5111644	0.189121	0.3046297
PDE4DIP	0.1004395	-0.02375212	-0.01678161
ZNF326	-0.4290709	-0.3851549	-0.1512094
ENAH	-0.8399171	0.4810821	-0.283092
FUBP1	0.2573071	-0.74028	-0.4284641
ISG15	-0.01544181	0.8240528	NaN
PRKACB	-0.9567454	0.2634904	-0.07696954
RPL11	-0.1476834	-0.2944296	-0.06791405
YRDC	-0.7875381	-0.9728411	NaN
RPRD2	-0.1336379	-0.533065	-0.309409
FUCA1	1.188612	0.6604064	0.04359638
ADAR	-0.07460819	-0.3319345	-0.2447653
ACOT7	0.8841681	-0.1668439	-0.5734715
CACYBP	-0.09636748	-0.4781953	-0.3148704
ZNF687	0.3772274	NaN	NaN
RABGAP1L	0.4922242	0.4011774	-0.117163
CAMSAP2	-0.5251434	-0.08569663	-0.04208399
METTL13	-0.2349746	-0.03167747	-0.3682654
BPNT1	-0.5111971	0.5887907	0.5018922
SERBP1	-0.4101214	-0.5357544	-0.1382313
NOC2L	-0.581931	-0.2006298	0.07328712
BTF3L4	-0.3698194	-0.05172011	0.05107034
WDR26	-0.4239714	-0.03266511	0.009756703
INTS3	-0.2914507	-0.1717192	-0.1744064
MRPL55	0.06685165	0.4107351	0.2077944
PHC2	-0.2214498	-1.298248	-0.3582821
ADAM15	-0.3017479	-0.1549012	NaN
MACF1	0.4329594	-0.427177	-0.8228526
PEX19	-0.2357575	0.3959478	0.3022263
CSRP1	0.2530786	0.3280546	-0.6480052
MOV10	0.3176796	-0.3151025	-0.5625721
PARP1	-0.6038642	-0.7185259	-0.5246655
HIST2H3PS2	-0.16952	-1.200065	-0.7803941
MIA3	0.199721	-0.2395203	-0.2452522
CROCC	-0.285829	0.2941901	-0.2791092
HECTD3	0.2073932	-0.04907315	-0.01735181
NIT1	-0.8451254	0.5175648	0.3328509
SRSF11	-0.2540657	-0.2110122	-0.2848694
RCC2	-1.586808	-0.7092023	-0.7471726
ENO1	0.2001897	0.04005188	0.2698252
CCBL2	-0.1915497	-0.1138338	-0.2040156
KIRREL	0.1862262	-0.007626139	-0.03998065
SERBP1	-0.4101214	-0.5393325	-0.2715452
PYCR2	-1.551137	-0.006621283	0.3803147
CYB5R1	0.7138151	0.8386411	0.5521141
TXLNA	-0.21578	-0.4151096	-0.5101518
CSDE1	-0.3624798	-0.363115	-0.1901723
WASF2	-0.04410025	0.16592	0.3273121
KIAA0319L	0.0639207	0.2799142	0.1274155
GPR89A	0.4340276	NaN	NaN
GPR89B	0.4340276	NaN	NaN
MIER1	-0.2537656	-0.4334937	-0.7720545
ZMYM4	-0.06301722	-0.6439486	-0.001153691
RBBP5	-0.2780237	NaN	NaN
SRGAP2	0.7419199	-0.188401	-0.05686092
HNRNPU	-0.1347863	-0.6080521	-0.2947824
SCP2	0.3581712	NaN	NaN
HAX1	-0.0269693	NaN	NaN
ALDH9A1	0.1292171	0.39954	-0.0536674
TRMT13	-0.2977074	NaN	NaN
STMN1	0.6031856	-0.6796039	-0.8422145
RAB4A	-0.1382755	0.5793828	0.09123328
MRPL24	0.03079903	-0.02871055	0.398855
SARS	-0.2111306	0.9139772	1.114285
VPS45	0.3477791	-0.2435472	-0.5464624
UBAP2L	-0.3925536	-0.1828194	0.1560483
KIFAP3	0.1047392	-0.4810496	1.976702
VAMP3	0.7333488	0.2442066	0.2805624
NCDN	-0.2821405	-0.2210728	0.2119324
STRIP1	0.1351038	0.114378	-0.4669664
MRPS15	-0.2609296	-1.056792	0.0158118
ARPC5	0.196733	0.1154098	-0.2289726
CDC42BPA	0.4603756	0.2387658	0.4626343
TAGLN2	0.2757038	0.000938032	-0.3672591
NUDC	-0.1637197	-0.2548358	-0.003026455
GALE	0.3380457	0.3077871	0.5642434
RAB3GAP2	-0.2522388	-0.0836559	-0.01863419
PSMB4	0.2139279	-0.006190276	0.2069115
H6PD	0.07512733	NaN	0.01023612
CRTC2	-0.1567592	0.2117988	NaN
SNX27	-0.1991229	-0.07595669	0.1000201
MARCKSL1	-0.7981477	0.1464195	0.1293393
RNPEP	0.7523204	0.122664	-0.2672361
HP1BP3	0.2112495	-0.1269729	-0.1767057
CAPZB	0.1920679	0.1443131	0.06420842
MFN2	0.2498749	0.07985909	0.4713087
EMC1	-0.606663	-0.06336476	0.03883612
ARID1A	-0.2851962	-0.4949787	-0.4473147
SRP9	0.1585955	-0.2740529	-0.03379302
ERI3	-0.1660318	0.6537409	0.1479531
EIF4G3	0.0503039	0.004956957	0.1085964
UBR4	0.1863738	-0.01934605	0.1140665
RNPEP	0.7523204	NaN	NaN
MAP7D1	-0.5732471	0.1990732	-0.002306496
TPR	0.07587489	-0.546166	-0.4717598
MTR	-0.05558585	-0.2043911	-0.2560445
AK5	0.1685137	0.3983416	0.1762669
SOAT1	-1.139417	-0.2376861	-0.1983684
TIPRL	0.324465	-0.09747602	-0.1343523
EBNA1BP2	0.4156243	-0.4486896	0.6644253
ATP1B1	2.161261	0.02741031	-0.4897484
ENO1	0.2001897	-0.1200864	0.02564701
GPATCH4	-1.340733	-0.9748229	-0.476952
NUCKS1	-0.04810854	NaN	NaN
C1orf174	-0.4718038	NaN	NaN
DHX9	-0.1344994	-0.4261037	-0.09680153
FUBP1	0.2573071	NaN	NaN
MYCBP	-0.6441943	-0.0945064	-0.10916
USP24	0.01435528	-0.1783641	-0.2316782
FDPS	-0.1236037	0.1139416	0.04613133
LAMTOR5	-0.1271451	0.5657245	0.5755293
SNRNP40	-0.5261196	-0.4996801	-0.02247436
RHOB	-0.5968082	0.182344	-0.6888518
CASP8	0.2010065	0.06668609	1.352851
ZC3H15	-0.5138873	-0.5362519	-0.03224199
PNKD	-0.8168391	0.8561625	NaN
EML4	-1.409853	-0.08079413	-0.3439194
HTRA2	-0.5575395	0.145733	0.2827546
SRSF7	-0.116645	-0.4493237	-0.2142491
MAP2	-0.8703609	0.4259664	0.06405757
BCS1L	0.1860874	-0.3535491	0.1860157
STK39	-0.6046959	-0.1023223	-0.31823
RALB	0.06200797	0.02949972	0.2367585
DGUOK	0.291663	NaN	NaN
SH3BP4	0.8608043	-0.2726204	-0.5549326
ACTR2	-0.09039427	0.08919054	-0.1329059
ARPC2	-0.0688616	0.1057527	-0.1044708
PSME4	-0.2353991	0.02035503	-0.03280611
SPTBN1	0.6679646	0.1142381	-0.07710633
RAB1A	0.2088002	0.009785742	-0.0150693
LANCL1	0.4693651	0.007115576	-0.09085348
EIF2B4	-0.1990235	0.1277464	0.1598309
ILKAP	-0.06664865	-0.546166	-0.4899538
PPM1G	-0.3829806	-0.5909133	-0.05464011
PPIG	-0.3141226	NaN	NaN
NOP58	-0.523033	-0.4469971	-0.006333989
MAP4K4	-0.5634475	-0.04865463	-0.03548312
ATL2	0.09612688	-0.4686354	-0.003314384
TUBA4A	0.07283856	1.102094	0.2779188
CPSF3	-0.219694	-0.668936	-0.3237736
STAMBP	-0.565503	0.1712547	-0.3450557
SLC39A10	0.2795307	0.1576727	0.4066941
CIAO1	-0.3437141	0.05898378	-0.001586036
SSB	-0.6160586	-0.2721427	-0.3228512
COPS7B	0.03745244	-0.3159139	-0.2247812
COPS8	0.121546	0.2049812	0.326317
CTDSP1	0.65908	NaN	NaN
MRPL44	-0.2229696	0.009800262	0.3069479
SERPINE2	1.106433	1.978634	2.15699
MAT2A	-0.2046736	-0.3305584	0.1277938
DBI	0.4407085	0.2808253	0.2703123
CYP20A1	0.8455905	-0.2379307	-0.3853759
AGPS	-0.5850419	-0.1060803	-0.01335502
CPS1	-0.898007	0.4827546	1.015345
RRM2	0.5590512	-0.7647708	-0.03167747
MTHFD2	-0.2770444	0.2083776	0.4718088
SP100	0.2000009	-0.7194902	-0.5365503
MPHOSPH10	-0.6588568	-0.4379734	-0.1309309
MLPH	0.9795864	-0.1848516	0.002208973
ORC2	-0.6898668	-0.6896796	-0.5509008
RPS7	-0.3735889	-0.3103401	-0.07189996
FASTKD2	-0.4963256	-0.2426939	-0.08488069
SMYD5	-0.3574027	0.3698556	1.017651
DTYMK	0.1468351	-0.3391374	-0.2613503
SEPT2	0.2842772	0.0162785	-0.05004891
CNOT11	-0.350744	-0.1506897	NaN
SNX17	-0.3283108	-0.1604039	-0.1467855
RAB3GAP1	-0.151889	0.1740354	0.04327432
CUL3	-0.0820549	-0.3567074	0.08430316
STRN	0.3892364	-0.168257	-0.2900705
AAMP	-0.6276719	0.1468666	0.5206661
PDE6D	0.1449823	NaN	0.6730715
GPC1	0.5756995	-0.653702	-0.9470302
DNPEP	0.5041049	0.3415555	0.233549
PXDN	0.1668082	-0.2571313	-0.7078781
NOL10	-0.6857067	-0.04348981	0.05526141
RAB10	0.1168971	0.20558	0.09127928
SNRPG	-0.3907652	-0.4846021	0.1011184
PCBP1	-0.05910406	-0.2526579	-0.08447252
MSH2	-0.2697097	-0.7542889	-0.3083608
SPR	-0.1054888	1.009931	0.7652043
MAPRE3	0.5700742	0.5583296	0.1834576
GPD2	-0.01658501	-0.07491647	0.1357603
YWHAQ	-0.04486575	-0.1108978	-0.10165
CCT7	-0.05492092	-0.1234014	0.1632518
TSN	-0.07580891	-0.1134338	0.2150941
STEAP3	-0.2268307	0.1090165	0.2110804
EIF2AK2	0.1609202	-0.1228714	-0.09909322
IRS1	-0.7662346	0.7885641	0.5226956
TSSC1	-0.2596336	0.02332848	0.4493751
PKP4	0.9417146	NaN	NaN
PRKRA	0.3370956	-0.0416635	0.0163807
EHD3	0.359971	0.5209764	0.3103073
RTN4	0.2352415	0.6853383	0.6109839
COX5B	0.4281932	-2.456333	0.02240507
RAB11FIP5	1.154778	0.7089152	0.5474046
ASAP2	1.689909	0.2807727	-0.06212174
PUM2	-0.5647843	-0.3486092	0.2431183
HDLBP	0.2644764	-0.2135028	-0.3151025
APOB	-0.1697735	5.930776	4.111091
TXNDC9	-0.3847532	-0.3999913	0.06589878
FN1	0.944635	-0.2926639	-1.014927
COX7A2L	0.2404974	NaN	-0.2452522
HADHB	0.3174317	0.4744723	0.6628028
SLC20A1	1.817419	0.1203414	0.1210158
CRIPT	-0.1188508	-1.226755	NaN
RQCD1	-0.386808	-0.1291522	0.09103339
TTN	0.06639916	-0.1031284	-0.1713349
LGALSL	-0.08354475	1.09111	0.5410689
WDFY1	0.1601362	-0.04404437	-0.3622174
UGGT1	-0.1406532	-0.103934	0.0659893
PNO1	-0.5096969	-0.4111008	-0.07105555
HAT1	0.005372859	-0.9180809	-0.523562
MFF	0.2653127	-0.02517067	0.08291209
PSMD14	0.1227389	-0.05116334	0.05628115
MTX2	0.1473066	-0.2067682	0.2880999
SF3B1	-0.1534145	-0.5955036	-0.2561654
RPIA	-1.484671	NaN	NaN
