gene	process	chr	function	ENSG
ACOT9	Fatty Acid Metabolism	NA	acyl-CoA hydrolase activity	NA
ACOX1	Fatty Acid Degradation	NA	acyl-CoA dehydrogenase activity; acyl-CoA oxidase activity; flavin adenine dinucleotide binding	NA
ACOX3	Fatty Acid Degradation	NA	acyl-CoA dehydrogenase activity; acyl-CoA oxidase activity; flavin adenine dinucleotide binding; pristanoyl-CoA oxidase activity	NA
ACP6	Metabolism of Lipids & Lipoproteins	NA	acid phosphatase activity	NA
ACSBG2	Fatty Acid Degradation	NA	long-chain fatty acid-CoA ligase activity	NA
ACSF2	Fatty Acid Biosynthesis	NA	4-coumarate-CoA ligase activity	NA
ACSF2	Fatty Acid Metabolism	NA	catalytic activity; long-chain fatty acid transporter activity; fatty-acyl-CoA synthase activity; long-chain fatty acid-CoA ligase activity; luciferin monooxygenase activity	NA
ACSF3	Fatty Acid Metabolism	NA	long-chain fatty acid-CoA ligase activity	NA
ACSL1	Fatty Acid Biosynthesis	NA	long-chain fatty acid-CoA ligase activity	NA
ACSL3	Fatty Acid Degradation	NA	long-chain fatty acid-CoA ligase activity	NA
ACSL4	Fatty Acid Degradation	NA	long-chain fatty acid-CoA ligase activity	NA
ACSL5	Fatty Acid Biosynthesis	NA	long-chain fatty acid-CoA ligase activity	NA
ACSL6	Fatty Acid Biosynthesis	NA	long-chain fatty acid-CoA ligase activity	NA
ACSM2A	Fatty Acid Biosynthesis	NA	4-coumarate-CoA ligase activity	NA
ACSS1	Pyruvate Metabolism	NA	acetate-CoA ligase activity; AMP binding	NA
ACSS3	Fatty Acid Metabolism	NA	acetate-CoA ligase activity	NA
ADCK1	Electron Transport Chain	NA	ATP binding; protein kinase activity; transferase activity; transferring phosphorus-containing groups	NA
ADCK3	Electron Transport Chain	NA	protein kinase activity; transferase activity; transferring phosphorus-containing groups	NA
ADCK4	Electron Transport Chain	NA	protein kinase activity; transferase activity; transferring phosphorus-containing groups	NA
ADCK5	Electron Transport Chain	NA	ATP binding; protein kinase activity; transferase activity; transferring phosphorus-containing groups	NA
ADHFE1	Pyruvate Metabolism	NA	metal ion binding; oxidoreductase activity	NA
ADO	Amino Acid Metabolism	NA	cysteamine dioxygenase activity	NA
ADSL	Nucleotide Metabolism	NA	N6-(1; 2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity	NA
AFG3L2	Mitochondrial Dynamics	NA	ATP binding; ATPase activity; metalloendopeptidase activity; metallopeptidase activity; zinc ion binding	NA
AGK	Fatty Acid Metabolism	NA	diacylglycerol kinase activity; NAD+ kinase activity	NA
AGTPBP1	Mitochondrial Dynamics	NA	metallocarboxypeptidase activity; zinc ion binding	NA
AGXT	Amino Acid Metabolism	NA	alanine-glyoxylate transaminase activity; pyridoxal phosphate binding; serine-pyruvate transaminase activity	NA
AGXT2	Amino Acid Metabolism	NA	alanine-glyoxylate transaminase activity; pyridoxal phosphate binding	NA
AGXT2L1	Amino Acid Metabolism	NA	alanine-glyoxylate transaminase activity; ornithine-oxo-acid transaminase activity; pyridoxal phosphate binding	NA
AGXT2L2	Amino Acid Metabolism	NA	alanine-glyoxylate transaminase activity; ornithine-oxo-acid transaminase activity; pyridoxal phosphate binding	NA
AIFM1	Apoptosis	NA	DNA binding; flavin adenine dinucleotide binding; oxidoreductase activity	NA
AIFM3	Apoptosis	NA	2 iron; 2 sulfur cluster binding; ferredoxin-NAD(P) reductase activity; flavin adenine dinucleotide binding; oxidoreductase activity	NA
AK2	Apoptosis	NA	adenylate kinase activity; ATP binding	NA
AK3	Nucleotide Metabolism	NA	adenylate kinase activity; ATP binding; nucleoside triphosphate adenylate kinase activity	NA
AK4	Nucleotide Metabolism	NA	adenylate kinase activity; ATP binding; nucleoside triphosphate adenylate kinase activity	NA
AKAP1	Mitochondrial Signaling	NA	protein kinase A binding; RNA binding	NA
AKAP10	Mitochondrial Signaling	NA	protein kinase A binding	NA
AKR1B10	Fructose Metabolism	NA	alditol:NADP+ 1-oxidoreductase activity	NA
AKR1B15	Metabolism of Lipids & Lipoproteins	NA	alcohol dehydrogenase (NADP+) activity	NA
ALAS1	Heme Biosynthesis	NA	5-aminolevulinate synthase activity; pyridoxal phosphate binding; glycine C-acetyltransferase activity	NA
ALAS2	Heme Biosynthesis	NA	5-aminolevulinate synthase activity; pyridoxal phosphate binding; glycine C-acetyltransferase activity	NA
ALDH18A1	Amino Acid Metabolism	NA	delta1-pyrroline-5-carboxylate synthetase activity; glutamate 5-kinase activity; glutamate-5-semialdehyde dehydrogenase activity	NA
ALDH1B1	Fatty Acid Degradation	NA	acetaldehyde dehydrogenase (acetylating) activity; aldehyde dehydrogenase (NAD) activity	NA
ALDH1L1	Folate & Pterine Metabolism	NA	formyltetrahydrofolate dehydrogenase activity; hydroxymethyl-; formyl- and related transferase activity; methyltransferase activity; oxidoreductase activity; acting on the aldehyde or oxo group of donors; NAD or NADP as acceptor	NA
ALDH1L2	Folate & Pterine Metabolism	NA	formyltetrahydrofolate dehydrogenase activity; hydroxymethyl-; formyl- and related transferase activity; methyltransferase activity; oxidoreductase activity; acting on the aldehyde or oxo group of donors; NAD or NADP as acceptor	NA
ALDH2	Fatty Acid Degradation	NA	acetaldehyde dehydrogenase (acetylating) activity; aldehyde dehydrogenase (NAD) activity	NA
ALDH3A2	Fatty Acid Degradation	NA	aldehyde dehydrogenase [NAD(P)+] activity; oxidoreductase activity; acting on the aldehyde or oxo group of donors; NAD or NADP as acceptor	NA
ALDH4A1	Amino Acid Metabolism	NA	1-pyrroline-5-carboxylate dehydrogenase activity; oxidoreductase activity; acting on the aldehyde or oxo group of donors; NAD or NADP as acceptor	NA
ALDH5A1	Amino Acid Metabolism	NA	succinate-semialdehyde dehydrogenase (NAD+) activity; succinate-semialdehyde dehydrogenase [NAD(P)+] activity	NA
ALDH6A1	Amino Acid Metabolism	NA	methylmalonate-semialdehyde dehydrogenase (acylating) activity	NA
ALDH7A1	Pyruvate Metabolism	NA	aldehyde dehydrogenase (NAD) activity	NA
ALDOC	Glycolysis	NA	fructose-bisphosphate aldolase activity	NA
ALKBH1	Replication & Transcription	NA	oxidoreductase activity; acting on paired donors; with incorporation or reduction of molecular oxygen; 2-oxoglutarate as one donor; and incorporation of one atom each of oxygen into both donors	NA
ALKBH7	Apoptosis	NA		NA
AMACR	Bile Acid Synthesis	NA	alpha-methylacyl-CoA racemase activity	NA
APOA1BP	Mitochondrial Signaling	NA		NA
APOOL	Mitochondrial Dynamics	NA	  	NA
APOPT1	Apoptosis	NA		NA
ARG2	Nitrogen Metabolism	NA	arginase activity; metal ion binding	NA
ASS1	Amino Acid Metabolism	NA	argininosuccinate synthase activity; ATP binding	NA
ATAD1	Protein Stability & Degradation	NA	ATP binding; ATPase activity; nucleoside-triphosphatase activity	NA
ATAD3A	Replication & Transcription	NA	ATP binding; nucleoside-triphosphatase activity	NA
ATAD3B	Replication & Transcription	NA	ATP binding; nucleoside-triphosphatase activity	NA
ATIC	Nucleotide Metabolism	NA	IMP cyclohydrolase activity; phosphoribosylaminoimidazolecarboxamide formyltransferase activity	NA
ATP5A1	Electron Transport Chain	NA	ATP binding; hydrogen-exporting ATPase activity; phosphorylative mechanism; proton-transporting ATP synthase activity; rotational mechanism; proton-transporting ATPase activity; rotational mechanism	NA
ATP5B	Electron Transport Chain	NA	ATP binding; hydrogen-exporting ATPase activity; phosphorylative mechanism; proton-transporting ATP synthase activity; rotational mechanism	NA
ATP5C1	Electron Transport Chain	NA	hydrogen-exporting ATPase activity; phosphorylative mechanism; proton-transporting ATP synthase activity; rotational mechanism; proton-transporting ATPase activity; rotational mechanism	NA
ATP5D	Electron Transport Chain	NA	hydrogen-exporting ATPase activity; phosphorylative mechanism; proton-transporting ATP synthase activity; rotational mechanism; proton-transporting ATPase activity; rotational mechanism	NA
ATP5E	Electron Transport Chain	NA	hydrogen-exporting ATPase activity; phosphorylative mechanism; proton-transporting ATP synthase activity; rotational mechanism; proton-transporting ATPase activity; rotational mechanism	NA
ATP5F1	Electron Transport Chain	NA	hydrogen-exporting ATPase activity; phosphorylative mechanism; proton-transporting ATP synthase activity; rotational mechanism	NA
ATP5G1	Electron Transport Chain	NA	hydrogen-exporting ATPase activity; phosphorylative mechanism	NA
ATP5G3	Electron Transport Chain	NA	hydrogen-exporting ATPase activity; phosphorylative mechanism	NA
ATP5H	Electron Transport Chain	NA	hydrogen-exporting ATPase activity; phosphorylative mechanism	NA
ATP5I	Electron Transport Chain	NA	hydrogen-exporting ATPase activity; phosphorylative mechanism	NA
ATP5J	Electron Transport Chain	NA	hydrogen ion transmembrane transporter activity; hydrogen-exporting ATPase activity; phosphorylative mechanism	NA
ATP5J2	Electron Transport Chain	NA	hydrogen-exporting ATPase activity; phosphorylative mechanism	NA
ATP5L	Electron Transport Chain	NA	hydrogen-exporting ATPase activity; phosphorylative mechanism	NA
ATP5L2	Electron Transport Chain	NA	hydrogen-exporting ATPase activity; phosphorylative mechanism	NA
ATP5O	Electron Transport Chain	NA	hydrogen-exporting ATPase activity; phosphorylative mechanism; proton-transporting ATP synthase activity; rotational mechanism	NA
ATP5S	Electron Transport Chain	NA	hydrogen-exporting ATPase activity; phosphorylative mechanism	NA
ATP5SL	Electron Transport Chain	NA	hydrogen-exporting ATPase activity; phosphorylative mechanism	NA
ATP6	Electron Transport Chain	NA	hydrogen-exporting ATPase activity; phosphorylative mechanism; proton-transporting ATP synthase activity; rotational mechanism	NA
ATP6V1E1	Electron Transport Chain	NA	proton-transporting ATPase activity; rotational mechanism	NA
ATP8	Electron Transport Chain	NA	hydrogen-exporting ATPase activity; phosphorylative mechanism; proton-transporting ATP synthase activity; rotational mechanism	NA
ATPAF1	Electron Transport Chain	NA	  	NA
ATPAF2	Electron Transport Chain	NA	  	NA
ATPIF1	Electron Transport Chain	NA	enzyme inhibitor activity	NA
AUH	Amino Acid Metabolism	NA	AU-rich element binding; enoyl-CoA hydratase activity	NA
BAD	Apoptosis	NA		NA
BCAT1	Amino Acid Metabolism	NA	branched-chain-amino-acid transaminase activity	NA
BCAT2	Amino Acid Metabolism	NA	branched-chain-amino-acid transaminase activity	NA
BCKDHA	Amino Acid Metabolism	NA	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity	NA
BCKDHB	Amino Acid Metabolism	NA	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity	NA
BCS1L	Electron Transport Chain	NA	ATP binding; ATPase activity	NA
BDH1	Fatty Acid Metabolism	NA	oxidoreductase activity; acting on CH-OH group of donors	NA
BNIP1	Apoptosis	NA	SNAP receptor activity	NA
BNIP3	Apoptosis	NA	  	NA
BNIP3L	Apoptosis	NA	  	NA
BOK	Apoptosis	NA	protein heterodimerization activity; protein homodimerization activity	NA
BPHL	Translation	NA	serine hydrolase activity	NA
C10orf2	Replication & Transcription	NA	5'-3' DNA helicase activity; ATP binding; single-stranded DNA binding	NA
C15orf61	Amino Acid Metabolism	NA		NA
C19orf70	Mitochondrial Dynamics	NA	  	NA
C22orf32	Calcium Signaling & Transport	NA	  	NA
C2orf47	Electron Transport Chain	NA	protein binding	NA
C5orf63	Fatty Acid Metabolism	NA	transferase activity; transferring acyl groups other than amino-acyl groups	NA
C6orf57	Electron Transport Chain	NA	  	NA
C7orf55	Electron Transport Chain	NA		NA
CA5A	Nitrogen Metabolism	NA	carbonate dehydratase activity	NA
CARKD	Metabolism of Vitamins & Co-Factors	NA	ATP-dependent NAD(P)H-hydrate dehydratase activity; ATP binding	NA
CARS2	Translation	NA	ATP binding; cysteine-tRNA ligase activity	NA
CASP2	Apoptosis	NA	cysteine-type endopeptidase activity; endopeptidase activity; peptidase activator activity involved in apoptotic process; protein binding	NA
CASP8	Apoptosis	NA	cysteine-type endopeptidase activity; endopeptidase activity; peptidase activator activity involved in apoptotic process; protein binding	NA
CAT	ROS Defense	NA	catalase activity; heme binding	NA
CBR4	Fatty Acid Biosynthesis	NA	2; 4-dienoyl-CoA reductase (NADPH) activity; oxidoreductase activity; acting on CH-OH group of donors	NA
CCBL2	Amino Acid Metabolism	NA	kynurenine-oxoglutarate transaminase activity; pyridoxal phosphate binding	NA
CCDC58	Translation	NA		NA
CDS2	Metabolism of Lipids & Lipoproteins	NA	phosphatidate cytidylyltransferase activity	NA
CHAT	Fatty Acid Metabolism	NA	carnitine O-acetyltransferase activity	NA
CHCHD1	Translation	NA		NA
CHCHD10	Import & Sorting	NA	  	NA
CHCHD2	Import & Sorting	NA	seauence-specific DNA binding	NA
CHCHD3	Mitochondrial Dynamics	NA		NA
CHCHD4	Import & Sorting	NA	ribonuclease activity	NA
CHCHD6	Mitochondrial Dynamics	NA		NA
CHCHD7	Import & Sorting	NA		NA
CISD1	Electron Transport Chain	NA	2 iron; 2 sulfur cluster binding	NA
CISD2	Electron Transport Chain	NA	2 iron; 2 sulfur cluster binding	NA
CISD3	Electron Transport Chain	NA	2 iron; 2 sulfur cluster binding	NA
CLIC4	Apoptosis	NA	calcium ion binding; chloride channel activity; lipid binding	NA
CLPP	Protein Stability & Degradation	NA	serine-type endopeptidase activity	NA
CLPX	Heme Biosynthesis	NA	ATP binding; nucleoside-triphosphatase activity; serine-type endopeptidase activity; unfolded protein binding	NA
CMC1	Electron Transport Chain	NA	copper ion binding	NA
Coa1	Electron Transport Chain	NA	RNA binding; structural constituent of ribosome	NA
COA3	Electron Transport Chain	NA	  	NA
COA6	Electron Transport Chain	NA	cytochrome-c oxidase activity	NA
COASY	Metabolism of Vitamins & Co-Factors	NA	ATP binding; dephospho-CoA kinase activity; pantetheine-phosphate adenylyltransferase activity	NA
COQ10A	Electron Transport Chain	NA	ubiquinone binding	NA
COQ10B	Electron Transport Chain	NA	ubiquinone binding	NA
COQ2	Ubiquinone Biosynthesis	NA	4-hydroxybenzoate octaprenyltransferase activity	NA
COQ3	Ubiquinone Biosynthesis	NA	2-polyprenyl-6-methoxy-1; 4-benzoquinone methyltransferase activity; hexaprenyldihydroxybenzoate methyltransferase activity	NA
COQ4	Ubiquinone Biosynthesis	NA		NA
COQ5	Ubiquinone Biosynthesis	NA	2-polyprenyl-6-methoxy-1; 4-benzoquinone methyltransferase activity	NA
COQ6	Ubiquinone Biosynthesis	NA	flavin adenine dinucleotide binding; oxidoreductase activity; acting on paired donors; with incorporation or reduction of molecular oxygen; NAD(P)H as one donor; and incorporation of one atom of oxygen	NA
COQ7	Ubiquinone Biosynthesis	NA	metal ion binding; oxidoreductase acitivity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, incorporation of one atom of oxygen	NA
COQ9	Ubiquinone Biosynthesis	NA	lipid binding	NA
COX1	Electron Transport Chain	NA	cytochrome-c oxidase activity; electron carrier activity; heme binding; iron ion binding	NA
COX10	Electron Transport Chain	NA	protoheme IX farnesyltransferase activity	NA
COX11	Electron Transport Chain	NA	procollagen-lysine 5-dioxygenase activity; copper ion binding	NA
COX14	Electron Transport Chain	NA	  	NA
COX15	Electron Transport Chain	NA	oxidoreductase activity; acting on the CH-CH group of donors	NA
COX16	Electron Transport Chain	NA		NA
COX17	Electron Transport Chain	NA	copper chaperone activity	NA
COX18	Electron Transport Chain	NA	  	NA
COX2	Electron Transport Chain	NA	copper ion binding; cytochrome-c oxidase activity	NA
COX20	Electron Transport Chain	NA		NA
COX3	Electron Transport Chain	NA	cytochrome-c oxidase activity	NA
COX4I1	Electron Transport Chain	NA	cytochrome-c oxidase activity	NA
COX4I2	Electron Transport Chain	NA	cytochrome-c oxidase activity	NA
COX5A	Electron Transport Chain	NA	cytochrome-c oxidase activity	NA
COX5B	Electron Transport Chain	NA	cytochrome-c oxidase activity	NA
COX6A1	Electron Transport Chain	NA	cytochrome-c oxidase activity; enzyme regulator activity	NA
COX6A2	Electron Transport Chain	NA	cytochrome-c oxidase activity; enzyme regulator activity	NA
COX6B1	Electron Transport Chain	NA	cytochrome-c oxidase activity	NA
COX6B2	Electron Transport Chain	NA	cytochrome-c oxidase activity	NA
COX6C	Electron Transport Chain	NA	cytochrome-c oxidase activity	NA
COX7A1	Electron Transport Chain	NA	cytochrome-c oxidase activity; electron carrier activity	NA
COX7A2	Electron Transport Chain	NA	cytochrome-c oxidase activity; electron carrier activity	NA
COX7A2L	Electron Transport Chain	NA	cytochrome-c oxidase activity; electron carrier activity	NA
COX7C	Electron Transport Chain	NA	cytochrome-c oxidase activity	NA
COX8A	Electron Transport Chain	NA	cytochrome-c oxidase activity	NA
COX8C	Electron Transport Chain	NA	cytochrome-c oxidase activity	NA
CPOX	Heme Biosynthesis	NA	coproporphyrinogen oxidase activity	NA
CPS1	Nitrogen Metabolism	NA	amino acid binding; aspartate carbamoyltransferase activity; ATP binding; carbamoyl-phosphate synthase (ammonia) activity; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity; dihydroorotase activity; glutamine binding; metal ion binding	NA
CPT1A	Fatty Acid Degradation	NA	carnitine O-palmitoyltransferase activity	NA
CPT1B	Fatty Acid Degradation	NA	carnitine O-palmitoyltransferase activity	NA
CPT1C	Fatty Acid Degradation	NA	carnitine O-palmitoyltransferase activity	NA
CPT2	Fatty Acid Degradation	NA	carnitine O-palmitoyltransferase activity	NA
CRAT	Fatty Acid Metabolism	NA	carnitine O-acetyltransferase activity	NA
CRLS1	Cardiolipin Biosynthesis	NA	cardiolipin synthase activity; CDP-alcohol phosphatidyltransferase activity	NA
CS	TCA Cycle	NA	citrate (Si)-synthase activity	NA
CTPS2	Nucleotide Metabolism	NA	DNA binding; ATP binding; CTP synthase activity	NA
CTSB	Apoptosis	NA	cysteine-type endopeptidase activity	NA
CTU1	Translation	NA	ATP binding; tRNA binding	NA
CYB5A	Metabolism of Vitamins & Co-Factors	NA	electron carrier activity; heme binding	NA
CYB5B	Metabolism of Vitamins & Co-Factors	NA	electron carrier activity; heme binding	NA
CYC1	Electron Transport Chain	NA	electron transporter; transferring electrons within CoQH2-cytochrome c reductase complex activity; heme binding; iron ion binding	NA
CYCS	Electron Transport Chain	NA	electron carrier activity; electron transporter; transferring electrons from CoQH2-cytochrome c reductase complex and cytochrome c oxidase complex activity; heme binding; iron ion binding	NA
CYP11A1	Metabolism of Lipids & Lipoproteins	NA	ecdysteroid 2-hydroxylase activity; electron carrier activity; heme binding; iron ion binding; oxidoreductase activity; acting on paired donors; with incorporation or reduction of molecular oxygen	NA
CYP11A1	Bile Acid Synthesis	NA	electron carrier activity; heme binding; iron ion binding; oxidoreductase activity; acting on paired donors; with incorporation or reduction of molecular oxygen	NA
CYP11B1	Metabolism of Lipids & Lipoproteins	NA	ecdysteroid 2-hydroxylase activity; electron carrier activity; heme binding; iron ion binding; oxidoreductase activity; acting on paired donors; with incorporation or reduction of molecular oxygen	NA
CYP11B2	Metabolism of Lipids & Lipoproteins	NA	ecdysteroid 2-hydroxylase activity; electron carrier activity; heme binding; iron ion binding; oxidoreductase activity; acting on paired donors; with incorporation or reduction of molecular oxygen	NA
CYP24A1	Metabolism of Vitamins & Co-Factors	NA	ecdysone 20-monooxygenase activity; ecdysteroid 22-hydroxylase activity; electron carrier activity; heme binding; iron ion binding; oxidoreductase activity; acting on paired donors; with incorporation or reduction of molecular oxygen	NA
CYP24A1	Bile Acid Synthesis	NA	electron carrier activity; heme binding; iron ion binding; oxidoreductase activity; acting on paired donors; with incorporation or reduction of molecular oxygen	NA
CYP27A1	Metabolism of Lipids & Lipoproteins	NA	ecdysteroid 2-hydroxylase activity; electron carrier activity; heme binding; iron ion binding; oxidoreductase activity; acting on paired donors; with incorporation or reduction of molecular oxygen	NA
CYP27A1	Bile Acid Synthesis	NA	electron carrier activity; heme binding; iron ion binding; oxidoreductase activity; acting on paired donors; with incorporation or reduction of molecular oxygen	NA
CYP27B1	Bile Acid Synthesis	NA	electron carrier activity; heme binding; iron ion binding; oxidoreductase activity; acting on paired donors; with incorporation or reduction of molecular oxygen	NA
CYP27B1	Metabolism of Vitamins & Co-Factors	NA	electron carrier activity; heme binding; iron ion binding; oxidoreductase activity; acting on paired donors; with incorporation or reduction of molecular oxygen	NA
CYTB	Electron Transport Chain	NA	electron carrier activity; oxidoreductase activity; ubiquinol-cytochrome-c reductase activity	NA
D2HGDH	Electron Transport Chain	NA	flavin adenine dinucleotide binding; UDP-N-acetylmuramate dehydrogenase activity	NA
DAP3	Translation	NA	structural constituent of ribosome	NA
DARS2	Translation	NA	aspartate-tRNA ligase activity; ATP binding; nucleic acid binding	NA
DBT	Amino Acid Metabolism	NA	cofactor binding; dihydrolipoamide branched chain acyltransferase activity; dihydrolipoyllysine-residue (2-methylpropanoyl)transferase activity	NA
DDAH1	Nitrogen Metabolism	NA	dimethylargininase activity	NA
DDX28	Translation	NA	ATP binding; ATP-dependent RNA helicase activity; helicase activity; nucleic acid binding	NA
DHFRL1	Folate & Pterine Metabolism	NA	dihydrofolate reductase activity; NADP binding; protein binding	NA
DHODH	Nucleotide Metabolism	NA	dihydroorotate dehydrogenase activity; dihydroorotate oxidase activity; flavin adenine dinucleotide binding; FMN binding; glutamate synthase (NADH) activity; glutamate synthase (NADPH) activity; iron ion binding; iron-sulfur cluster binding	NA
DHRS4	Metabolism of Vitamins & Co-Factors	NA	oxidoreductase activity; acting on CH-OH group of donors	NA
DHTKD1	Amino Acid Metabolism	NA	oxoglutarate dehydrogenase (succinyl-transferring) activity; thiamine pyrophosphate binding	NA
DHX29	Replication & Transcription	NA	ATP binding; ATP-dependent helicase activity; ATP-dependent RNA helicase activity; G-quadruplex RNA binding; helicase activity	NA
DHX29	Translation	NA	ATP binding; ATP-dependent helicase activity; helicase activity; metal ion binding; nucleic acid binding	NA
DLAT	Pyruvate Metabolism	NA	dihydrolipoyllysine-residue acetyltransferase activity	NA
DLD	TCA Cycle	NA	dihydrolipoyl dehydrogenase activity; flavin adenine dinucleotide binding	NA
DLST	TCA Cycle	NA	dihydrolipoyllysine-residue succinyltransferase activity	NA
DMGDH	Metabolism of Lipids & Lipoproteins	NA	aminomethyltransferase activity; sarcosine dehydrogenase activity	NA
DNA2	Replication & Transcription	NA	5'-flap endonuclease activity; ATP-dependent DNA helicase activity; single-stranded DNA endodeoxyribonuclease activity; single-stranded DNA-dependent ATPase activity	NA
DNAJA3	Apoptosis	NA	ATP binding; heat shock protein binding; patched binding; unfolded protein binding	NA
DNAJC11	Mitochondrial Dynamics	NA	ATPase activator activity	NA
DNAJC15	Import & Sorting	NA	ATPase activator activity	NA
DNAJC19	Import & Sorting	NA	ATPase activator activity	NA
DNAJC30	Protein Stability & Degradation	NA	chaperone binding	NA
DNLZ	Import & Sorting	NA	zinc ion binding	NA
DNM1L	Mitochondrial Dynamics	NA	actin binding; GTP binding; GTPase activity; microtubule binding; microtubule motor activity	NA
DNM1L	Apoptosis	NA	GTP binding; GTPase activity	NA
DTYMK	Nucleotide Metabolism	NA	ATP binding; thymidylate kinase activity	NA
DUT	Nucleotide Metabolism	NA	dUTP diphosphatase activity	NA
DYNLL1	Apoptosis	NA	ATPase activity; coupled; dynein intermediate chain binding; microtubule motor activity; protein binding; protein homodimerization activity	NA
EARS2	Translation	NA	ATP binding; glutamate-tRNA ligase activity; tRNA binding	NA
ECH1	Fatty Acid Degradation	NA	dodecenoyl-CoA delta-isomerase activity; delta5-delta2; 4-dienoyl-CoA isomerase activity	NA
ECHDC2	Amino Acid Metabolism	NA	AU-rich element binding; enoyl-CoA hydratase activity	NA
ECHDC2	Fatty Acid Degradation	NA	delta5-delta2; 4-dienoyl-CoA isomerase activity	NA
ECHDC3	Fatty Acid Biosynthesis	NA	enoyl-CoA hydratase activity	NA
ECHS1	Fatty Acid Elongation	NA	enoyl-CoA hydratase activity	NA
ECI1	Fatty Acid Degradation	NA	dodecenoyl-CoA delta-isomerase activity	NA
ECSIT	Electron Transport Chain	NA	protein binding	NA
EEFSEC	Translation	NA	GTP binding; GTPase activity; translation elongation factor activity	NA
EFHD1	Calcium Signaling & Transport	NA	calcium ion binding	NA
ELAC2	Translation	NA	endoribonuclease activity; producing 5'-phosphomonoesters	NA
ENDOG	Replication & Transcription	NA	endodeoxyribonuclease activity; endoribonuclease activity; endonuclease activity; metal ion binding; nucleic acid binding	NA
ERAL1	Translation	NA	GTP binding	NA
